"";"connectivity";"density";"nb_edge";"nb_node"
"1";0,0512820512820513;2,61538461538462;136;52
"2";0,0451178451178451;2,43636363636364;134;55
"3";0,0470779220779221;2,58928571428571;145;56
"4";0,0492662473794549;2,61111111111111;141;54
"5";0,0524132730015083;2,67307692307692;139;52
"6";0,0519125683060109;3,11475409836066;190;61
"7";0,0541062801932367;2,43478260869565;112;46
"8";0,0524109014675052;2,77777777777778;150;54
"9";0,056547619047619;2,71428571428571;133;49
"10";0,0535714285714286;2,94642857142857;165;56
"11";0,0527603074772886;2,7962962962963;151;54
"12";0,061054579093432;2,80851063829787;132;47
"13";0,0516233766233766;2,83928571428571;159;56
"14";0,0520614954577219;2,75925925925926;149;54
"15";0,056953179594689;3,01851851851852;163;54
"16";0,0480225988700565;2,83333333333333;170;60
"17";0,0703211517165006;2,95348837209302;127;43
"18";0,063768115942029;2,8695652173913;132;46
"19";0,0695921985815603;3,27083333333333;157;48
"20";0,0691919191919192;3,04444444444444;137;45
"21";0,0603741496598639;2,89795918367347;142;49
"22";0,053469387755102;2,62;131;50
"23";0,0487012987012987;2,67857142857143;150;56
"24";0,0562543675751223;2,98148148148148;161;54
"25";0,0541165587419056;2,48936170212766;117;47
"26";0,0628019323671498;2,82608695652174;130;46
"27";0,0531674208144796;2,71153846153846;141;52
"28";0,0633672525439408;2,91489361702128;137;47
"29";0,070874861572536;2,97674418604651;128;43
"30";0,0676829268292683;2,70731707317073;111;41
"31";0,0686868686868687;3,02222222222222;136;45
"32";0,0605920444033302;2,78723404255319;131;47
"33";0,051659125188537;2,63461538461538;137;52
"34";0,0650406504065041;2,66666666666667;112;42
"35";0,0632850241545894;2,84782608695652;131;46
"36";0,0558510638297872;2,625;126;48
"37";0,0661616161616162;2,91111111111111;131;45
"38";0,0658914728682171;2,76744186046512;119;43
"39";0,0567375886524823;2,66666666666667;128;48
"40";0,0686868686868687;3,02222222222222;136;45
"41";0,0526124818577649;2,73584905660377;145;53
"42";0,0562943262411347;2,64583333333333;127;48
"43";0,0493863237872589;2,86440677966102;169;59
"44";0,0566037735849057;2,94339622641509;156;53
"45";0,0620567375886525;2,91666666666667;140;48
"46";0,0590986394557823;2,83673469387755;139;49
"47";0,0588235294117647;2,94117647058824;150;51
"48";0,0526124818577649;2,73584905660377;145;53
"49";0,0632850241545894;2,84782608695652;131;46
"50";0,0474747474747475;2,56363636363636;141;55
"51";0,0562543675751223;2,98148148148148;161;54
"52";0,0541176470588235;2,70588235294118;138;51
"53";0,0478686233403215;2,53703703703704;137;54
"54";0,0479323308270677;2,68421052631579;153;57
"55";0,0530612244897959;2,6;130;50
"56";0,0542087542087542;2,92727272727273;161;55
"57";0,0576923076923077;3;159;53
"58";0,0592156862745098;2,96078431372549;151;51
"59";0,0576923076923077;2,94230769230769;153;52
"60";0,050314465408805;2,66666666666667;144;54
"61";0,0607822410147992;2,61363636363636;115;44
"62";0,0573979591836735;2,75510204081633;135;49
"63";0,0518367346938775;2,54;127;50
"64";0,0509049773755656;2,59615384615385;135;52
