TG1;TG2;type
Phytophage::Elateridae;Phototroph::Caryophyllaceae;trophic
Phytophage::Nematode;Phototroph::Caryophyllaceae;trophic
Phytophage::Otiorhynchus ;Phototroph::Caryophyllaceae;trophic
Parasitic::Phoma;Phototroph::Caryophyllaceae;trophic
Parasitic::Itersonilia;Phototroph::Caryophyllaceae;trophic
Parasitic::Chondrostereum;Phototroph::Caryophyllaceae;trophic
Parasitic::Alternaria;NA;parasitic
Parasitic::Cochlonema;NA;parasitic
Parasitic::Coniobolus;NA;parasitic
Parasitic::Malassezia;NA;parasitic
Parasitic::Pythium;NA;parasitic
Parasitic::Synchitrium;NA;parasitic
Parasitic::Syncistis (parasite d'Aeschne … insecte…);NA;parasitic
Phytophage::Aphis;NA;parasitic
Saprotroph::Sistronema;Resource::Decaying_wood;trophic
Saprotroph::Sistronema;Resource::Dung;trophic
Saprotroph::Sistronema;Resource::Litter;trophic
Saprotroph::Sistronema;Resource::MOS;trophic
