Id;Label;rank;Cluster;kingdom;phylum;class;order;family
103910464;Rubrobacteria;CLASS;47;Bacteria;Actinobacteria;Rubrobacteria;;
103949463;Myxomycota;GENUS;29;Protozoa;Amoebozoa;??;??;??
103963965;Nakamurellaceae;FAMILY;47;Bacteria;Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae
103969075;Micrococcales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;
103969122;Corynebacteriales;ORDER;45;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;
103997429;Candidatus Solibacter usitatus;SPECIES;45;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae
103998662;Solibacteres;CLASS;47;Bacteria;Actinobacteria;Solibacteres;;
1040;Eurotiales;ORDER;31;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;
104001606;Candidatus Solibacter;GENUS;45;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae
104001608;Solibacteraceae;FAMILY;47;Bacteria;Actinobacteria;Solibacteres;Solibacterales;Solibacteraceae
104001610;Solibacterales;ORDER;47;Bacteria;Actinobacteria;Solibacteres;Solibacterales;
104008351;Dechlorospirillum;GENUS;47;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
1041;Onygenales;ORDER;36;Fungi;Ascomycota;Eurotiomycetes;Onygenales;
104185528;Endeostigmata;ORDER;37;Animalia;Arthropoda;Arachnida;Endeostigmata;
104255973;Kineosporiales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;
104297547;Pseudonocardiales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;
104297553;Streptomycetales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;
104297571;Streptosporangiales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;
104297582;Frankiales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Frankiales;
1043;Verrucariales;ORDER;31;Fungi;Ascomycota;Eurotiomycetes;Verrucariales;
104340218;Pedosphaera;GENUS;45;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3
104340229;Pedosphaera parvula;SPECIES;47;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3
104372713;Chthoniobacter flavus;SPECIES;45;Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
104594886;Candidatus Koribacter versatilis;SPECIES;47;Bacteria;Actinobacteria;Acidimicrobiia;Acidobacteriales;Acidobacteriaceae
