"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"1";0,00192307715583331;1e-06;0,0500000004887517;0,0401315788768855;1e-06;1e-06;1e-06;1e-06;0,0499999997855776;0,0727272725591937;1e-06
"2";0,993827157810855;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;0,0263157891414338;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";0,0123684210899751;0,00435347628979067;0,0526315783999729;0,0262322472719966;0,0133974766110476;0,000630318314579859;0,00300718147211662;0,136842104582072;0,0157894736744095;0,0157894737017476;1e-06
"5";1e-06;1e-06;0,636369010444359;0,00956954807994053;1e-06;1e-06;1e-06;1e-06;0,636369017315033;0,115715576793797;1e-06
"6";1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06
"7";1e-06;1e-06;0,999999;0,00171838933135664;1e-06;1e-06;1e-06;1e-06;0,0816234916617416;0,999999;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,818181810721865;1e-06
"9";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,181818180689634;1e-06
"10";1e-06;1e-06;0,818181801890109;0,00478468901458873;1e-06;1e-06;1e-06;1e-06;1e-06;0,155844155075206;1e-06
"11";0,233333330582486;0,576131672279362;1e-06;0,129824558433896;1e-06;0,936127720168398;1e-06;1e-06;1e-06;1e-06;1e-06
