"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";0,00192307715583331;1e-06;0,0500000004887517;0,576923072561155;0,000932835838701385;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0499999997855776;0,0727272725591938;1e-06
"2";0,993827157810856;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;0,30769230135;0,00746268654696195;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;1e-06;1e-06;0,173076921342302;0,00861079217736453;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"5";0,00298507469542665;0,00617283950531424;0,0746268647004004;0,194603902364159;0,000897766811930917;1e-06;0,0189961984562742;0,00089373492132171;0,00426413132027358;1e-06;1e-06;0,0223880596276683;0,0223880596893764;1e-06
"6";1e-06;1e-06;1e-06;1e-06;0,216417909380082;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;0,63636656476597;0,111889694512756;0,00271368228192241;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,63636657163656;0,115709629348489;1e-06
"8";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;0,999999;0,0251162007199124;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0816276515626348;0,999999;1e-06
"10";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,818181810721865;1e-06
"11";0,0749999999928853;1e-06;1e-06;1e-06;0,0149253731129259;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06
"12";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,181818180689634;1e-06
"13";1e-06;1e-06;0,818181801890109;0,0559440557338216;0,00135685212598031;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,155844155075206;1e-06
"14";0,233333330582486;0,576131672279361;1e-06;1e-06;0,184079597558271;1e-06;1e-06;0,936127720168398;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
