"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18"
"1";0,00192307715583331;1e-06;0,0500000004887517;1e-06;0,849999982230029;0,455555550950716;1e-06;0,00480768982204737;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0499999997855776;0,174999996777503;0,0499999999072221;1e-06
"2";0,993827157810856;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,0384615176975352;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";0,00370370425980608;0,00765889443519199;0,0925926031714277;0,000692281249572135;0,215277801106602;0,237654349165915;1e-06;1e-06;0,0648148229789207;0,00110889346943103;1e-06;0,00529100627641502;1e-06;1e-06;0,0277777812213079;0,0277777810242988;0,0277777812757397;1e-06
"5";1e-06;1e-06;1e-06;0,0208333356226226;1e-06;0,499999987180555;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;0,00617284025828068;1e-06;0,124999998177776;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;1e-06;0,029411708354063;1e-06;1e-06;1e-06;0,993212385652125;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;0,00284900171539797;0,0865384141156068;0,0256410119586138;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,0384615179000955;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06
"12";1e-06;1e-06;0,999999;1e-06;0,0816326521945455;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,081632652737869;0,999999;0,999999;1e-06
"13";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06
"14";0,0749999999928852;1e-06;1e-06;0,0185185208332827;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"15";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"16";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,0384615176975352;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"17";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"18";0,233333330582486;0,576131672279362;1e-06;0,228395085166566;1e-06;1e-06;1e-06;1e-06;1e-06;0,936127720168415;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
