"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"1";0,0019230771558333;1e-06;0,0500000004887517;0,144448025424635;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0499999997855776;0,0727272725591938;1e-06
"2";0,993827157810856;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;0,0947200155840699;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;0,0156697311749577;0,189440031112455;0,0197522635566733;0,00391793325220945;0,0482226497197459;0,00226874292496643;0,010823639178859;1e-06;1e-06;0,0568320098849075;0,0568320100590795;1e-06
"5";0,00359670684778102;1e-06;1e-06;0,129001737572542;0,0045444752719885;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;0,636370302343981;0,0344444015365618;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,636370309214739;0,115718718458966;1e-06
"7";1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;0,999999;0,00618493640406073;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0816212942072263;0,999999;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,818181810721865;1e-06
"10";0,0749999999928853;1e-06;1e-06;0,0378880067350282;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,181818180689634;1e-06
"12";1e-06;1e-06;0,818181801890109;0,0172218213024525;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,155844155075206;1e-06
"13";0,233333330582486;0,576131672279363;1e-06;0,132608021646408;0,158854544872241;1e-06;0,936127720168397;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
