"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";0,00192307715583331;1e-06;0,0500000004887517;1e-06;0,849999982230028;0,455555550950716;1e-06;0,00500000001550996;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0499999997855776;0,174999996777503;0,0499999999072222;1e-06;1e-06
"2";0,993827157810856;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,0399999992066817;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";0,00404040413431951;0,00835515651565924;1e-06;0,00113378685626387;0,207070703517688;0,265993264133015;1e-06;1e-06;1e-06;0,0012097018143114;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"5";1e-06;1e-06;1e-06;0,0227272723762855;1e-06;0,499999987180555;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;0,00673400671036986;1e-06;0,124999998177776;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;1e-06;0,0421865704188139;1e-06;1e-06;1e-06;0,992941164525088;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;0,00202020201538874;0,07999999788768;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,0399999994286779;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06
"12";1e-06;1e-06;0,999999;1e-06;0,0816326521945454;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0816326527378691;0,999999;0,999999;1e-06;1e-06
"13";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06
"14";0,0749999999928852;1e-06;1e-06;0,0202020201960543;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"15";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06
"16";1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,0399999992066817;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"17";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06
"18";1e-06;1e-06;0,999999;1e-06;0,299999993317519;1e-06;1e-06;1e-06;0,699999993624155;1e-06;1e-06;0,0571428600067935;1e-06;1e-06;0,299999996486936;0,299999993592515;0,299999997169454;1e-06;1e-06
"19";0,233333330582486;0,576131672279362;1e-06;0,178451174538373;1e-06;1e-06;1e-06;1e-06;1e-06;0,936127720168397;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,699999980343339;1e-06
