"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";0,0019230771558333;1e-06;0,0500000004887517;0,0965465457393169;1e-06;1e-06;1e-06;1e-06;1e-06;0,0499999997855776;0,0727272725591937;1e-06
"2";0,993827157810856;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;0,0633092095942318;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";0,0246927063774633;0,0104733755560577;0,126618419290194;0,0172134786170319;0,00262334903054312;0,0322310812995844;0,00151638827996474;0,00723442763357699;0,32920789253472;0,0379855261565284;0,0379855262553306;1e-06
"5";0,0036013677620981;1e-06;1e-06;0,0865399311372546;0,004435932332311;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;0,636369668187765;0,0230219902244838;1e-06;1e-06;1e-06;1e-06;1e-06;0,636369675058432;0,115717176306141;1e-06
"7";1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06
"8";1e-06;1e-06;0,999999;0,00413395846109248;1e-06;1e-06;1e-06;1e-06;1e-06;0,0816223728775377;0,999999;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,818181810721865;1e-06
"10";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,181818180689634;1e-06
"11";1e-06;1e-06;0,818181801890109;0,0115107655727067;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,155844155075206;1e-06
"12";0,233333330582486;0,576131672279361;1e-06;0,0886328933174036;0,159126828083062;1e-06;0,936127720168418;1e-06;1e-06;1e-06;1e-06;1e-06
