"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"1";0,00192307715583331;1e-06;0,0500000004887517;0,0401315788768856;1e-06;1e-06;1e-06;0,0499999997855776;0,0727272725591938;1e-06
"2";0,993827157810855;1e-06;0,938271587471763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;1e-06;0,0263157891414337;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";0,0123684210899751;0,00435347628979066;0,0526315783999728;0,0262322472719964;0,0133971293538709;0,000630318314579867;0,029335634311327;0,0157894736744095;0,0157894737017476;1e-06
"5";1e-06;1e-06;0,636363624414804;0,00956937799479255;1e-06;1e-06;1e-06;0,636363631285368;0,115702478948945;1e-06
"6";1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06;1e-06
"7";1e-06;1e-06;0,803278673393329;0,00138050045626157;1e-06;1e-06;1e-06;0,262295080343042;0,964232484420377;1e-06
"8";1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,181818180689634;1e-06
"9";1e-06;1e-06;0,818181801890109;0,00478468901458872;1e-06;1e-06;1e-06;1e-06;0,155844155075206;1e-06
"10";0,233333330582486;0,576131672279362;1e-06;0,129824558433897;1e-06;0,936127720168397;1e-06;1e-06;1e-06;1e-06
