gbif_key;rank;scientificName;Length_min_mm;Length_max_mm;reference;remark;;
7960295;SPECIES;Pseudoplatyophrya nana;0.015;0.028;http://www.wfoissner.at/data_prot/Puytorac_etal_1983_423-434.pdf;;;
3202401;GENUS;Siluania monomastiga;0.0015;0.003;https://doi.org/10.1016/S0932-4739(98)80010-2;;;
8118209;SPECIES;Bresslaua vorax;0.035;0.1;https://doi.org/10.1111/j.1550-7408.1960.tb00703.x;;;
7507829;SPECIES;Luticola permuticopsis;0.0017;0.026;https://hal-univ-rennes1.archives-ouvertes.fr/hal-01684482/file/The%20genus%20Luticola%20%28Bacillariophyta%29.pdf;;;
4900166;GENUS;Rhogostoma;0.008;0.015;https://www.arcella.nl;;;
4900166;GENUS;Rhogostoma schuessleri;0.015;0.021;https://www.arcella.nl;;;
5730700;SPECIES;Trinema lineare;0.016;0.03;https://www.arcella.nl;;;
4378507;GENUS;Corythion dubium;0.033;0.043;https://www.arcella.nl;;;
4886653;GENUS;Capsellina;0.035;0.045;https://www.arcella.nl;;;
5436536;SPECIES;Vampyrella pendula;0.04;0.05;https://www.arcella.nl;;;
5730694;SPECIES;Euglypha rotunda;0.05;0.06;https://www.arcella.nl;;;
5425542;SPECIES;Trinema enchelys;0.03;0.1;https://www.arcella.nl;;;
5730696;SPECIES;Euglypha tuberculata;0.055;0.1;https://www.arcella.nl;;;
3194385;GENUS;Chlamydomyxa labyrinthuloides;0.15;0.18;https://www.arcella.nl;;;
8255906;GENUS;Heterophrys;35;70;https://www.arcella.nl;;;
5899723;SPECIES;Massisteria marina;0.0025;0.005;https://www.int-res.com/articles/meps/62/m062p011.pdf;;;
1198632;SPECIES;Barynotus moerens;7;8.5;https://www.kerbtier.de;;;
1198651;SPECIES;Barynotus obscurus;8;9.5;https://www.kerbtier.de;;;
1195102;SPECIES;Otiorhynchus armadillo;7;12;https://www.kerbtier.de;;;
5899695;GENUS;Paracercomonas;0.0085;0.012;https://www.nies.go.jp;;;
3195227;GENUS;Paraphysomonas;0.006;0.0136;https://www.nies.go.jp;;;
9762970;GENUS;Ochromonas;0.005;0.03;https://www.nies.go.jp;;;
;;Peregrinia clavideferens;0.014;0.04;https://www.nies.go.jp;;;
7989755;GENUS;Fuscheria;0.08;0.1;https://www.nies.go.jp;Fuscheria terricola;;
8002457;GENUS;Bresslauides;0.105;0.175;https://www.nies.go.jp;;;
1002070;SPECIES;Trichocerca rattus;0.23;0.23;https://www.nies.go.jp;;;
1002835;SPECIES;Notholca acuminata;0.135;0.3;https://www.nies.go.jp;;;
7385619;SPECIES;Blepharisma hyalinum;0.08;0.16;https://www.nies.go.jp/chiiki1/protoz/morpho/ciliopho/blephari.htm#Blepharisma%20hyalinum;;;
1000794;SPECIES;Adineta vaga;0.2;0.7;https://www.nies.go.jp/chiiki1/protoz/morpho/rotifera/r-adinet.htm#Adineta%20vaga;;;
8294946;SPECIES;Homalogastra setosa;0.015;0.03;"https://www.nies.go.jp; Ciliés libres de l'Afrique intertropicale: introduction à la connaissance …";;;
1269085;SPECIES;Aphidius ervi;;;https://www6.inra.fr/encyclopedie-pucerons;hyperparasite;;
2077503;SPECIES;Acyrthosiphon pisum;2.3;4.4;https://www6.inra.fr/encyclopedie-pucerons/;;;
2076745;SPECIES;Aulacorthum solani;1.8;3;https://www6.inra.fr/encyclopedie-pucerons/Especes/Pucerons/Aulacorthum/A.-solani;;;
4281960;GENUS;Romanomermis sichuanensis;;;https://www6.inra.fr/encyclopedie-pucerons/Especes/Pucerons/Rhopalosiphum/R.-padi;parasitic;;
