verbatimScientificName;scientificName;retainedName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
uncultured Caulobacter sp.;Caulobacter Henrici & Johnson, 1935;Caulobacter;3221268;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;
Holophaga sp. oral clone CA002;Holophaga Liesack & al., 1995;Holophaga;3229012;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Mucoromycota;Zygomycota;Holophagaceae;Holophaga;
uncultured Woodsholea sp.;Woodsholea Abraham & al., 2004;Woodsholea;3221102;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Woodsholea;
uncultured Holophaga sp.;Holophaga Liesack & al., 1995;Holophaga;3229012;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;
uncultured Methylocapsa sp.;Methylocapsa Dedysh & al., 2002;Methylocapsa;3220879;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocapsa;
uncultured Methylocella sp.;Methylocella Dedysh & al., 2000;Methylocella;3220866;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella;
Poduroidea;Poduroides Mann, 1926;Poduroides;4716061;EDITED;70;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Poduroides;
uncultured Rhodopseudomonas sp.;Rhodopseudomonas Czurda & Maresch, 1937;Rhodopseudomonas;3220030;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;
uncultured Blastochloris sp.;Blastochloris Hiraishi, 1997;Blastochloris;3220883;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Blastochloris;
uncultured Hyphomicrobium sp.;Hyphomicrobium Stutzer & Hartleb, 1899;Hyphomicrobium;3220906;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;
uncultured Pedomicrobium sp.;Pedomicrobium Aristovskaya, 1961;Pedomicrobium;3220895;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;
uncultured Prosthecomicrobium sp.;Prosthecomicrobium Staley, 1968;Prosthecomicrobium;3220944;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium;
uncultured Rhodomicrobium sp.;Rhodomicrobium Duchow & Douglas, 1949;Rhodomicrobium;3220934;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;
Poduroidea;Poduroides Mann, 1926;Poduroides;4716061;EDITED;70;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Poduroides;
