verbatimScientificName;scientificName;retainedName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
uncultured Desulfotalea sp.;Desulfotalea Knoblauch & al., 1999;Desulfotalea;3220678;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;
uncultured Desulfovibrio sp.;Desulfovibrio Kluyver & van Niel, 1936;Desulfovibrio;3220375;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
uncultured Desulfuromonas sp.;Desulfuromonas Pfennig & Biebl, 1977;Desulfuromonas;3220490;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;
uncultured Malonomonas sp.;Malonomonas Dehning & Schink, 1990;Malonomonas;3220502;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Malonomonas;
uncultured Pelobacter sp.;Pelobacter Schink & Pfennig, 1983;Pelobacter;3220504;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;
uncultured Geoalkalibacter sp.;Geoalkalibacter Zavarzina & al., 2007;Geoalkalibacter;4888232;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geoalkalibacter;
uncultured Ktedonobacter sp.;Ktedonobacter Cavaletti & al., 2007;Ktedonobacter;4900657;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;
uncultured Geothermobacter sp.;Geothermobacter Kashefi & al., 2005;Geothermobacter;3220511;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter;
uncultured Anaeromyxobacter sp.;Anaeromyxobacter Sanford & al., 2002;Anaeromyxobacter;3220545;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Anaeromyxobacter;
uncultured Cystobacter sp.;Cystobacter Schroeter, 1886;Cystobacter;3220549;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;Cystobacter;
uncultured Haliangium sp.;Haliangium Fudou & al., 2002;Haliangium;3220527;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;
uncultured Kofleria sp.;Kofleria Reichenbach, 2007;Kofleria;3220542;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Kofleria;
Cystobacterineae;Cystobacteraceae;Cystobacteraceae;4875;EDITED;55;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae;;
Sorangiineae;Myxococcales;Myxococcales;1384;EDITED;;ACCEPTED;ORDER;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;;;
uncultured Nannocystis sp.;Nannocystis Reichenbach, 1970;Nannocystis;3220532;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Nannocystis;
uncultured Phaselicystis sp.;Phaselicystis Garcia & al., 2009;Phaselicystis;8354269;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis;
uncultured Byssovorax sp.;Byssovorax Reichenbach & al., 2006;Byssovorax;4892105;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;
uncultured Chondromyces sp.;Chondromyces Berk. & M.A.Curtis;Chondromyces;3220588;EDITED;99;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces;
uncultured Polyangium sp.;Polyangium Link;Polyangium;3220602;EDITED;99;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Polyangium;
uncultured Syntrophus sp.;Syntrophus, 1984;Syntrophus;3220393;EDITED;99;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;
uncultured Desulfovirga sp.;Desulfovirga Tanaka & al., 2000;Desulfovirga;3220389;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga;
uncultured Syntrophobacter sp.;Syntrophobacter Boone & Bryant, 1984;Syntrophobacter;3220384;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;
uncultured Crocinitomix sp.;Crocinitomix Bowman & al., 2003;Crocinitomix;3228479;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;
Demequina sp. CMS382;Demequina Yi & al., 2007;Demequina;4901371;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;Demequina;
uncultured Lishizhenia sp.;Lishizhenia Lau & al., 2006;Lishizhenia;4888700;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Lishizhenia;
uncultured Demequina sp.;Demequina Yi & al., 2007;Demequina;4901371;EDITED;;ACCEPTED;GENUS;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;Demequina;
Altererythrobacter sp. 100921-2;Altererythrobacter Kwon & al., 2007;Altererythrobacter;4901674;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;
uncultured Rhodothermus sp.;Rhodothermus Alfredsson & al., 1995;Rhodothermus;3228843;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Rhodothermaceae;Rhodothermus;
uncultured Opitutus sp.;Opitutus Chin & al., 2001;Opitutus;3229020;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;
uncultured Gaiella sp.;Gaiella Albuquerque & al., 2012;Gaiella;7650175;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella;
uncultured Rubrobacter sp.;Rubrobacter Suzuki & al., 1989;Rubrobacter;9395544;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;
uncultured Altererythrobacter sp.;Altererythrobacter Kwon & al., 2007;Altererythrobacter;4901674;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;
Eocercomonas sp. HFCC 908;Eocercomonas S.A.Karpov, D.Bass, A.P.Mylnikov & T.Cavalier-Smith, 2006;Eocercomonas;4912196;HIGHERRANK;94;ACCEPTED;GENUS;Chromista;Cercozoa;Thecofilosea;Ebriida;Cercomonadidae;Eocercomonas;
uncultured Solitalea sp.;Solitalea Weon & al., 2009;Solitalea;8132662;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;
uncultured Conexibacter sp.;Conexibacter Monciardini & al., 2003;Conexibacter;3223545;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;
uncultured Solirubrobacter sp.;Solirubrobacter Singleton & al., 2003;Solirubrobacter;3223551;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;
uncultured Thermoleophilum sp.;Thermoleophilum Zarilla & Perry, 1986;Thermoleophilum;3223547;EXACT;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Thermoleophilia;Thermoleophilales;Thermoleophilaceae;Thermoleophilum;
uncultured Sphaerobacter sp.;Sphaerobacter Demharter & al., 1989;Sphaerobacter;3223442;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;
Eocercomonas sp. HFCC 909;Eocercomonas S.A.Karpov, D.Bass, A.P.Mylnikov & T.Cavalier-Smith, 2006;Eocercomonas;4912196;HIGHERRANK;94;ACCEPTED;GENUS;Chromista;Cercozoa;Thecofilosea;Ebriida;Cercomonadidae;Eocercomonas;
Paracercomonas sp. HFCC 913;Paracercomonas Cavalier-Smith & Bass, 2006;Paracercomonas;5899695;HIGHERRANK;94;ACCEPTED;GENUS;Chromista;Cercozoa;Thecofilosea;Ebriida;Cercomonadidae;Paracercomonas;
uncultured Luteolibacter sp.;Luteolibacter Yoon & al., 2008;Luteolibacter;4575424;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter;
uncultured Prosthecobacter sp.;Prosthecobacter;Prosthecobacter;3229032;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;
uncultured Verrucomicrobium sp.;Verrucomicrobium Schlesner, 1988;Verrucomicrobium;3229030;EXACT;94;ACCEPTED;GENUS;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium;
Anguininae;Anguinidae;Anguinidae;2553;EDITED;78;ACCEPTED;FAMILY;Animalia;Nematoda;Secernentea;Tylenchida;Anguinidae;;
Paracercomonas sp. HFCC 918;Paracercomonas Cavalier-Smith & Bass, 2006;Paracercomonas;5899695;HIGHERRANK;94;ACCEPTED;GENUS;Chromista;Cercozoa;Thecofilosea;Ebriida;Cercomonadidae;Paracercomonas;
Candidatus Koribacter versatilis Ellin345;Acidobacteriaceae;Acidobacteriaceae;3811C1;EDITED;;ACCEPTED;SPECIES;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Koribacter;
uncultured Candidatus Koribacter sp.;Acidobacteriaceae;Acidobacteriaceae;3811;EDITED;;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Koribacter;
uncultured Edaphobacter sp.;Edaphobacter Koch & al., 2008;Edaphobacter;4887124;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;
uncultured Terriglobus sp.;Terriglobus Eichorst & al., 2007;Terriglobus;4887298;EXACT;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;
uncultured Gemmatimonas sp.;Gemmatimonas Zhang & al., 2003;Gemmatimonas;3228301;EXACT;94;ACCEPTED;GENUS;Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;
Novosphingobium sp.;Novosphingobium;Novosphingobium;7512659;HIGHERRANK;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;
uncultured Novosphingobium sp.;Novosphingobium;Novosphingobium;7512659;EXACT;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;
uncultured Zavarzinella sp.;Zavarzinella Kulichevskaya & al., 2009;Zavarzinella;7513382;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Zavarzinella;
uncultured Isosphaera sp.;Isosphaera Giovannoni & al., 1995;Isosphaera;3228987;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Isosphaera;
uncultured Singulisphaera sp.;Singulisphaera Kulichevskaya & al., 2008;Singulisphaera;4572757;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera;
Ferruginibacter sp. WF24;Ferruginibacter Lim & al., 2009;Ferruginibacter;7592743;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter;
uncultured Ferruginibacter sp.;Ferruginibacter Lim & al., 2009;Ferruginibacter;7592743;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter;
uncultured Rhodopirellula sp.;Rhodopirellula Schlesner & al., 2004;Rhodopirellula;3228996;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula;
Candidatus Solibacter usitatus Ellin6076;Salibacter Lu & al., 2015;Solibacter;9593499C1;EDITED;100;EDITED;SPECIES;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter;
Dongia sp. CB 286422;Dongia Liu & al., 2010;Dongia;7642033;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia;
uncultured Dongia sp.;Dongia Liu & al., 2010;Dongia;7642033;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia;
uncultured Mycobacterium sp.;Mycobacterium Lehmann & Neumann, 1896;Mycobacterium;8018537;EDITED;;ACCEPTED;GENUS;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;
Dorylaimoidea;Dorylaimidae;Dorylaimidae;2592;EDITED;53;ACCEPTED;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Dorylaimidae;;
Pungentinae;Pungentidae;Nordiidae;7018664;EDITED;77;SYNONYM;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Nordiidae;;
Methanomassiliicoccus sp. 138;Methanomassiliicoccus Dridi & al., 2012;Methanomassiliicoccus;8059437;HIGHERRANK;94;ACCEPTED;GENUS;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;
uncultured Saccharophagus sp.;Saccharophagus Ekborg & al., 2005;Saccharophagus;3222768;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Saccharophagus;
uncultured Haliea sp.;Haliea Urios & al., 2008;Haliea;4901805;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Haliea;
uncultured Nitrosococcus sp.;Nitrosococcus Winogradsky, 1892;Nitrosococcus;3222546;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;
uncultured Thiohalospira sp.;Thiohalospira Sorokin & al., 2008;Thiohalospira;7940377;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira;
uncultured Thiorhodospira sp.;Thiorhodospira Bryantseva & al., 1999;Thiorhodospira;3222596;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira;
uncultured Legionella sp.;Legionella Brenner & al., 1979;Legionella;3223036;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;
uncultured Steroidobacter sp.;Steroidobacter Fahrbach & al., 2008;Steroidobacter;8392425;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Steroidobacter;
uncultured Pseudomonas sp.;Pseudomonas Migula, 1894;Pseudomonas;3219881;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
uncultured Dokdonella sp.;Dokdonella Yoon & al., 2006;Dokdonella;3222287;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dokdonella;
uncultured Dyella sp.;Dyella Xie & Yokota, 2005;Dyella;3222364;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dyella;
Methanomassiliicoccus sp. 142;Methanomassiliicoccus Dridi & al., 2012;Methanomassiliicoccus;8059437;HIGHERRANK;94;ACCEPTED;GENUS;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;
Methanomassiliicoccus sp. P27;Methanomassiliicoccus Dridi & al., 2012;Methanomassiliicoccus;8059437;HIGHERRANK;94;ACCEPTED;GENUS;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;
uncultured Thermomonas sp.;Thermomonas Busse & al., 2002;Thermomonas;3222292;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;
uncultured Xanthomonas sp.;Xanthomonas Dowson, 1939;Xanthomonas;3220012;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;
Thripinae;Thripidae;Thripidae;4387;EDITED;78;ACCEPTED;FAMILY;Animalia;Arthropoda;Insecta;Thysanoptera;Thripidae;;
Hoplolaiminae;Hoplolaimidae;Hoplolaimidae;6465;EDITED;78;ACCEPTED;FAMILY;Animalia;Nematoda;Secernentea;Tylenchida;Hoplolaimidae;;
Bacillariophycidae;Bacillariophyceae;Bacillariophycidae;7947184;EDITED;39;ACCEPTED;CLASS;Chromista;Ochrophyta;Bacillariophycidae;;;;
Colpoda sp. MD-2011;Colpoda;Colpoda;8136143;HIGHERRANK;94;ACCEPTED;GENUS;Chromista;Ciliophora;Colpodea;Colpodida;Colpodidae;Colpoda;
Colpoda sp. PRA-118;Colpoda;Colpoda;8136143;HIGHERRANK;94;ACCEPTED;GENUS;Chromista;Ciliophora;Colpodea;Colpodida;Colpodidae;Colpoda;
Rhizomicrobium sp. URHE0053;Rhizomicrobium Ueki & al., 2010;Rhizomicrobium;8317892;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;
Asteroideae;Asteraceae;Asteraceae;3065;EDITED;;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;;
Alsineae;;Caryophyllaceae�;2518;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Eudicots;Caryophyllaceae�;;
Papilionoideae;Papilionidae;Fabaceae;9417;EDITED;55;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;;
fabids;;Fabidae;4303377;NONE;100;EDITED;FAMILY;Animalia;Arthropoda;Malacostraca;Isopoda;Fabidae;;
Dicranidae;;Bryopsida;327;NONE;100;EDITED;FAMILY;Plantae;Bryophyta;Bryopsida;;;;
Funariidae;Furnariidae;Furnariidae;5243;EDITED;4;ACCEPTED;FAMILY;Animalia;Chordata;Aves;Passeriformes;Furnariidae;;
Petrosaviidae;Petrosiidae;Petrosiidae;3913;EDITED;64;ACCEPTED;FAMILY;Animalia;Porifera;Demospongiae;Haplosclerida;Petrosiidae;;
Marsdenieae;Marsdenia R.Br.;Marsdenia;3170190;EDITED;55;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Marsdenia;
Plantagineae;Plantaginaceae;Plantaginaceae;2420;EDITED;55;ACCEPTED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Plantaginaceae;;
campanulids;;Campanulaceae;8801;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Asterales;Campanulaceae;;
Embryophyta;;Bryophyta;35;NONE;100;EDITED;PHYLLUM;Plantae;Bryophyta;;;;;
eudicotyledons;;Magnoliopsida;220;NONE;100;EDITED;CLASS;Plantae;Tracheophyta;Magnoliopsida;;;;
Euphyllophyta;;Euphyllophyta;7707728;NONE;100;EDITED;PHYLLUM;Plantae;Euphyllophyta;;;;;
lamiids;;Lamiales;408;NONE;100;EDITED;ORDER;Plantae;Tracheophyta;Magnoliopsida;Lamiales;;;
rosids;;Rosales;691;NONE;100;EDITED;ORDER;Plantae;Tracheophyta;Magnoliopsida;Rosales;;;
Pinidae;;Equisetopsida;246;NONE;100;EDITED;CLASS;Plantae;Tracheophyta;Equisetopsida;;;;
uncultured Rhizomicrobium sp.;Rhizomicrobium Ueki & al., 2010;Rhizomicrobium;8317892;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;
Phenylobacterium sp. B6.10-61;Phenylobacterium Lingens & al., 1985;Acidobacterium;9571613;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Caulobacteraceae;Phenylobacterium;
Phenylobacterium sp. enrichment culture clone LplF-80;Phenylobacterium Lingens & al., 1985;Endogone;9571613;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Mucoromycota;Zygomycota;Endogonales;Caulobacteraceae;Phenylobacterium;
Phenylobacterium sp. URHA0004;Phenylobacterium Lingens & al., 1985;Endogone;9571613;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Mucoromycota;Zygomycota;Endogonales;Caulobacteraceae;Phenylobacterium;
uncultured Phenylobacterium sp.;Phenylobacterium Lingens & al., 1985;Phenylobacterium;9571613;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;
Planctomyces sp.;Planctomyces M.Gimesi;Planctomyces;9577926;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;
uncultured Planctomyces sp.;Planctomyces M.Gimesi;Planctomyces;9577926;EXACT;94;ACCEPTED;GENUS;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;
uncultured Candidatus Solibacter sp.;Salibacter Lu & al., 2016;Solibacter;9593499;EDITED;100;EDITED;GENUS;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter;
Papaveroideae;;Papaveraceae;2422;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Papaveraceae;;
Saliceae;;Salicaceae;6664;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Salicaceae;;
Solanoideae;;Solanaceae;7717;NONE;100;EDITED;FAMILY;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;;
uncultured Solibacter sp.;Salibacter Lu & al., 2017;Solibacter;9593499;EDITED;79;ACCEPTED;GENUS;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Solibacter;
Penicillium sp. D01;Penicillium Link;Penicillium;9623011;HIGHERRANK;92;ACCEPTED;GENUS;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;
Tylenchinae;;Tylenchidae;6463;NONE;100;EDITED;FAMILY;Animalia;Nematoda;Secernentea;Tylenchida;Tylenchidae;;
Sphenoderiidae;;Sphenoderiidae;9797892;NONE;100;EDITED;FAMILY;Chromista;Cercozoa;Imbricatea;Euglyphida;Sphenoderiidae;;
Tetrahymenina;;Tetrahymenidae;7602988;NONE;100;EDITED;FAMILY;Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida;Tetrahymenidae;;
Stichotrichia;;Stichotrichida;8050047;NONE;100;EDITED;ORDER;Chromista;Ciliophora;Hypotrichea;Stichotrichida;;;
Gonostomum sp. JS-2012;Gonostomum;Gonostomum;8289527;EXACT;94;ACCEPTED;GENUS;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae;Gonostomum;
Trichostomatia;Trichostomatida;Trichostomatida;8116740;EDITED;79;ACCEPTED;ORDER;Chromista;Ciliophora;Kinetofragminophora;Trichostomatida;;;
Gamasina;;Gamasidae;3252752;NONE;100;EDITED;FAMILY;Animalia;Arthropoda;Arachnida;Mesostigmata;Gamasidae;;
Nygolaiminae;Nygolaimidae;Nygolaimidae;2588;EDITED;78;ACCEPTED;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Nygolaimidae;;
Pleurostigmophora;Pleurostomophora Vijaykr., L.Mostert, Jeewon, W.Gams, K.D.Hyde & Crous;Pleurostomophora;2565621;EDITED;53;DOUBTFUL;GENUS;Fungi;Ascomycota;Sordariomycetes;Calosphaeriales;Pleurostomataceae;Pleurostomophora;
Entomobryoidea;Entomobryidae;Entomobryidae;7216;EDITED;53;ACCEPTED;FAMILY;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;;
Penicillium sp. SDI-2014f;Penicillium Link;Penicillium;9623011;HIGHERRANK;92;ACCEPTED;GENUS;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium;
Entomobryoidea;Entomobryoides Maynard, 1951;Entomobryoides;9126515;EDITED;70;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Entomobryidae;Entomobryoides;
Mycobacterium sp. PSY065;Mycobacterium Lehmann & Neumann, 1896;Mycobacterium;8018537C1;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;
Lumbricinae;Lumbricidae;Lumbricidae;6103;EDITED;76;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;;
Tipulinae;Tipulidae;Tipulidae;7634;EDITED;76;ACCEPTED;FAMILY;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;;
Ceratozetoidea;Ceratozetidae;Ceratozetidae;7412;EDITED;53;ACCEPTED;FAMILY;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Ceratozetidae;;
Tuber sp. CBS 272 72;Tuber P.Micheli ex F.H.Wigg.;Tuber;8282501;EDITED;63;ACCEPTED;GENUS;Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;
uncultured Elusimicrobium sp.;Elusimicrobium Geissinger & al., 2010;Elusimicrobium;6533858;EXACT;94;ACCEPTED;GENUS;Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;
