esp;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Anteholosticha;168;37;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Anystis;135;19;13;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aphanomyces;269;56;29;20;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aphelenchoides;94;8;5;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aphelenchus;95;8;5;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aphidius;146;23;14;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aphis;148;24;14;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aphodius;160;32;19;13;8;7;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Apiotrichum;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Aporcelaimellus;129;13;9;6;5;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aporrectodea;162;33;20;14;9;7;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Apusomonas;64;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aquihabitans;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Archaeorhizomyces;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Archaeospora;271;57;30;21;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Arcuospathidium;167;36;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Arenimonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Arthrobacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Articulospora;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Ascobolus;300;59;32;22;15;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Asterostroma;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Athous;133;17;12;8;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aulacorthum;149;25;15;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Auxarthron;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Azospirillum;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bacillus;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bacteriovorax;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bacteroides;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bardeliella;65;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Barynotus;144;22;14;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Basidiobolus;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Basiria;128;12;8;5;5;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bastiania;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bdellovibrio;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Beauveria;244;42;26;20;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bellilinea;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bicosoeca;33;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bisporella;163;34;21;15;10;8;5;4;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Blaberolaelaps;136;19;13;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Blastochloris;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Blastococcus;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Blepharisma;34;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bodo;60;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bodomorpha;66;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bolbitius;299;59;32;22;15;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Boleodorus;128;12;8;5;5;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bos;297;58;31;21;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Botryochloris;170;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Boudiera;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Brachyphoris;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bracteacoccus;171;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bradyrhizobium;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bradysia;156;30;17;11;7;6;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bresslaua;168;37;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bresslauides;67;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Brevundimonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bryometopus;168;37;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bryometopus pseudochilodon;168;37;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Buchholzia;155;29;16;10;7;6;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bullera;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Bumilleriopsis;172;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Burkholderia;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Byssovorax;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Caenimonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Caldilinea;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Calluna;229;40;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Camarophyllus;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Campanella;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Campodea;158;30;17;11;7;6;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Canavalia;230;40;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Candidatus Koribacter;308;65;36;25;17;12;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Candidatus Microthrix;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Candidatus Nephrothrix;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Candidatus Nitrosocosmicus;309;66;37;26;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
