"";"x"
"222";"Lacrymariidae"
"223";"Laelapidae"
"224";"Lamiaceae"
"225";"Legionellaceae"
"226";"Leiodidae"
"227";"Leptomyxidae"
"228";"Leptophryidae"
"229";"Leptosphaeriaceae"
"230";"Leptospiraceae"
"231";"Linaceae"
"232";"Lithobiidae"
"233";"Lonchopteridae"
"234";"Longidoridae"
"235";"Lumbricidae"
"236";"Magnaporthaceae"
"237";"Mallomonadaceae"
"238";"Marasmiaceae"
"239";"Marynidae"
"240";"Melastomataceae"
"241";"Meloidogynidae"
"242";"Merliniidae"
"243";"Mermithidae"
"244";"Methanomassiliicoccaceae"
"245";"Methylobacteriaceae"
"246";"Methylocystaceae"
"247";"Methylophilaceae"
"248";"Microbacteriaceae"
"249";"Micrococcaceae"
"250";"Microlaimidae"
"251";"Micromonosporaceae"
"252";"Micropepsaceae"
"253";"Microthoracidae"
"254";"Microthrixaceae"
"255";"Mischococcaceae"
"256";"Monhysteridae"
"257";"Monocystidae"
"258";"Mononchidae"
"259";"Moraxellaceae"
"260";"Mortierellaceae"
"261";"Mrakiaceae"
"262";"Mucoraceae"
"263";"Mycobacteriaceae"
"264";"Myxochloridaceae"
"265";"Myxococcaceae"
"266";"Nakamurellaceae"
"267";"Nannocystaceae"
"268";"Nassulidae"
"269";"Naviculaceae"
"270";"Neanuridae"
"271";"Neelidae"
"272";"Nitrosomonadaceae"
"273";"Nitrosopumilaceae"
"274";"Nitrososphaeraceae"
"275";"Nitrospiraceae"
"276";"Nocardiaceae"
"277";"Nocardioidaceae"
"278";"Noctuidae"
"279";"Nordiidae"
"280";"Nucleariidae"
"281";"Nygolaimidae"
"282";"Ochromonadaceae"
"283";"Oikomonadaceae"
"284";"Oleaceae"
"285";"Oligoflexaceae"
"286";"Olpidiaceae"
"287";"Onychiuridae"
"288";"Onygenaceae"
"289";"Opitutaceae"
"290";"Orbiliaceae"
"291";"Oribatulidae"
"292";"Oxalobacteraceae"
"293";"Oxystominidae"
"294";"Oxytrichidae"
"295";"Paenibacillaceae"
"296";"Palmellaceae"
"297";"Panagrolaimidae"
"298";"Papaveraceae"
"299";"Paraglomeraceae"
"300";"Paraphysomonadaceae"
"301";"Parasitidae"
"302";"Pasteurellaceae"
"303";"Pasteuriaceae"
"304";"Paulinellidae"
"305";"Pemphigidae"
"306";"Peptococcaceae"
"307";"Peridiniaceae"
"308";"Phaeosphaeriaceae"
"309";"Phaselicystidaceae"
"310";"Phycisphaeraceae"
"311";"Phyllobacteriaceae"
"312";"Phytoseiidae"
"313";"Pinaceae"
"314";"Piptocephalidaceae"
"315";"Planctomycetaceae"
"316";"Planococcaceae"
"317";"Plantaginaceae"
"318";"Plasmodiophoridae"
"319";"Platyophryidae"
"320";"Plectidae"
"321";"Pleurochloridaceae"
"322";"Pluteaceae"
"323";"Poaceae"
"324";"Poduridae"
"325";"Polyangiaceae"
"326";"Polydesmidae"
"327";"Polygonaceae"
"328";"Pratylenchidae"
"329";"Prismatolaimidae"
"330";"Propionibacteriaceae"
"331";"Prorodontidae"
"332";"Protomycetaceae"
"333";"Protoribatidae"
"334";"Psathyrellaceae"
"335";"Pseudomonadaceae"
"336";"Pseudonocardiaceae"
"337";"Psoraceae"
"338";"Pterulaceae"
"339";"Pythiaceae"
"340";"Pyxidiophoraceae"
"341";"Qudsianematidae"
"342";"Ranunculaceae"
"343";"Resource::Decaying_wood"
"344";"Resource::Dung"
"345";"Resource::Litter"
"346";"Resource::MOS"
"347";"Rhabditidae"
"348";"Rhabdolaimidae"
"349";"Rhagidiidae"
"350";"Rhizobiaceae"
"351";"Rhizophlyctidaceae"
"352";"Rhizophydiaceae"
"353";"Rhodanobacteraceae"
"354";"Rhodobacteraceae"
"355";"Rhodobiaceae"
"356";"Rhodocyclaceae"
"357";"Rhodospirillaceae"
"358";"Rhodothermaceae"
"359";"Roseiarcaceae"
"360";"Roseiflexaceae"
"361";"Rubrobacteraceae"
"362";"Saccharomycetaceae"
"363";"Salicaceae"
"364";"Salpingoecidae"
"365";"Sanguibacteraceae"
"366";"Sapindaceae"
"367";"Saprolegniaceae"
