"";"labels"
"Acaridae";2
"Acetobacteraceae";8
"Acidiferrobacteraceae";8
"Acidimicrobiaceae";8
"Acidobacteriaceae";14
"Acidothermaceae";8
"Acropisthiidae";16
"Acrospermaceae";17
"Actinochloridaceae";23
"Actinomycetaceae";8
"Actinospicaceae";8
"Adinetidae";7
"Alaimidae";9
"Alcaligenaceae";8
"Alicorhagiidae";25
"Ambisporaceae";31
"Amphileptidae";16
"Amphisiellidae";16
"Anaerolineaceae";8
"Anaeromyxobacteraceae";8
"Anatonchidae";15
"Anguinidae";18
"Anoplophryidae";31
"Anystidae";1
"Aphelenchidae";18
"Aphelenchoididae";18
"Aphididae";27
"Apiaceae";39
"Apocynaceae";33
"Aporcelaimidae";15
"Apusomonadidae";10
"Aquifoliaceae";33
"Archaeorhizomycetaceae";17
"Archaeosporaceae";31
"Archangiaceae";8
"Ascobolaceae";36
"Aspergillaceae";17
"Asteraceae";29
"Aurantimonadaceae";8
"Bacillaceae";8
"Bacillariaceae";23
"Bacteriovoracaceae";8
"Bacteroidaceae";8
"Bardeliellidae";10
"Basidiobolaceae";17
"Bdellovibrionaceae";8
"Beijerinckiaceae";8
"Betulaceae";29
"Bicosoecidae";7
"Bionectriaceae";17
"Blepharismidae";7
"Bodonidae";11
"Bolbitiaceae";36
"Botryidiopsidaceae";23
"Botryochloridaceae";23
"Bovidae";30
"Brachionidae";7
"Brachychthoniidae";38
"Braconidae";37
"Bracteacoccaceae";23
"Bradyrhizobiaceae";8
"Brassicaceae";39
"Brucellaceae";8
"Bryometopidae";35
"Bulleraceae";17
"Bulleribasidiaceae";17
"Burkholderiaceae";8
"Caldilineaceae";8
"Campodeidae";38
"Carabidae";26
"Caricaceae";33
"Caryophyllaceae";39
"Catenariaceae";17
"Catenulisporaceae";8
"Caulerpaceae";23
"Caulobacteraceae";8
"Cellulomonadaceae";8
"Cellvibrionaceae";8
"Cenarchaeaceae";40
"Centritractaceae";23
"Cephalobidae";9
"Ceratobasidiaceae";31
"Cercomonadidae";10
"Chaetophoraceae";23
"Chaetosphaeriaceae";17
"Chilodonellidae";41
"Chitinophagaceae";8
"Chlamydomonadaceae";23
"Chlamydophryidae";41
"Chlorellaceae";23
"Chlorococcaceae";23
"Chloroflexaceae";8
"Chromatiaceae";8
"Chromulinaceae";12
"Chthoniidae";3
"Chthoniobacteraceae";8
"Chytridiaceae";24
"Cinetochilidae";7
"Cladosporiaceae";34
"Claroideoglomeraceae";31
"Clavariaceae";17
"Clavicipitaceae";4
"Clavulinaceae";36
"Clostridiaceae";8
"Clostridiales Family XVII. Incertae Sedis";8
"Colpodidae";10
"Comamonadaceae";8
"Conexibacteraceae";8
"Convolvulaceae";33
"Cordycipitaceae";4
"Corticiaceae";17
"Coxiellaceae";8
"Crocinitomicaceae";8
"Cryphonectriaceae";36
"Cryptococcaceae";17
"Cucurbitaceae";33
"Cucurbitariaceae";17
"Cunninghamellaceae";17
"Curculionidae";37
"Cyclidiidae";7
"Cyphellophoraceae";17
"Cyrtolophosididae";10
"Cystobasidiaceae";31
"Cytophagaceae";8
"Dacrymycetaceae";36
"Dehalococcoidaceae";8
"Demequinaceae";8
"Desulfobulbaceae";8
"Desulfovibrionaceae";8
"Desulfuromonadaceae";8
"Diadesmidaceae";23
"Dictyosporiaceae";17
"Didymellaceae";30
"Dileptidae";16
"Dinobryaceae";42
"Diplogasteroididae";15
"Dipodascaceae";17
"Diversisporaceae";31
"Dorylaimidae";13
"Echinamoebidae";10
"Ectothiorhodospiraceae";8
"Elateridae";27
"Elusimicrobiaceae";43
"Enchytraeidae";44
"Endochytriaceae";17
"Endogonaceae";36
"Enterobacteriaceae";8
"Entomobryidae";2
"Entylomataceae";31
"Eosentomidae";19
"Epistylidae";7
"Ericaceae";33
"Erythrobacteraceae";8
"Eudubosquellidae";23
"Euglyphidae";10
"Euplotidae";35
"Eustigmataceae";23
"Fabaceae";29
"Fibrobacteraceae";43
"Filobasidiaceae";17
"Flavobacteriaceae";8
"Forficulidae";20
"Formicidae";37
"Frankiaceae";8
"Fusobacteriaceae";43
"Gaiellaceae";8
"Galumnidae";38
"Geastraceae";17
"Gemmataceae";14
