"";"labels"
"Acaridae";2
"Acetobacteraceae";5
"Acidiferrobacteraceae";5
"Acidimicrobiaceae";5
"Acidobacteriaceae";5
"Acidothermaceae";5
"Acropisthiidae";10
"Acrospermaceae";11
"Actinochloridaceae";12
"Actinomycetaceae";5
"Actinospicaceae";5
"Adinetidae";4
"Alaimidae";6
"Alcaligenaceae";5
"Alicorhagiidae";3
"Ambisporaceae";3
"Amphileptidae";10
"Amphisiellidae";10
"Anaerolineaceae";5
"Anaeromyxobacteraceae";5
"Anatonchidae";9
"Anguinidae";2
"Anoplophryidae";3
"Anystidae";1
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";13
"Apiaceae";14
"Apocynaceae";14
"Aporcelaimidae";9
"Apusomonadidae";4
"Aquifoliaceae";14
"Archaeorhizomycetaceae";11
"Archaeosporaceae";3
"Archangiaceae";5
"Ascobolaceae";11
"Aspergillaceae";11
"Asteraceae";14
"Aurantimonadaceae";5
"Bacillaceae";5
"Bacillariaceae";12
"Bacteriovoracaceae";5
"Bacteroidaceae";5
"Bardeliellidae";4
"Basidiobolaceae";11
"Bdellovibrionaceae";5
"Beijerinckiaceae";5
"Betulaceae";14
"Bicosoecidae";4
"Bionectriaceae";11
"Blepharismidae";4
"Bodonidae";4
"Bolbitiaceae";11
"Botryidiopsidaceae";12
"Botryochloridaceae";12
"Bovidae";13
"Brachionidae";4
"Brachychthoniidae";3
"Braconidae";3
"Bracteacoccaceae";12
"Bradyrhizobiaceae";5
"Brassicaceae";14
"Brucellaceae";5
"Bryometopidae";10
"Bulleraceae";11
"Bulleribasidiaceae";11
"Burkholderiaceae";5
"Caldilineaceae";5
"Campodeidae";3
"Carabidae";3
"Caricaceae";14
"Caryophyllaceae";14
"Catenariaceae";11
"Catenulisporaceae";5
"Caulerpaceae";12
"Caulobacteraceae";5
"Cellulomonadaceae";5
"Cellvibrionaceae";5
"Cenarchaeaceae";3
"Centritractaceae";12
"Cephalobidae";6
"Ceratobasidiaceae";3
"Cercomonadidae";4
"Chaetophoraceae";12
"Chaetosphaeriaceae";11
"Chilodonellidae";3
"Chitinophagaceae";5
"Chlamydomonadaceae";12
"Chlamydophryidae";3
"Chlorellaceae";12
"Chlorococcaceae";12
"Chloroflexaceae";5
"Chromatiaceae";5
"Chromulinaceae";7
"Chthoniidae";1
"Chthoniobacteraceae";5
"Chytridiaceae";11
"Cinetochilidae";4
"Cladosporiaceae";13
"Claroideoglomeraceae";3
"Clavariaceae";11
"Clavicipitaceae";3
"Clavulinaceae";11
"Clostridiaceae";5
"Clostridiales Family XVII. Incertae Sedis";5
"Colpodidae";4
"Comamonadaceae";5
"Conexibacteraceae";5
"Convolvulaceae";14
"Cordycipitaceae";3
"Corticiaceae";11
"Coxiellaceae";5
"Crocinitomicaceae";5
"Cryphonectriaceae";11
"Cryptococcaceae";11
"Cucurbitaceae";14
"Cucurbitariaceae";11
"Cunninghamellaceae";11
