"";"labels"
"Mortierellaceae";12
"Mrakiaceae";16
"Mucoraceae";12
"Mycobacteriaceae";5
"Myxochloridaceae";8
"Myxococcaceae";5
"Nakamurellaceae";5
"Nannocystaceae";5
"Nassulidae";7
"Naviculaceae";14
"Neanuridae";2
"Neelidae";2
"Nitrosomonadaceae";5
"Nitrosopumilaceae";19
"Nitrososphaeraceae";19
"Nitrospiraceae";5
"Nocardiaceae";5
"Nocardioidaceae";5
"Noctuidae";15
"Nordiidae";9
"Nucleariidae";18
"Nygolaimidae";10
"Ochromonadaceae";8
"Oikomonadaceae";14
"Oleaceae";17
"Oligoflexaceae";5
"Olpidiaceae";15
"Onychiuridae";2
"Onygenaceae";12
"Opitutaceae";5
"Orbiliaceae";12
"Oribatulidae";15
"Oxalobacteraceae";5
"Oxystominidae";6
"Oxytrichidae";4
"Paenibacillaceae";5
"Palmellaceae";14
"Panagrolaimidae";6
"Papaveraceae";17
"Paraglomeraceae";15
"Paraphysomonadaceae";8
"Parasitidae";1
"Pasteurellaceae";5
"Pasteuriaceae";5
"Paulinellidae";7
"Pemphigidae";15
"Peptococcaceae";5
"Peridiniaceae";14
"Phaeosphaeriaceae";12
"Phaselicystidaceae";5
"Phycisphaeraceae";5
"Phyllobacteriaceae";5
"Phytoseiidae";1
"Pinaceae";17
"Piptocephalidaceae";12
"Planctomycetaceae";5
"Planococcaceae";5
"Plantaginaceae";17
"Plasmodiophoridae";15
"Platyophryidae";7
"Plectidae";6
"Pleurochloridaceae";14
"Pluteaceae";12
"Poaceae";17
"Poduridae";2
"Polyangiaceae";5
"Polydesmidae";15
"Polygonaceae";17
"Pratylenchidae";16
"Prismatolaimidae";6
"Propionibacteriaceae";5
"Prorodontidae";4
"Protomycetaceae";15
"Protoribatidae";15
"Psathyrellaceae";12
"Pseudomonadaceae";5
"Pseudonocardiaceae";5
"Psoraceae";12
"Pterulaceae";12
"Pythiaceae";16
"Pyxidiophoraceae";12
"Qudsianematidae";9
"Ranunculaceae";17
"Resource::Decaying_wood";21
"Resource::Dung";22
"Resource::Litter";22
"Resource::MOS";22
"Rhabditidae";6
"Rhabdolaimidae";6
"Rhagidiidae";1
"Rhizobiaceae";5
"Rhizophlyctidaceae";12
"Rhizophydiaceae";12
"Rhodanobacteraceae";5
"Rhodobacteraceae";5
"Rhodobiaceae";5
"Rhodocyclaceae";5
"Rhodospirillaceae";5
"Rhodothermaceae";5
"Roseiarcaceae";5
"Roseiflexaceae";5
"Rubrobacteraceae";5
"Saccharomycetaceae";12
"Salicaceae";17
"Salpingoecidae";4
"Sanguibacteraceae";5
"Sapindaceae";17
"Saprolegniaceae";15
"Saprospiraceae";5
"Scarabaeidae";15
"Scenedesmaceae";14
"Sciaridae";15
"Sebacinaceae";12
"Serpulaceae";12
"Siluaniidae";4
"Sinobacteraceae";5
"Sminthuridae";2
"Sminthurididae";2
"Solanaceae";17
"Solibacteraceae";5
"Solirubrobacteraceae";5
"Spathidiidae";11
"Sphaerobacteraceae";5
"Sphaerobolaceae";12
"Sphenoderiidae";7
"Sphingobacteriaceae";5
"Sphingomonadaceae";5
"Spirochaetaceae";5
"Spirofilidae";18
"Spizellomycetaceae";12
"Sporichthyaceae";5
"Sporidiobolaceae";12
"Sporormiaceae";12
"Staphylinidae";13
"Staphylococcaceae";5
"Stemonitidae";7
"Stephanoecidae";4
"Stereaceae";12
"Streptomycetaceae";5
"Streptosporangiaceae";5
"Strophariaceae";12
"Synchytriaceae";15
"Syntrophaceae";5
"Syntrophobacteraceae";5
"Taxaceae";17
"Tectocepheidae";15
"Tepidisphaeraceae";5
"Teratocephalidae";6
"Tetrahymenidae";4
"Tetranychidae";15
"Thaumatomastigidae";7
"Theridiidae";3
"Thermoactinomycetaceae";5
"Thermoanaerobacteraceae";5
"Thermoleophilaceae";5
"Thermomonosporaceae";5
"Thripidae";16
"Tipulidae";15
"Trachelostylidae";18
"Tribonemataceae";14
"Trichocercidae";4
"Trichocomaceae";12
"Trichodoridae";16
"Tricholomataceae";12
"Trichosporonaceae";12
"Trinematidae";7
"Tripylidae";9
"Trypanosomatidae";15
"Tubeufiaceae";12
"Tullbergiidae";2
"Tylenchidae";16
"Tylencholaimidae";2
"Tylenchulidae";16
"Uronematidae";4
"Uropodidae";2
"Urostylidae";18
"Urticaceae";17
"Vahlkampfiidae";7
"Vampyrellidae";18
"Vaucheriaceae";14
"Veigaiidae";1
"Verrucomicrobia subdivision 3";5
"Verrucomicrobiaceae";5
"Vexilliferidae";4
"Viridiraptoridae";20
"Vorticellidae";4
"Vulgatibacteraceae";5
"Xanthobacteraceae";5
"Xanthomonadaceae";5
"Xanthonemataceae";14
"Zoothamniidae";4
