"";"labels"
"Acaridae";2
"Acetobacteraceae";5
"Acidiferrobacteraceae";5
"Acidimicrobiaceae";5
"Acidobacteriaceae";5
"Acidothermaceae";5
"Acropisthiidae";12
"Acrospermaceae";13
"Actinochloridaceae";15
"Actinomycetaceae";5
"Actinospicaceae";5
"Adinetidae";4
"Alaimidae";6
"Alcaligenaceae";5
"Alicorhagiidae";16
"Ambisporaceae";16
"Amphileptidae";12
"Amphisiellidae";12
"Anaerolineaceae";5
"Anaeromyxobacteraceae";5
"Anatonchidae";11
"Anguinidae";2
"Anoplophryidae";16
"Anystidae";1
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";17
"Apiaceae";18
"Apocynaceae";18
"Aporcelaimidae";11
"Apusomonadidae";7
"Aquifoliaceae";18
"Archaeorhizomycetaceae";13
"Archaeosporaceae";16
"Archangiaceae";5
"Ascobolaceae";13
"Aspergillaceae";13
"Asteraceae";18
"Aurantimonadaceae";5
"Bacillaceae";5
"Bacillariaceae";15
"Bacteriovoracaceae";5
"Bacteroidaceae";5
"Bardeliellidae";7
"Basidiobolaceae";13
"Bdellovibrionaceae";5
"Beijerinckiaceae";5
"Betulaceae";18
"Bicosoecidae";4
"Bionectriaceae";13
"Blepharismidae";4
"Bodonidae";8
"Bolbitiaceae";13
"Botryidiopsidaceae";15
"Botryochloridaceae";15
"Bovidae";17
"Brachionidae";4
"Brachychthoniidae";16
"Braconidae";16
"Bracteacoccaceae";15
"Bradyrhizobiaceae";5
"Brassicaceae";18
"Brucellaceae";5
"Bryometopidae";19
"Bulleraceae";13
"Bulleribasidiaceae";13
"Burkholderiaceae";5
"Caldilineaceae";5
"Campodeidae";16
"Carabidae";16
"Caricaceae";18
"Caryophyllaceae";18
"Catenariaceae";13
"Catenulisporaceae";5
"Caulerpaceae";15
"Caulobacteraceae";5
"Cellulomonadaceae";5
"Cellvibrionaceae";5
"Cenarchaeaceae";20
"Centritractaceae";15
"Cephalobidae";6
"Ceratobasidiaceae";16
"Cercomonadidae";7
"Chaetophoraceae";15
"Chaetosphaeriaceae";13
"Chilodonellidae";21
"Chitinophagaceae";5
"Chlamydomonadaceae";15
"Chlamydophryidae";21
"Chlorellaceae";15
"Chlorococcaceae";15
"Chloroflexaceae";5
"Chromatiaceae";5
"Chromulinaceae";9
"Chthoniidae";1
"Chthoniobacteraceae";5
"Chytridiaceae";13
"Cinetochilidae";4
"Cladosporiaceae";17
"Claroideoglomeraceae";16
"Clavariaceae";13
"Clavicipitaceae";3
"Clavulinaceae";13
"Clostridiaceae";5
"Clostridiales Family XVII. Incertae Sedis";5
"Colpodidae";7
"Comamonadaceae";5
"Conexibacteraceae";5
"Convolvulaceae";18
"Cordycipitaceae";3
"Corticiaceae";13
"Coxiellaceae";5
"Crocinitomicaceae";5
"Cryphonectriaceae";13
"Cryptococcaceae";13
"Cucurbitaceae";18
"Cucurbitariaceae";13
"Cunninghamellaceae";13
