"";"labels"
"Acaridae";1
"Acetobacteraceae";1
"Acidiferrobacteraceae";1
"Acidimicrobiaceae";1
"Acidobacteriaceae";1
"Acidothermaceae";1
"Acropisthiidae";1
"Acrospermaceae";1
"Actinochloridaceae";1
"Actinomycetaceae";1
"Actinospicaceae";1
"Adinetidae";1
"Alaimidae";1
"Alcaligenaceae";1
"Alicorhagiidae";1
"Ambisporaceae";1
"Amphileptidae";1
"Amphisiellidae";1
"Anaerolineaceae";1
"Anaeromyxobacteraceae";1
"Anatonchidae";1
"Anguinidae";1
"Anoplophryidae";1
"Anystidae";1
"Aphelenchidae";1
"Aphelenchoididae";1
"Aphididae";1
"Apiaceae";1
"Apocynaceae";1
"Aporcelaimidae";1
"Apusomonadidae";1
"Aquifoliaceae";1
"Archaeorhizomycetaceae";1
"Archaeosporaceae";1
"Archangiaceae";1
"Ascobolaceae";1
"Aspergillaceae";1
"Asteraceae";1
"Aurantimonadaceae";1
"Bacillaceae";1
"Bacillariaceae";1
"Bacteriovoracaceae";1
"Bacteroidaceae";1
"Bardeliellidae";1
"Basidiobolaceae";1
"Bdellovibrionaceae";1
"Beijerinckiaceae";1
"Betulaceae";1
"Bicosoecidae";1
"Bionectriaceae";1
"Blepharismidae";1
"Bodonidae";1
"Bolbitiaceae";1
"Botryidiopsidaceae";1
"Botryochloridaceae";1
"Bovidae";1
"Brachionidae";1
"Brachychthoniidae";1
"Braconidae";1
"Bracteacoccaceae";1
"Bradyrhizobiaceae";1
"Brassicaceae";1
"Brucellaceae";1
"Bryometopidae";1
"Bulleraceae";1
"Bulleribasidiaceae";1
"Burkholderiaceae";1
"Caldilineaceae";1
"Campodeidae";1
"Carabidae";1
"Caricaceae";1
"Caryophyllaceae";1
"Catenariaceae";1
"Catenulisporaceae";1
"Caulerpaceae";1
"Caulobacteraceae";1
"Cellulomonadaceae";1
"Cellvibrionaceae";1
"Cenarchaeaceae";1
"Centritractaceae";1
"Cephalobidae";1
"Ceratobasidiaceae";1
"Cercomonadidae";1
"Chaetophoraceae";1
"Chaetosphaeriaceae";1
"Chilodonellidae";1
"Chitinophagaceae";1
"Chlamydomonadaceae";1
"Chlamydophryidae";1
"Chlorellaceae";1
"Chlorococcaceae";1
"Chloroflexaceae";1
"Chromatiaceae";1
"Chromulinaceae";1
"Chthoniidae";1
"Chthoniobacteraceae";1
"Chytridiaceae";1
"Cinetochilidae";1
"Cladosporiaceae";1
"Claroideoglomeraceae";1
"Clavariaceae";1
"Clavicipitaceae";1
"Clavulinaceae";1
"Clostridiaceae";1
"Clostridiales Family XVII. Incertae Sedis";1
"Colpodidae";1
"Comamonadaceae";1
"Conexibacteraceae";1
"Convolvulaceae";1
"Cordycipitaceae";1
"Corticiaceae";1
"Coxiellaceae";1
"Crocinitomicaceae";1
"Cryphonectriaceae";1
"Cryptococcaceae";1
"Cucurbitaceae";1
"Cucurbitariaceae";1
"Cunninghamellaceae";1
"Curculionidae";1
"Cyclidiidae";1
"Cyphellophoraceae";1
"Cyrtolophosididae";1
"Cystobasidiaceae";1
"Cytophagaceae";1
"Dacrymycetaceae";1
"Dehalococcoidaceae";1
"Demequinaceae";1
"Desulfobulbaceae";1
"Desulfovibrionaceae";1
"Desulfuromonadaceae";1
"Diadesmidaceae";1
"Dictyosporiaceae";1
"Didymellaceae";1
"Dileptidae";1
"Dinobryaceae";1
"Diplogasteroididae";1
"Dipodascaceae";1
"Diversisporaceae";1
"Dorylaimidae";1
"Echinamoebidae";1
"Ectothiorhodospiraceae";1
"Elateridae";1
"Elusimicrobiaceae";1
"Enchytraeidae";1
"Endochytriaceae";1
"Endogonaceae";1
"Enterobacteriaceae";1
"Entomobryidae";1
"Entylomataceae";1
"Eosentomidae";1
"Epistylidae";1
"Ericaceae";1
"Erythrobacteraceae";1
"Eudubosquellidae";1
"Euglyphidae";1
"Euplotidae";1
"Eustigmataceae";1
"Fabaceae";1
"Fibrobacteraceae";1
"Filobasidiaceae";1
"Flavobacteriaceae";1
"Forficulidae";1
"Formicidae";1
"Frankiaceae";1
"Fusobacteriaceae";1
"Gaiellaceae";1
"Galumnidae";1
"Geastraceae";1
"Gemmataceae";1
"Gemmatimonadaceae";1
"Geobacteraceae";1
"Geodermatophilaceae";1
"Geraniaceae";1
"Gigasporaceae";1
"Glomeraceae";1
"Glossiphoniidae";1
"Grossglockneriidae";1
"Gyropidae";1
"Halieaceae";1
"Halosphaeriaceae";1
"Halteriidae";1
"Hartmannellidae";1
"Hausmanniellidae";1
"Helotiaceae";1
"Heteroderidae";1
"Heteromitidae";1
"Heteropediaceae";1
"Heterophryidae";1
"Hibberdiaceae";1
"Histiostomatidae";1
"Hoehnelomycetaceae";1
"Holophagaceae";1
"Holostichidae";1
"Hoplolaimidae";1
"Hyaloscyphaceae";1
"Hydnodontaceae";1
"Hydrogenophilaceae";1
"Hydrophyllaceae";1
"Hygrophoraceae";1
"Hymenobacteraceae";1
"Hymenochaetaceae";1
"Hyphochytriaceae";1
"Hyphomicrobiaceae";1
"Hypogastruridae";1
"Iamiaceae";1
"Ignavibacteriaceae";1
"Intrasporangiaceae";1
"Isolaimiidae";1
"Isosphaeraceae";1
"Isotomidae";1
"Ixioliriaceae";1
"Juglandaceae";1
"Julidae";1
"Juncaceae";1
"Kangiellaceae";1
"Katiannidae";1
"Kineosporiaceae";1
"Klebsormidiaceae";1
"Kofleriaceae";1
"Ktedonobacteraceae";1
"Lachnocladiaceae";1
"Lacrymariidae";1
"Laelapidae";1
"Lamiaceae";1
"Legionellaceae";1
"Leiodidae";1
"Leptomyxidae";1
"Leptophryidae";1
"Leptosphaeriaceae";1
"Leptospiraceae";1
"Linaceae";1
"Lithobiidae";1
"Lonchopteridae";1
"Longidoridae";1
"Lumbricidae";1
"Magnaporthaceae";1
"Mallomonadaceae";1
"Marasmiaceae";1
"Marynidae";1
"Melastomataceae";1
"Meloidogynidae";1
"Merliniidae";1
"Mermithidae";1
"Methanomassiliicoccaceae";1
"Methylobacteriaceae";1
"Methylocystaceae";1
"Methylophilaceae";1
"Microbacteriaceae";1
"Micrococcaceae";1
"Microlaimidae";1
"Micromonosporaceae";1
"Micropepsaceae";1
"Microthoracidae";1
"Microthrixaceae";1
"Mischococcaceae";1
"Monhysteridae";1
"Monocystidae";1
"Mononchidae";1
"Moraxellaceae";1
"Mortierellaceae";1
"Mrakiaceae";1
"Mucoraceae";1
"Mycobacteriaceae";1
"Myxochloridaceae";1
"Myxococcaceae";1
"Nakamurellaceae";1
"Nannocystaceae";1
"Nassulidae";1
"Naviculaceae";1
"Neanuridae";1
"Neelidae";1
"Nitrosomonadaceae";1
"Nitrosopumilaceae";1
"Nitrososphaeraceae";1
"Nitrospiraceae";1
"Nocardiaceae";1
"Nocardioidaceae";1
"Noctuidae";1
"Nordiidae";1
"Nucleariidae";1
"Nygolaimidae";1
"Ochromonadaceae";1
"Oikomonadaceae";1
"Oleaceae";1
"Oligoflexaceae";1
"Olpidiaceae";1
"Onychiuridae";1
"Onygenaceae";1
"Opitutaceae";1
"Orbiliaceae";1
"Oribatulidae";1
"Oxalobacteraceae";1
"Oxystominidae";1
"Oxytrichidae";1
"Paenibacillaceae";1
"Palmellaceae";1
"Panagrolaimidae";1
"Papaveraceae";1
"Paraglomeraceae";1
"Paraphysomonadaceae";1
"Parasitidae";1
"Pasteurellaceae";1
"Pasteuriaceae";1
"Paulinellidae";1
"Pemphigidae";1
"Peptococcaceae";1
"Peridiniaceae";1
"Phaeosphaeriaceae";1
"Phaselicystidaceae";1
"Phycisphaeraceae";1
