"";"labels"
"Acaridae";2
"Acetobacteraceae";4
"Acidiferrobacteraceae";4
"Acidimicrobiaceae";4
"Acidobacteriaceae";4
"Acidothermaceae";4
"Acropisthiidae";5
"Acrospermaceae";6
"Actinochloridaceae";1
"Actinomycetaceae";4
"Actinospicaceae";4
"Adinetidae";3
"Alaimidae";3
"Alcaligenaceae";4
"Alicorhagiidae";1
"Ambisporaceae";1
"Amphileptidae";5
"Amphisiellidae";5
"Anaerolineaceae";4
"Anaeromyxobacteraceae";4
"Anatonchidae";5
"Anguinidae";2
"Anoplophryidae";1
"Anystidae";5
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";1
"Apiaceae";1
"Apocynaceae";1
"Aporcelaimidae";5
"Apusomonadidae";3
"Aquifoliaceae";1
"Archaeorhizomycetaceae";6
"Archaeosporaceae";1
"Archangiaceae";4
"Ascobolaceae";6
"Aspergillaceae";6
"Asteraceae";1
"Aurantimonadaceae";4
"Bacillaceae";4
"Bacillariaceae";1
"Bacteriovoracaceae";4
"Bacteroidaceae";4
"Bardeliellidae";3
"Basidiobolaceae";6
"Bdellovibrionaceae";4
"Beijerinckiaceae";4
"Betulaceae";1
"Bicosoecidae";3
"Bionectriaceae";6
"Blepharismidae";3
"Bodonidae";3
"Bolbitiaceae";6
"Botryidiopsidaceae";1
"Botryochloridaceae";1
"Bovidae";1
"Brachionidae";3
"Brachychthoniidae";1
"Braconidae";1
"Bracteacoccaceae";1
"Bradyrhizobiaceae";4
"Brassicaceae";1
"Brucellaceae";4
"Bryometopidae";5
"Bulleraceae";6
"Bulleribasidiaceae";6
"Burkholderiaceae";4
"Caldilineaceae";4
"Campodeidae";1
"Carabidae";1
"Caricaceae";1
"Caryophyllaceae";1
"Catenariaceae";6
"Catenulisporaceae";4
"Caulerpaceae";1
"Caulobacteraceae";4
"Cellulomonadaceae";4
"Cellvibrionaceae";4
"Cenarchaeaceae";1
"Centritractaceae";1
"Cephalobidae";3
"Ceratobasidiaceae";1
"Cercomonadidae";3
"Chaetophoraceae";1
"Chaetosphaeriaceae";6
"Chilodonellidae";5
"Chitinophagaceae";4
"Chlamydomonadaceae";1
"Chlamydophryidae";5
"Chlorellaceae";1
"Chlorococcaceae";1
"Chloroflexaceae";4
"Chromatiaceae";4
"Chromulinaceae";3
"Chthoniidae";5
"Chthoniobacteraceae";4
"Chytridiaceae";6
"Cinetochilidae";3
"Cladosporiaceae";1
"Claroideoglomeraceae";1
"Clavariaceae";6
"Clavicipitaceae";5
"Clavulinaceae";6
"Clostridiaceae";4
"Clostridiales Family XVII. Incertae Sedis";4
"Colpodidae";3
"Comamonadaceae";4
"Conexibacteraceae";4
"Convolvulaceae";1
"Cordycipitaceae";5
"Corticiaceae";6
"Coxiellaceae";4
"Crocinitomicaceae";4
"Cryphonectriaceae";6
"Cryptococcaceae";6
"Cucurbitaceae";1
"Cucurbitariaceae";6
"Cunninghamellaceae";6
"Curculionidae";1
"Cyclidiidae";3
"Cyphellophoraceae";6
"Cyrtolophosididae";3
"Cystobasidiaceae";1
"Cytophagaceae";4
"Dacrymycetaceae";6
"Dehalococcoidaceae";4
"Demequinaceae";4
"Desulfobulbaceae";4
"Desulfovibrionaceae";4
"Desulfuromonadaceae";4
"Diadesmidaceae";1
"Dictyosporiaceae";6
"Didymellaceae";1
"Dileptidae";5
"Dinobryaceae";4
"Diplogasteroididae";5
"Dipodascaceae";6
"Diversisporaceae";1
"Dorylaimidae";3
"Echinamoebidae";3
"Ectothiorhodospiraceae";4
"Elateridae";1
"Elusimicrobiaceae";4
"Enchytraeidae";1
"Endochytriaceae";6
"Endogonaceae";6
"Enterobacteriaceae";4
"Entomobryidae";2
"Entylomataceae";1
"Eosentomidae";2
"Epistylidae";3
"Ericaceae";1
"Erythrobacteraceae";4
"Eudubosquellidae";1
"Euglyphidae";3
"Euplotidae";5
"Eustigmataceae";1
"Fabaceae";1
"Fibrobacteraceae";4
"Filobasidiaceae";6
"Flavobacteriaceae";4
"Forficulidae";2
"Formicidae";1
"Frankiaceae";4
"Fusobacteriaceae";4
"Gaiellaceae";4
"Galumnidae";1
"Geastraceae";6
"Gemmataceae";4
"Gemmatimonadaceae";4
"Geobacteraceae";4
"Geodermatophilaceae";4
"Geraniaceae";1
"Gigasporaceae";1
"Glomeraceae";1
"Glossiphoniidae";1
"Grossglockneriidae";2
"Gyropidae";1
"Halieaceae";4
"Halosphaeriaceae";6
"Halteriidae";3
"Hartmannellidae";3
"Hausmanniellidae";3
"Helotiaceae";6
