"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"1";1e-06;1e-06;0,0458553789166067;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,791666660470159;0,00362318871737556;0,031893004062779;1e-06;1e-06;0,041666667467883;0,0724637680284059;1e-06;1e-06;1e-06;1e-06
"3";0,0423280421826344;0,0298353909789307;0,0128086419720884;0,0416405106965361;0,00152084452263779;0,0493827159405263;1e-06;0,0165272799603909;1e-06;1e-06;1e-06
"4";0,271186439040833;1e-06;1e-06;1e-06;1e-06;0,71186439907732;0,46204863557114;1e-06;1e-06;1e-06;1e-06
"5";1e-06;0,000603865042182239;1e-06;0,998034879989323;1e-06;0,999999;0,00094517988092859;0,00011687714896569;1e-06;1e-06;1e-06
"6";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";0,347826084438383;1e-06;1e-06;1e-06;1e-06;0,782608686768963;0,266798418094383;1e-06;1e-06;1e-06;1e-06
"8";1e-06;0,995967739571345;0,000199123893931;1e-06;1e-06;0,967741925039088;1e-06;1e-06;1e-06;1e-06;1e-06
"9";0,1260504193636;1e-06;0,0130718954031093;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;0,0108024691453671;1e-06;1e-06;1e-06;1e-06;1e-06;0,965073525706913;1e-06;1e-06
"11";1e-06;0,180555555426558;0,102880657161215;1e-06;0,949275348031722;1e-06;1e-06;0,580645152572512;1e-06;1e-06;1e-06
