"";"labels"
"Acaridae";2
"Acetobacteraceae";6
"Acidiferrobacteraceae";6
"Acidimicrobiaceae";6
"Acidobacteriaceae";12
"Acidothermaceae";6
"Acropisthiidae";14
"Acrospermaceae";15
"Actinochloridaceae";19
"Actinomycetaceae";6
"Actinospicaceae";6
"Adinetidae";5
"Alaimidae";7
"Alcaligenaceae";6
"Alicorhagiidae";21
"Ambisporaceae";26
"Amphileptidae";14
"Amphisiellidae";14
"Anaerolineaceae";6
"Anaeromyxobacteraceae";6
"Anatonchidae";13
"Anguinidae";16
"Anoplophryidae";26
"Anystidae";1
"Aphelenchidae";16
"Aphelenchoididae";16
"Aphididae";23
"Apiaceae";25
"Apocynaceae";25
"Aporcelaimidae";13
"Apusomonadidae";8
"Aquifoliaceae";25
"Archaeorhizomycetaceae";15
"Archaeosporaceae";26
"Archangiaceae";6
"Ascobolaceae";15
"Aspergillaceae";15
"Asteraceae";25
"Aurantimonadaceae";6
"Bacillaceae";6
"Bacillariaceae";19
"Bacteriovoracaceae";6
"Bacteroidaceae";6
"Bardeliellidae";8
"Basidiobolaceae";15
"Bdellovibrionaceae";6
"Beijerinckiaceae";6
"Betulaceae";25
"Bicosoecidae";5
"Bionectriaceae";15
"Blepharismidae";5
"Bodonidae";9
"Bolbitiaceae";15
"Botryidiopsidaceae";19
"Botryochloridaceae";19
"Bovidae";23
"Brachionidae";5
"Brachychthoniidae";22
"Braconidae";22
"Bracteacoccaceae";19
"Bradyrhizobiaceae";6
"Brassicaceae";25
"Brucellaceae";6
"Bryometopidae";27
"Bulleraceae";15
"Bulleribasidiaceae";15
"Burkholderiaceae";6
"Caldilineaceae";6
"Campodeidae";22
"Carabidae";22
"Caricaceae";25
"Caryophyllaceae";25
"Catenariaceae";15
"Catenulisporaceae";6
"Caulerpaceae";19
"Caulobacteraceae";6
"Cellulomonadaceae";6
"Cellvibrionaceae";6
"Cenarchaeaceae";28
"Centritractaceae";19
"Cephalobidae";7
"Ceratobasidiaceae";26
"Cercomonadidae";8
"Chaetophoraceae";19
"Chaetosphaeriaceae";15
"Chilodonellidae";29
"Chitinophagaceae";6
"Chlamydomonadaceae";19
"Chlamydophryidae";29
"Chlorellaceae";19
"Chlorococcaceae";19
"Chloroflexaceae";6
"Chromatiaceae";6
"Chromulinaceae";10
"Chthoniidae";1
"Chthoniobacteraceae";6
"Chytridiaceae";20
"Cinetochilidae";5
"Cladosporiaceae";23
"Claroideoglomeraceae";26
"Clavariaceae";15
"Clavicipitaceae";3
"Clavulinaceae";15
"Clostridiaceae";6
"Clostridiales Family XVII. Incertae Sedis";6
"Colpodidae";8
"Comamonadaceae";6
"Conexibacteraceae";6
"Convolvulaceae";25
"Cordycipitaceae";3
"Corticiaceae";15
"Coxiellaceae";6
"Crocinitomicaceae";6
"Cryphonectriaceae";15
"Cryptococcaceae";15
"Cucurbitaceae";25
"Cucurbitariaceae";15
"Cunninghamellaceae";15
"Curculionidae";22
"Cyclidiidae";5
"Cyphellophoraceae";15
"Cyrtolophosididae";8
"Cystobasidiaceae";26
"Cytophagaceae";6
"Dacrymycetaceae";15
"Dehalococcoidaceae";6
"Demequinaceae";6
"Desulfobulbaceae";6
"Desulfovibrionaceae";6
"Desulfuromonadaceae";6
"Diadesmidaceae";19
"Dictyosporiaceae";15
"Didymellaceae";23
"Dileptidae";14
"Dinobryaceae";30
"Diplogasteroididae";13
"Dipodascaceae";15
"Diversisporaceae";26
"Dorylaimidae";11
"Echinamoebidae";8
"Ectothiorhodospiraceae";6
"Elateridae";23
"Elusimicrobiaceae";6
"Enchytraeidae";21
"Endochytriaceae";15
"Endogonaceae";15
"Enterobacteriaceae";6
"Entomobryidae";2
"Entylomataceae";26
"Eosentomidae";17
"Epistylidae";5
"Ericaceae";25
"Erythrobacteraceae";6
"Eudubosquellidae";19
"Euglyphidae";8
