"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"1";0,0173719958169302;0,0274621212444125;0,0383281973478653;0,00139986825406743;0,0454545453637398;1e-06;0,0152126099646889;1e-06;1e-06;1e-06
"2";0,0923295452750465;0,00362318871737555;1e-06;1e-06;0,041666667467883;0,0724637680284059;1e-06;1e-06;1e-06;1e-06
"3";0,0215716486921072;1e-06;1e-06;1e-06;0,71186439907732;0,46204863557114;1e-06;1e-06;1e-06;1e-06
"4";1e-06;0,000603865042182239;0,998034879989324;1e-06;0,999999;0,00094517988092859;0,00011687714896569;1e-06;1e-06;1e-06
"5";0,0795454537935041;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";0,0276679841647758;1e-06;1e-06;1e-06;0,782608686768963;0,266798418094383;1e-06;1e-06;1e-06;1e-06
"7";0,000183284500030348;0,995967739571344;1e-06;1e-06;0,967741925039088;1e-06;1e-06;1e-06;1e-06;1e-06
"8";0,0220588235029442;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";0,00994318184049227;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,965073525706913;1e-06;1e-06
"10";0,0946969686669612;0,180555555426558;1e-06;0,949275348031716;1e-06;1e-06;0,580645152572513;1e-06;1e-06;1e-06
