"";"labels"
"Acaridae";2
"Acetobacteraceae";4
"Acidiferrobacteraceae";4
"Acidimicrobiaceae";4
"Acidobacteriaceae";4
"Acidothermaceae";4
"Acropisthiidae";1
"Acrospermaceae";5
"Actinochloridaceae";1
"Actinomycetaceae";4
"Actinospicaceae";4
"Adinetidae";3
"Alaimidae";3
"Alcaligenaceae";4
"Alicorhagiidae";1
"Ambisporaceae";1
"Amphileptidae";1
"Amphisiellidae";1
"Anaerolineaceae";4
"Anaeromyxobacteraceae";4
"Anatonchidae";1
"Anguinidae";2
"Anoplophryidae";1
"Anystidae";1
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";1
"Apiaceae";1
"Apocynaceae";1
"Aporcelaimidae";1
"Apusomonadidae";3
"Aquifoliaceae";1
"Archaeorhizomycetaceae";5
"Archaeosporaceae";1
"Archangiaceae";4
"Ascobolaceae";5
"Aspergillaceae";5
"Asteraceae";1
"Aurantimonadaceae";4
"Bacillaceae";4
"Bacillariaceae";1
"Bacteriovoracaceae";4
"Bacteroidaceae";4
"Bardeliellidae";3
"Basidiobolaceae";5
"Bdellovibrionaceae";4
"Beijerinckiaceae";4
"Betulaceae";1
"Bicosoecidae";3
"Bionectriaceae";5
"Blepharismidae";3
"Bodonidae";3
"Bolbitiaceae";5
"Botryidiopsidaceae";1
"Botryochloridaceae";1
"Bovidae";1
"Brachionidae";3
"Brachychthoniidae";1
"Braconidae";1
"Bracteacoccaceae";1
"Bradyrhizobiaceae";4
"Brassicaceae";1
"Brucellaceae";4
"Bryometopidae";1
"Bulleraceae";5
"Bulleribasidiaceae";5
"Burkholderiaceae";4
"Caldilineaceae";4
"Campodeidae";1
"Carabidae";1
"Caricaceae";1
"Caryophyllaceae";1
"Catenariaceae";5
"Catenulisporaceae";4
"Caulerpaceae";1
"Caulobacteraceae";4
"Cellulomonadaceae";4
"Cellvibrionaceae";4
"Cenarchaeaceae";1
"Centritractaceae";1
"Cephalobidae";3
"Ceratobasidiaceae";1
"Cercomonadidae";3
"Chaetophoraceae";1
"Chaetosphaeriaceae";5
"Chilodonellidae";1
"Chitinophagaceae";4
"Chlamydomonadaceae";1
"Chlamydophryidae";1
"Chlorellaceae";1
"Chlorococcaceae";1
"Chloroflexaceae";4
"Chromatiaceae";4
"Chromulinaceae";3
"Chthoniidae";1
"Chthoniobacteraceae";4
"Chytridiaceae";5
"Cinetochilidae";3
"Cladosporiaceae";1
"Claroideoglomeraceae";1
"Clavariaceae";5
"Clavicipitaceae";1
"Clavulinaceae";5
"Clostridiaceae";4
"Clostridiales Family XVII. Incertae Sedis";4
"Colpodidae";3
"Comamonadaceae";4
"Conexibacteraceae";4
"Convolvulaceae";1
"Cordycipitaceae";1
"Corticiaceae";5
"Coxiellaceae";4
"Crocinitomicaceae";4
"Cryphonectriaceae";5
"Cryptococcaceae";5
"Cucurbitaceae";1
"Cucurbitariaceae";5
"Cunninghamellaceae";5
"Curculionidae";1
"Cyclidiidae";3
"Cyphellophoraceae";5
"Cyrtolophosididae";3
"Cystobasidiaceae";1
"Cytophagaceae";4
"Dacrymycetaceae";5
"Dehalococcoidaceae";4
"Demequinaceae";4
"Desulfobulbaceae";4
"Desulfovibrionaceae";4
"Desulfuromonadaceae";4
"Diadesmidaceae";1
"Dictyosporiaceae";5
"Didymellaceae";1
"Dileptidae";1
"Dinobryaceae";4
"Diplogasteroididae";1
"Dipodascaceae";5
"Diversisporaceae";1
"Dorylaimidae";3
"Echinamoebidae";3
"Ectothiorhodospiraceae";4
"Elateridae";1
"Elusimicrobiaceae";4
"Enchytraeidae";1
"Endochytriaceae";5
"Endogonaceae";5
"Enterobacteriaceae";4
"Entomobryidae";2
"Entylomataceae";1
"Eosentomidae";2
"Epistylidae";3
"Ericaceae";1
"Erythrobacteraceae";4
"Eudubosquellidae";1
"Euglyphidae";3
"Euplotidae";1
"Eustigmataceae";1
"Fabaceae";1
"Fibrobacteraceae";4
"Filobasidiaceae";5
"Flavobacteriaceae";4
"Forficulidae";2
"Formicidae";1
"Frankiaceae";4
"Fusobacteriaceae";4
"Gaiellaceae";4
"Galumnidae";1
"Geastraceae";5
"Gemmataceae";4
"Gemmatimonadaceae";4
"Geobacteraceae";4
"Geodermatophilaceae";4
"Geraniaceae";1
"Gigasporaceae";1
"Glomeraceae";1
"Glossiphoniidae";1
"Grossglockneriidae";2
"Gyropidae";1
"Halieaceae";4
"Halosphaeriaceae";5
"Halteriidae";3
"Hartmannellidae";3
"Hausmanniellidae";3
"Helotiaceae";5
