"";"labels"
"Acaridae";2
"Acetobacteraceae";5
"Acidiferrobacteraceae";5
"Acidimicrobiaceae";5
"Acidobacteriaceae";5
"Acidothermaceae";5
"Acropisthiidae";10
"Acrospermaceae";11
"Actinochloridaceae";3
"Actinomycetaceae";5
"Actinospicaceae";5
"Adinetidae";4
"Alaimidae";6
"Alcaligenaceae";5
"Alicorhagiidae";3
"Ambisporaceae";3
"Amphileptidae";10
"Amphisiellidae";10
"Anaerolineaceae";5
"Anaeromyxobacteraceae";5
"Anatonchidae";9
"Anguinidae";2
"Anoplophryidae";3
"Anystidae";1
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";12
"Apiaceae";13
"Apocynaceae";13
"Aporcelaimidae";9
"Apusomonadidae";4
"Aquifoliaceae";13
"Archaeorhizomycetaceae";11
"Archaeosporaceae";3
"Archangiaceae";5
"Ascobolaceae";11
"Aspergillaceae";11
"Asteraceae";13
"Aurantimonadaceae";5
"Bacillaceae";5
"Bacillariaceae";3
"Bacteriovoracaceae";5
"Bacteroidaceae";5
"Bardeliellidae";4
"Basidiobolaceae";11
"Bdellovibrionaceae";5
"Beijerinckiaceae";5
"Betulaceae";13
"Bicosoecidae";4
"Bionectriaceae";11
"Blepharismidae";4
"Bodonidae";4
"Bolbitiaceae";11
"Botryidiopsidaceae";3
"Botryochloridaceae";3
"Bovidae";12
"Brachionidae";4
"Brachychthoniidae";3
"Braconidae";3
"Bracteacoccaceae";3
"Bradyrhizobiaceae";5
"Brassicaceae";13
"Brucellaceae";5
"Bryometopidae";10
"Bulleraceae";11
"Bulleribasidiaceae";11
"Burkholderiaceae";5
"Caldilineaceae";5
"Campodeidae";3
"Carabidae";3
"Caricaceae";13
"Caryophyllaceae";13
"Catenariaceae";11
"Catenulisporaceae";5
"Caulerpaceae";3
"Caulobacteraceae";5
"Cellulomonadaceae";5
"Cellvibrionaceae";5
"Cenarchaeaceae";3
"Centritractaceae";3
"Cephalobidae";6
"Ceratobasidiaceae";3
"Cercomonadidae";4
"Chaetophoraceae";3
"Chaetosphaeriaceae";11
"Chilodonellidae";3
"Chitinophagaceae";5
"Chlamydomonadaceae";3
"Chlamydophryidae";3
"Chlorellaceae";3
"Chlorococcaceae";3
"Chloroflexaceae";5
"Chromatiaceae";5
"Chromulinaceae";7
"Chthoniidae";1
"Chthoniobacteraceae";5
"Chytridiaceae";11
"Cinetochilidae";4
"Cladosporiaceae";12
"Claroideoglomeraceae";3
"Clavariaceae";11
"Clavicipitaceae";3
"Clavulinaceae";11
"Clostridiaceae";5
"Clostridiales Family XVII. Incertae Sedis";5
"Colpodidae";4
"Comamonadaceae";5
"Conexibacteraceae";5
"Convolvulaceae";13
"Cordycipitaceae";3
"Corticiaceae";11
"Coxiellaceae";5
"Crocinitomicaceae";5
"Cryphonectriaceae";11
"Cryptococcaceae";11
"Cucurbitaceae";13
"Cucurbitariaceae";11
"Cunninghamellaceae";11
