"";"labels"
"Acaridae";2
"Acetobacteraceae";6
"Acidiferrobacteraceae";6
"Acidimicrobiaceae";6
"Acidobacteriaceae";6
"Acidothermaceae";6
"Acropisthiidae";13
"Acrospermaceae";14
"Actinochloridaceae";17
"Actinomycetaceae";6
"Actinospicaceae";6
"Adinetidae";5
"Alaimidae";7
"Alcaligenaceae";6
"Alicorhagiidae";19
"Ambisporaceae";21
"Amphileptidae";13
"Amphisiellidae";13
"Anaerolineaceae";6
"Anaeromyxobacteraceae";6
"Anatonchidae";12
"Anguinidae";15
"Anoplophryidae";21
"Anystidae";1
"Aphelenchidae";15
"Aphelenchoididae";15
"Aphididae";20
"Apiaceae";22
"Apocynaceae";22
"Aporcelaimidae";12
"Apusomonadidae";8
"Aquifoliaceae";22
"Archaeorhizomycetaceae";14
"Archaeosporaceae";21
"Archangiaceae";6
"Ascobolaceae";14
"Aspergillaceae";14
"Asteraceae";22
"Aurantimonadaceae";6
"Bacillaceae";6
"Bacillariaceae";17
"Bacteriovoracaceae";6
"Bacteroidaceae";6
"Bardeliellidae";8
"Basidiobolaceae";14
"Bdellovibrionaceae";6
"Beijerinckiaceae";6
"Betulaceae";22
"Bicosoecidae";5
"Bionectriaceae";14
"Blepharismidae";5
"Bodonidae";9
"Bolbitiaceae";14
"Botryidiopsidaceae";17
"Botryochloridaceae";17
"Bovidae";20
"Brachionidae";5
"Brachychthoniidae";19
"Braconidae";19
"Bracteacoccaceae";17
"Bradyrhizobiaceae";6
"Brassicaceae";22
"Brucellaceae";6
"Bryometopidae";23
"Bulleraceae";14
"Bulleribasidiaceae";14
"Burkholderiaceae";6
"Caldilineaceae";6
"Campodeidae";19
"Carabidae";19
"Caricaceae";22
"Caryophyllaceae";22
"Catenariaceae";14
"Catenulisporaceae";6
"Caulerpaceae";17
"Caulobacteraceae";6
"Cellulomonadaceae";6
"Cellvibrionaceae";6
"Cenarchaeaceae";24
"Centritractaceae";17
"Cephalobidae";7
"Ceratobasidiaceae";21
"Cercomonadidae";8
"Chaetophoraceae";17
"Chaetosphaeriaceae";14
"Chilodonellidae";25
"Chitinophagaceae";6
"Chlamydomonadaceae";17
"Chlamydophryidae";25
"Chlorellaceae";17
"Chlorococcaceae";17
"Chloroflexaceae";6
"Chromatiaceae";6
"Chromulinaceae";10
"Chthoniidae";1
"Chthoniobacteraceae";6
"Chytridiaceae";18
"Cinetochilidae";5
"Cladosporiaceae";20
"Claroideoglomeraceae";21
"Clavariaceae";14
"Clavicipitaceae";3
"Clavulinaceae";14
"Clostridiaceae";6
"Clostridiales Family XVII. Incertae Sedis";6
"Colpodidae";8
"Comamonadaceae";6
"Conexibacteraceae";6
"Convolvulaceae";22
"Cordycipitaceae";3
"Corticiaceae";14
"Coxiellaceae";6
"Crocinitomicaceae";6
"Cryphonectriaceae";14
"Cryptococcaceae";14
"Cucurbitaceae";22
"Cucurbitariaceae";14
"Cunninghamellaceae";14
"Curculionidae";19
"Cyclidiidae";5
"Cyphellophoraceae";14
"Cyrtolophosididae";8
"Cystobasidiaceae";21
"Cytophagaceae";6
"Dacrymycetaceae";14
"Dehalococcoidaceae";6
"Demequinaceae";6
"Desulfobulbaceae";6
"Desulfovibrionaceae";6
"Desulfuromonadaceae";6
"Diadesmidaceae";17
"Dictyosporiaceae";14
"Didymellaceae";20
"Dileptidae";13
"Dinobryaceae";6
"Diplogasteroididae";12
"Dipodascaceae";14
"Diversisporaceae";21
"Dorylaimidae";11
"Echinamoebidae";8
"Ectothiorhodospiraceae";6
"Elateridae";20
"Elusimicrobiaceae";6
"Enchytraeidae";19
"Endochytriaceae";14
"Endogonaceae";14
"Enterobacteriaceae";6
"Entomobryidae";2
"Entylomataceae";21
"Eosentomidae";2
"Epistylidae";5
"Ericaceae";22
"Erythrobacteraceae";6
"Eudubosquellidae";17
"Euglyphidae";8
