"";"labels"
"Acaridae";2
"Acetobacteraceae";5
"Acidiferrobacteraceae";5
"Acidimicrobiaceae";5
"Acidobacteriaceae";5
"Acidothermaceae";5
"Acropisthiidae";7
"Acrospermaceae";8
"Actinochloridaceae";3
"Actinomycetaceae";5
"Actinospicaceae";5
"Adinetidae";4
"Alaimidae";4
"Alcaligenaceae";5
"Alicorhagiidae";3
"Ambisporaceae";3
"Amphileptidae";7
"Amphisiellidae";7
"Anaerolineaceae";5
"Anaeromyxobacteraceae";5
"Anatonchidae";7
"Anguinidae";2
"Anoplophryidae";3
"Anystidae";1
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";9
"Apiaceae";10
"Apocynaceae";10
"Aporcelaimidae";7
"Apusomonadidae";4
"Aquifoliaceae";10
"Archaeorhizomycetaceae";8
"Archaeosporaceae";3
"Archangiaceae";5
"Ascobolaceae";8
"Aspergillaceae";8
"Asteraceae";10
"Aurantimonadaceae";5
"Bacillaceae";5
"Bacillariaceae";3
"Bacteriovoracaceae";5
"Bacteroidaceae";5
"Bardeliellidae";4
"Basidiobolaceae";8
"Bdellovibrionaceae";5
"Beijerinckiaceae";5
"Betulaceae";10
"Bicosoecidae";4
"Bionectriaceae";8
"Blepharismidae";4
"Bodonidae";4
"Bolbitiaceae";8
"Botryidiopsidaceae";3
"Botryochloridaceae";3
"Bovidae";9
"Brachionidae";4
"Brachychthoniidae";3
"Braconidae";3
"Bracteacoccaceae";3
"Bradyrhizobiaceae";5
"Brassicaceae";10
"Brucellaceae";5
"Bryometopidae";7
"Bulleraceae";8
"Bulleribasidiaceae";8
"Burkholderiaceae";5
"Caldilineaceae";5
"Campodeidae";3
"Carabidae";3
"Caricaceae";10
"Caryophyllaceae";10
"Catenariaceae";8
"Catenulisporaceae";5
"Caulerpaceae";3
"Caulobacteraceae";5
"Cellulomonadaceae";5
"Cellvibrionaceae";5
"Cenarchaeaceae";3
"Centritractaceae";3
"Cephalobidae";4
"Ceratobasidiaceae";3
"Cercomonadidae";4
"Chaetophoraceae";3
"Chaetosphaeriaceae";8
"Chilodonellidae";7
"Chitinophagaceae";5
"Chlamydomonadaceae";3
"Chlamydophryidae";7
"Chlorellaceae";3
"Chlorococcaceae";3
"Chloroflexaceae";5
"Chromatiaceae";5
"Chromulinaceae";4
"Chthoniidae";1
"Chthoniobacteraceae";5
"Chytridiaceae";8
"Cinetochilidae";4
"Cladosporiaceae";9
"Claroideoglomeraceae";3
"Clavariaceae";8
"Clavicipitaceae";3
"Clavulinaceae";8
"Clostridiaceae";5
"Clostridiales Family XVII. Incertae Sedis";5
"Colpodidae";4
"Comamonadaceae";5
"Conexibacteraceae";5
"Convolvulaceae";10
"Cordycipitaceae";3
"Corticiaceae";8
"Coxiellaceae";5
"Crocinitomicaceae";5
"Cryphonectriaceae";8
"Cryptococcaceae";8
"Cucurbitaceae";10
"Cucurbitariaceae";8
"Cunninghamellaceae";8
