"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";1e-06;1e-06;0,0442179713915463;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,791666660470159;0,00362318871737555;0,0307541661316041;1e-06;1e-06;1e-06;0,041666667467883;0,0833310807409232;1e-06;1e-06;1e-06;1e-06
"3";0,076524668576938;0,0287700264642334;0,0119049151384389;0,0382474600574098;0,00146653808599626;0,0476193541084338;0,0833274333220249;0,0357071260262592;0,0159371225319307;1e-06;1e-06;1e-06
"4";0,0851063827135294;1e-06;1e-06;1e-06;1e-06;1e-06;0,893617011389369;0,667003245315229;1e-06;1e-06;1e-06;1e-06
"5";1e-06;0,000603865042182236;0,000258754277762603;0,999383286036143;1e-06;0,992753619777424;0,999999;1e-06;0,00011687714896569;1e-06;1e-06;1e-06
"6";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";0,250020270419849;1e-06;1e-06;1e-06;1e-06;1e-06;0,75000674882515;0,197385640835134;1e-06;1e-06;1e-06;1e-06
"9";1e-06;0,995967739571345;0,000192013562111574;1e-06;1e-06;1e-06;0,967741925039088;1e-06;1e-06;1e-06;1e-06;1e-06
"10";0,1260504193636;1e-06;0,0126051231202803;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;0,0104167337161513;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,965073525706913;1e-06;1e-06
"12";1e-06;0,180555555426558;0,0992069864556869;1e-06;0,949275348031722;1e-06;1e-06;1e-06;0,580645152572513;1e-06;1e-06;1e-06
