"";"labels"
"Abies";1
"Absidia";1
"Achaeta";1
"Achillea";1
"Acidimicrobium";3
"Acidisphaera";3
"Aciditerrimonas";3
"Acidobacterium";3
"Acidothermus";3
"Acidovorax";3
"Acinetobacter";3
"Acrobeles";2
"Acrobeloides";2
"Acrospermum";1
"Actinoallomurus";3
"Actinocatenispora";3
"Actinochloris";1
"Actinocrinis";3
"Actinomadura";3
"Actinomyces";3
"Actinoplanes";3
"Acyrthosiphon";1
"Adhaeribacter";3
"Adineta";2
"Aeromicrobium";3
"Aetherobacter";3
"Aggregicoccus";3
"Agriotes";1
"Agromyces";3
"Alaimus";2
"Alicorhagia";1
"Allolobophora";1
"Allovahlkampfia";2
"Alnus";1
"Altererythrobacter";3
"Ambispora";1
"Aminobacter";3
"Amphidelus";2
"Amphileptus";1
"Amphimallon";1
"Amplimerlinius";1
"Amycolatopsis";3
"Anaeromyxobacter";3
"Anatonchus";1
"Angustibacter";3
"Anoplophrya";1
"Anteholosticha";1
"Anystis";1
"Aphanomyces";1
"Aphelenchoides";1
"Aphelenchus";1
"Aphidius";1
"Aphis";1
"Aphodius";1
"Apiotrichum";1
"Aporcelaimellus";1
"Aporrectodea";1
"Apusomonas";2
"Aquihabitans";3
"Archaeorhizomyces";1
"Archaeospora";1
"Arcuospathidium";1
"Arenimonas";3
"Arthrobacter";3
"Articulospora";1
"Ascobolus";1
"Asterostroma";1
"Athous";1
"Aulacorthum";1
"Auxarthron";1
"Azospirillum";3
"Bacillus";3
"Bacteriovorax";3
"Bacteroides";3
"Bardeliella";2
"Barynotus";1
"Basidiobolus";1
"Basiria";1
"Bastiania";2
"Bdellovibrio";3
"Beauveria";1
"Bellilinea";3
"Bicosoeca";2
"Bisporella";1
"Blaberolaelaps";1
"Blastochloris";3
"Blastococcus";3
"Blepharisma";2
"Bodo";2
"Bodomorpha";2
"Bolbitius";1
"Boleodorus";1
"Bos";1
"Botryochloris";1
"Boudiera";1
"Brachyphoris";1
"Bracteacoccus";1
"Bradyrhizobium";3
"Bradysia";1
"Bresslaua";1
"Bresslauides";2
"Brevundimonas";3
"Bryometopus";1
"Bryometopus pseudochilodon";1
"Buchholzia";1
"Bullera";1
"Bumilleriopsis";1
"Burkholderia";3
"Byssovorax";3
"Caenimonas";3
"Caldilinea";3
"Calluna";1
"Camarophyllus";1
"Campanella";1
"Campodea";1
"Canavalia";1
"Candidatus Koribacter";3
"Candidatus Microthrix";3
"Candidatus Nephrothrix";3
"Candidatus Nitrosocosmicus";1
"Candidatus Solibacter";3
"Capsellina";1
"Cardamine";1
"Catellatospora";3
"Catenaria";1
"Catenulispora";3
"Caudiholosticha";1
"Caulerpa";1
"Caulobacter";3
"Cedrus";1
"Cellulomonas";3
"Cellvibrio";3
"Cenarchaeum";1
"Cephalobus";2
"Cephaloticoccus";3
"Cerastium";1
"Ceratophysella";1
"Cercomonas";2
"Cetraspora";1
"Chaetosphaeria";1
"Chamaedrilus";1
"Cheilymenia";1
"Chitinophaga";3
"Chlamydomonas";1
"Chlamydomyxa";2
"Chlorella";1
"Chlorellidium";1
"Chlorococcum";1
"Chloroflexus";3
"Choleva";1
"Chondromyces";3
"Chromosera";1
"Chryseobacterium";3
"Chthoniobacter";3
"Chthonius";1
"Chytridium";1
"Cladosporium";1
"Clarkus";1
"Claroideoglomus";1
"Clavibacter";3
"Clostridium";3
"Codosiga";2
"Coelastrella";1
"Colpoda";2
"Comamonas";3
"Conexibacter";3
"Conopodium";1
"Cordyceps";1
"Corythion";2
"Craterocolla";1
"Crocinitomix";3
"Cryphonectria";1
"Cryptococcus";1
"Cultellothrix";1
"Cupriavidus";3
"Curvibacter";3
"Cylindroiulus";1
"Cyphellophora";1
"Cystobacter";3
"Cystobasidium";1
"Cytophaga";3
"Dactylis";1
"Dactylosporangium";3
"Dechloromonas";3
"Dechlorospirillum";3
"Dehalococcoides";3
"Delftia";3
"Demequina";3
"Denitratisoma";3
"Derxia";3
"Desmodesmus";1
"Desulfitobacterium";3
"Desulfotalea";3
"Desulfovibrio";3
"Desulfovirga";3
"Desulfuromonas";3
"Devosia";3
"Diaphanoeca";2
"Diaphorobacter";3
"Dictyosporium";1
"Dileptus";1
"Dinobryon";1
"Dioszegia";1
"Diplogasteroides";1
"Discolaimus";2
"Dissophora";1
"Ditylenchus";1
"Diversispora";1
"Dokdonella";3
"Dongia";3
"Duganella";3
"Dyadobacter";3
"Dyella";3
"Echinamoeba";2
"Ecumenicus";2
"Edaphobacter";3
