"";"labels"
"Abies";2
"Absidia";6
"Achaeta";13
"Achillea";16
"Acidimicrobium";19
"Acidisphaera";19
"Aciditerrimonas";19
"Acidobacterium";24
"Acidothermus";19
"Acidovorax";19
"Acinetobacter";19
"Acrobeles";18
"Acrobeloides";18
"Acrospermum";6
"Actinoallomurus";19
"Actinocatenispora";19
"Actinochloris";25
"Actinocrinis";19
"Actinomadura";19
"Actinomyces";19
"Actinoplanes";19
"Acyrthosiphon";17
"Adhaeribacter";19
"Adineta";20
"Aeromicrobium";19
"Aetherobacter";19
"Aggregicoccus";19
"Agriotes";1
"Agromyces";19
"Alaimus";18
"Alicorhagia";31
"Allolobophora";32
"Allovahlkampfia";21
"Alnus";2
"Altererythrobacter";19
"Ambispora";41
"Aminobacter";19
"Amphidelus";18
"Amphileptus";29
"Amphimallon";17
"Amplimerlinius";3
"Amycolatopsis";19
"Anaeromyxobacter";19
"Anatonchus";30
"Angustibacter";19
"Anoplophrya";12
"Anteholosticha";33
"Anystis";14
"Aphanomyces";32
"Aphelenchoides";5
"Aphelenchus";5
"Aphidius";17
"Aphis";17
"Aphodius";17
"Apiotrichum";6
"Aporcelaimellus";30
"Aporrectodea";32
"Apusomonas";22
"Aquihabitans";19
"Archaeorhizomyces";6
"Archaeospora";41
"Arcuospathidium";29
"Arenimonas";19
"Arthrobacter";19
"Articulospora";6
"Ascobolus";34
"Asterostroma";6
"Athous";1
"Aulacorthum";17
"Auxarthron";6
"Azospirillum";19
"Bacillus";19
"Bacteriovorax";19
"Bacteroides";19
"Bardeliella";22
"Barynotus";17
"Basidiobolus";6
"Basiria";3
"Bastiania";18
"Bdellovibrio";19
"Beauveria";27
"Bellilinea";19
"Bicosoeca";20
"Bisporella";35
"Blaberolaelaps";14
"Blastochloris";19
"Blastococcus";19
"Blepharisma";20
"Bodo";21
"Bodomorpha";22
"Bolbitius";34
"Boleodorus";3
"Bos";3
"Botryochloris";25
"Boudiera";6
"Brachyphoris";6
"Bracteacoccus";25
"Bradyrhizobium";19
"Bradysia";17
"Bresslaua";33
"Bresslauides";22
"Brevundimonas";19
"Bryometopus";33
"Bryometopus pseudochilodon";33
"Buchholzia";13
"Bullera";6
"Bumilleriopsis";25
"Burkholderia";19
"Byssovorax";19
"Caenimonas";19
"Caldilinea";19
"Calluna";2
"Camarophyllus";6
"Campanella";6
"Campodea";36
"Canavalia";2
"Candidatus Koribacter";24
"Candidatus Microthrix";19
"Candidatus Nephrothrix";19
"Candidatus Nitrosocosmicus";38
"Candidatus Solibacter";24
"Capsellina";39
"Cardamine";16
"Catellatospora";19
"Catenaria";6
"Catenulispora";19
"Caudiholosticha";33
"Caulerpa";25
"Caulobacter";19
"Cedrus";2
"Cellulomonas";19
"Cellvibrio";19
"Cenarchaeum";38
"Cephalobus";18
"Cephaloticoccus";19
"Cerastium";40
"Ceratophysella";7
"Cercomonas";22
"Cetraspora";41
"Chaetosphaeria";6
"Chamaedrilus";13
