"";"labels"
"Abies";2
"Absidia";5
"Achaeta";11
"Achillea";2
"Acidimicrobium";15
"Acidisphaera";15
"Aciditerrimonas";15
"Acidobacterium";20
"Acidothermus";15
"Acidovorax";15
"Acinetobacter";15
"Acrobeles";14
"Acrobeloides";14
"Acrospermum";5
"Actinoallomurus";15
"Actinocatenispora";15
"Actinochloris";21
"Actinocrinis";15
"Actinomadura";15
"Actinomyces";15
"Actinoplanes";15
"Acyrthosiphon";3
"Adhaeribacter";15
"Adineta";16
"Aeromicrobium";15
"Aetherobacter";15
"Aggregicoccus";15
"Agriotes";1
"Agromyces";15
"Alaimus";14
"Alicorhagia";3
"Allolobophora";10
"Allovahlkampfia";17
"Alnus";2
"Altererythrobacter";15
"Ambispora";10
"Aminobacter";15
"Amphidelus";14
"Amphileptus";25
"Amphimallon";3
"Amplimerlinius";1
"Amycolatopsis";15
"Anaeromyxobacter";15
"Anatonchus";26
"Angustibacter";15
"Anoplophrya";10
"Anteholosticha";27
"Anystis";12
"Aphanomyces";10
"Aphelenchoides";4
"Aphelenchus";4
"Aphidius";3
"Aphis";3
"Aphodius";3
"Apiotrichum";5
"Aporcelaimellus";26
"Aporrectodea";10
"Apusomonas";18
"Aquihabitans";15
"Archaeorhizomyces";5
"Archaeospora";10
"Arcuospathidium";25
"Arenimonas";15
"Arthrobacter";15
"Articulospora";5
"Ascobolus";5
"Asterostroma";5
"Athous";1
"Aulacorthum";3
"Auxarthron";5
"Azospirillum";15
"Bacillus";15
"Bacteriovorax";15
"Bacteroides";15
"Bardeliella";18
"Barynotus";3
"Basidiobolus";5
"Basiria";1
"Bastiania";14
"Bdellovibrio";15
"Beauveria";23
"Bellilinea";15
"Bicosoeca";16
"Bisporella";5
"Blaberolaelaps";12
"Blastochloris";15
"Blastococcus";15
"Blepharisma";16
"Bodo";17
"Bodomorpha";18
"Bolbitius";5
"Boleodorus";1
"Bos";1
"Botryochloris";21
"Boudiera";5
"Brachyphoris";5
"Bracteacoccus";21
"Bradyrhizobium";15
"Bradysia";3
"Bresslaua";27
"Bresslauides";18
"Brevundimonas";15
"Bryometopus";27
"Bryometopus pseudochilodon";27
"Buchholzia";11
"Bullera";5
"Bumilleriopsis";21
"Burkholderia";15
"Byssovorax";15
"Caenimonas";15
"Caldilinea";15
"Calluna";2
"Camarophyllus";5
"Campanella";5
"Campodea";3
"Canavalia";2
"Candidatus Koribacter";20
"Candidatus Microthrix";15
"Candidatus Nephrothrix";15
"Candidatus Nitrosocosmicus";28
"Candidatus Solibacter";20
"Capsellina";29
"Cardamine";2
"Catellatospora";15
"Catenaria";5
"Catenulispora";15
"Caudiholosticha";27
"Caulerpa";21
"Caulobacter";15
"Cedrus";2
"Cellulomonas";15
"Cellvibrio";15
"Cenarchaeum";28
"Cephalobus";14
"Cephaloticoccus";15
"Cerastium";2
"Ceratophysella";6
"Cercomonas";18
"Cetraspora";10
"Chaetosphaeria";5
"Chamaedrilus";11
"Cheilymenia";5
"Chitinophaga";15
"Chlamydomonas";21
"Chlamydomyxa";19
"Chlorella";21
"Chlorellidium";21
"Chlorococcum";21
"Chloroflexus";15
"Choleva";6
"Chondromyces";15
"Chromosera";5
"Chryseobacterium";15
"Chthoniobacter";15
"Chthonius";12
"Chytridium";22
"Cladosporium";10
"Clarkus";26
"Claroideoglomus";10
"Clavibacter";15
"Clostridium";15
"Codosiga";16
"Coelastrella";21
"Colpoda";18
"Comamonas";15
"Conexibacter";15
"Conopodium";2
"Cordyceps";23
"Corythion";18
"Craterocolla";5
"Crocinitomix";15
"Cryphonectria";5
"Cryptococcus";5
"Cultellothrix";25
"Cupriavidus";15
"Curvibacter";15
"Cylindroiulus";3
"Cyphellophora";5
"Cystobacter";15
"Cystobasidium";10
"Cytophaga";15
"Dactylis";2
"Dactylosporangium";15
"Dechloromonas";15
"Dechlorospirillum";15
"Dehalococcoides";15
"Delftia";15
"Demequina";15
"Denitratisoma";15
"Derxia";15
"Desmodesmus";21
"Desulfitobacterium";15
"Desulfotalea";15
"Desulfovibrio";15
"Desulfovirga";15
"Desulfuromonas";15
"Devosia";15
"Diaphanoeca";16
"Diaphorobacter";15
"Dictyosporium";5
"Dileptus";25
"Dinobryon";21
"Dioszegia";5
"Diplogasteroides";26
"Discolaimus";7
"Dissophora";5
"Ditylenchus";4
"Diversispora";10
"Dokdonella";15
"Dongia";15
"Duganella";15
"Dyadobacter";15
"Dyella";15
"Echinamoeba";18
"Ecumenicus";7
"Edaphobacter";20
"Elusimicrobium";15
"Emticicia";15
"Enchytraeus";11
"Enchytronia";11
"Endochytrium";5
"Endogone";5
"Entomobrya";6
"Entyloma";10
"Eocercomonas";18
"Eosentomon";6
"Epipyxis";19
"Epispathidium";25
"Epistylis";16
"Erythrobacter";15
"Eucephalobus";14
"Euduboscquella";21
"Euglypha";18
"Eumonhystera";14
"Euplotes";27
"Fallopia";2
"Ferribacterium";15
"Ferrimicrobium";15
"Ferrithrix";15
"Ferruginibacter";15
"Fibrella";15
"Fibrobacter";15
"Filobasidium";5
"Fistulifera";21
"Flavisolibacter";15
"Flavobacterium";15
"Flexibacter";15
"Fluviicola";15
"Folsomia";6
"Forficula";8
"Frankia";15
"Fridericia";10
"Friesea";6
"Frigoribacterium";15
"Funneliformis";10
"Fuscheria";25
"Fusobacterium";15
"Gaeumannomyces";10
"Gaiella";15
"Geastrum";5
"Gemmata";20
"Gemmatimonas";20
"Geoalkalibacter";15
"Geobacter";15
"Geodermatophilus";15
"Georgfuchsia";15
"Geothermobacter";15
"Geothrix";20
"Gliricola";3
"Glomus";10
"Gongronella";5
"Gonostomum";27
"Granulicella";20
"Guepiniopsis";5
"Haliangium";15
"Haliea";15
"Haliscomenobacter";15
"Halteromyces";5
"Hantzschia";21
"Helianthus";2
"Helicotylenchus";1
"Hemiamphisiella";25
"Henlea";11
"Herbaspirillum";15
"Herminiimonas";15
"Herpetomonas";24
"Hesperelaea";2
"Heterococcus";21
"Heterodera";1
"Heteromita";18
"Heterophrys";18
"Hibberdia";21
"Histiostoma";6
"Hodophilus";5
"Holcus";2
"Holophaga";20
"Holwaya";5
"Homalogastra";16
"Humibacter";15
"Hyalorbilia";5
"Hydrocarboniphaga";15
"Hydrogenophaga";15
"Hygrocybe";5
"Hymenochaetopsis";5
"Hymenoscyphus";5
"Hyphochytrium";10
"Hyphodiscus";5
"Hyphodontia";5
"Hyphomicrobium";15
"Iamia";15
"Ignavibacterium";15
"Ilumatobacter";15
"Iodophanus";5
"Isolaimium";14
"Isosphaera";20
"Isotoma";6
"Isotomiella";6
"Itersonilia";1
"Ixiolirion";2
"Jaagiella";21
"Janibacter";15
"Janthinobacterium";15
"Jatrophihabitans";15
"Juncus";2
"Kangiella";15
"Kineococcus";15
"Kineosporia";15
"Klebsormidium";21
"Kofleria";15
"Kribbella";15
"Ktedonobacter";15
"Kutzneria";15
"Kuzuhaea";30
"Labrys";15
"Lacibacter";15
"Lacrymaria";16
"Lamproderma";18
