"";"labels"
"Hyphodiscus";5
"Hyphodontia";5
"Hyphomicrobium";12
"Iamia";12
"Ignavibacterium";12
"Ilumatobacter";12
"Iodophanus";5
"Isolaimium";11
"Isosphaera";12
"Isotoma";6
"Isotomiella";6
"Itersonilia";1
"Ixiolirion";2
"Jaagiella";17
"Janibacter";12
"Janthinobacterium";12
"Jatrophihabitans";12
"Juncus";2
"Kangiella";12
"Kineococcus";12
"Kineosporia";12
"Klebsormidium";17
"Kofleria";12
"Kribbella";12
"Ktedonobacter";12
"Kutzneria";12
"Kuzuhaea";5
"Labrys";12
"Lacibacter";12
"Lacrymaria";13
"Lamproderma";15
"Legionella";12
"Leifsonia";12
"Lentzea";12
"Lepidocyrtus";6
"Leptomyxa";14
"Leptopharynx";13
"Leptosphaeria";3
"Levilinea";12
"Limonomyces";3
"Linum";2
"Liochthonius";3
"Lishizhenia";12
"Lithobius";10
"Lonchoptera";6
"Longidorus";1
"Longilinea";12
"Luedemannella";12
"Lumbricus";3
"Luteimonas";12
"Luteolibacter";12
"Luticola";17
"Lysobacter";12
"Magnaporthe";3
"Magnetospirillum";12
"Mallomonas";16
"Malonomonas";12
"Marionina";3
"Marmoricola";12
"Martelella";12
"Maryna";15
"Massilia";12
"Massisteria";15
"Mayamaea";17
"Megalothorax";6
"Melastiza";5
"Meloidogyne";1
"Merlinius";1
"Meseres";13
"Mesodorylaimus";7
"Mesorhabditis";11
"Mesorhizobium";12
"Metarhizium";10
"Metateratocephalus";11
"Methanomassiliicoccus";21
"Methylobacillus";12
"Methylobacterium";12
"Methylocapsa";12
"Methylocella";12
"Methylophilus";12
"Methylosinus";12
"Micractinium";17
"Microbacterium";12
"Microlunatus";12
"Micromonospora";12
"Microvirga";12
"Mischococcus";17
"Monilicaryon";18
"Monocystis";3
"Monosiga";13
"Moorella";12
"Moraxella";12
"Mortierella";5
"Mucilaginibacter";12
"Mucor";5
"Multiclavula";5
"Mycobacterium";12
"Mycoplana";12
"Mykophagophrys";4
"Myrmica";3
"Myzus";3
"Nakamurella";12
"Nannochloris";17
"Nannocystis";12
"Neobodo";14
"Neopsilenchus";1
"Neourostylopsis";18
"Niastella";12
"Nitratireductor";12
"Nitrosococcus";12
"Nitrosopumilus";21
"Nitrososphaera";21
"Nitrosospira";12
"Nitrospira";12
"Nitzschia";17
"Nocardia";12
"Nocardioides";12
"Noctua";3
"Nolandella";15
"Nonomuraea";12
"Notholca";13
"Notiophilus";3
"Novosphingobium";12
"Nuclearia";20
"Nygolaimus";19
"Obertrumia";14
"Occallatibacter";12
"Ochrobactrum";12
"Ochromonas";16
"Octolasion";3
"Odontolaimus";19
"Ohtaekwangia";12
"Oikomonas";17
"Oligoflexus";12
"Olpidium";3
"Opitutus";12
"Orbicula";5
"Orbilia";5
"Orchesella";6
"Orciraptor";22
"Oricola";12
"Oryzihumus";12
"Otiorhynchus";3
"Oxytricha";13
"Paenibacillus";12
"Palaeospora";3
"Palmellopsis";17
"Panacibacter";12
"Panaeolus";5
"Panagrolaimus";11
"Panorbis";5
"Paracercomonas";15
"Parafilimonas";12
"Paraglomus";3
"Paraphysomonas";16
"Paratylenchus";1
"Pasteuria";12
"Paucimonas";12
"Paulinella";15
"Pedobacter";12
"Pedomicrobium";12
"Pedosphaera";12
"Pelobacter";12
"Pelomonas";12
"Pemphigus";3
"Penicillium";5
"Peniophorella";5
"Pentapharsodinium";17
"Peregrinia";15
"Perlucidibaca";12
"Persicaria";2
"Peyerimhoffia";3
"Phacelia";2
"Phaeosphaeria";5
"Phaselicystis";12
"Phenylobacterium";12
"Phialina";18
"Pholiota";5
"Phoma";1
"Phycisphaera";12
"Phyllobacterium";12
"Picea";2
"Pilogalumna";3
"Pinus";2
"Piptocephalis";5
"Pirellula";12
"Pisum";2
"Planctomyces";12
"Platyophrya";15
"Platyreta";20
"Plectus";11
"Pleurochloris";17
"Pluteus";5
"Podura";6
"Polaromonas";12
"Polyangium";12
"Polydesmus";3
"Polygonum";2
"Polymyxa";3
"Pontibacter";12
"Porphyrobacter";12
"Porpoloma";5
"Poterioochromonas";16
"Pratylenchoides";1
"Pratylenchus";1
"Preussia";5
"Prismatolaimus";11
"Proceropycnis";5
"Prodesmodora";11
"Prodorylaimus";7
"Propionivibrio";12
"Prorodon";13
"Prosthecobacter";12
"Prosthecomicrobium";12
"Protaphorura";6
"Protaspis";13
"Protocyclidium";13
"Protomyces";3
"Protoribates";3
"Prototheca";17
"Psathyrella";5
"Pseudaphelenchus";4
"Pseudo-nitzschia";17
"Pseudochilodonopsis";22
"Pseudocyrtolophosis";15
"Pseudolabrys";12
"Pseudomonas";12
"Pseudonocardia";12
"Pseudoplatynematum";13
"Pseudoplatyophrya";4
"Pseudopleurochloris";17
"Pseudouroleptus";20
"Pseudovorticella";13
"Psora";5
"Pterula";5
"Pungentus";7
"Pyrenochaeta";5
"Pythium";1
"Pyxidiophora";5
"Ralstonia";12
"Ramariopsis";5
"Ranunculus";2
"Rathayibacter";12
"Resource::Decaying_wood";23
"Resource::Dung";24
"Resource::Litter";24
"Resource::MOS";24
"Rhabditis";11
"Rhabdolaimus";11
"Rheum";2
"Rhizobium";12
"Rhizoctonia";3
"Rhizoglyphus";3
"Rhizomicrobium";12
"Rhizophagus";3
"Rhizophlyctis";5
"Rhizophydium";5
"Rhodanobacter";12
"Rhodobium";12
"Rhodococcus";12
"Rhodoferax";12
"Rhodomicrobium";12
"Rhodopila";12
"Rhodopirellula";12
"Rhodoplanes";12
"Rhodopseudomonas";12
"Rhodothermus";12
"Rhogostoma";15
"Rhopalosiphum";3
"Rickettsiella";12
"Robertus";10
"Romanomermis";3
"Roseiarcus";12
"Roseiflexus";12
"Rotylenchulus";1
"Rotylenchus";1
"Rubrobacter";12
"Rudaea";12
"Rumex";2
"Saccamoeba";15
"Saccharibacillus";12
"Saccharomyces";5
"Saccharophagus";12
"Saccobolus";5
"Salinibacterium";12
"Salvia";2
"Sanguibacter";12
"Satchellius";3
"Sclerostagonospora";5
"Scutellospora";3
"Scytinostroma";5
"Sediminibacterium";12
"Segetibacter";12
"Seinura";4
"Seira";6
"Septoglomus";3
"Serpula";5
"Silene";2
"Siluania";13
"Sinapis";2
"Singulisphaera";12
"Sinomonas";12
"Sistotrema";5
"Sitona";3
"Skermanella";12
"Sminthurides";6
"Sminthurinus";6
"Sminthurus";6
"Solirubrobacter";12
"Solitalea";12
"Sorangium";12
"Sorghum";2
"Spathidium";18
"Sphaerobacter";12
"Sphaerobolus";5
"Sphaeroeca";13
"Sphenoderia";15
"Sphingobacterium";12
"Sphingobium";12
"Sphingomonas";12
"Sphingorhabdus";12
"Sphingosinicella";12
"Spirochaeta";12
"Spizellomyces";5
"Sporichthya";12
"Sporobolomyces";5
"Spumella";16
"Staphylococcus";12
"Stella";12
"Stellaria";2
"Stenotrophomonas";12
"Stephensia";5
"Stereum";5
"Steroidobacter";12
"Sterolibacterium";12
"Stigmalychus";3
"Stigmatella";12
"Stilbocrea";5
"Streptacidiphilus";12
"Streptomyces";12
"Streptosporangium";12
"Syncephalis";5
"Synchytrium";3
"Syntrophobacter";12
"Syntrophus";12
"Tachyporus";8
"Tachysoma";13
"Talaromyces";5
"Taraxacum";2
"Taxus";2
"Tectocepheus";3
"Tepidisphaera";12
"Teratocephalus";11
"Terracidiphilus";12
"Terriglobus";12
"Terrimonas";12
"Tetracanthella";6
"Tetrahymena";13
"Tetranychus";3
"Tetrodontophora";6
"Thaumatomastix";15
"Thaumatomonas";15
"Thecotheus";5
"Thermaerobacter";12
"Thermoanaerobacter";12
"Thermoflavimicrobium";12
"Thermoleophilum";12
"Thermomonas";12
"Thiobacillus";12
"Thiohalospira";12
"Thiorhodospira";12
"Tipula";3
"Trechispora";5
"Trechus";3
"Tribonema";17
"Trichocerca";13
"Trifolium";2
"Trinema";15
"Tripyla";7
"Trypanosoma";3
"Tubeufia";5
"Tullbergia";6
"Turneriella";12
"Tylencholaimus";4
"Tylenchus";1
"Tyrophagus";6
"Undibacterium";12
"Uropoda";6
"Urostyla";20
"Vampyrella";20
"Variibacter";12
"Variovorax";12
"Vaucheria";17
"Veigaia";9
"Vermamoeba";15
"Veronica";2
"Verrucomicrobium";12
"Vertagopus";6
"Vexillifera";13
"Vigna";2
