"";"labels"
"Abies";2
"Absidia";6
"Achaeta";12
"Achillea";2
"Acidimicrobium";17
"Acidisphaera";17
"Aciditerrimonas";17
"Acidobacterium";22
"Acidothermus";17
"Acidovorax";17
"Acinetobacter";17
"Acrobeles";16
"Acrobeloides";16
"Acrospermum";6
"Actinoallomurus";17
"Actinocatenispora";17
"Actinochloris";23
"Actinocrinis";17
"Actinomadura";17
"Actinomyces";17
"Actinoplanes";17
"Acyrthosiphon";15
"Adhaeribacter";17
"Adineta";18
"Aeromicrobium";17
"Aetherobacter";17
"Aggregicoccus";17
"Agriotes";1
"Agromyces";17
"Alaimus";16
"Alicorhagia";29
"Allolobophora";30
"Allovahlkampfia";19
"Alnus";2
"Altererythrobacter";17
"Ambispora";36
"Aminobacter";17
"Amphidelus";16
"Amphileptus";27
"Amphimallon";15
"Amplimerlinius";3
"Amycolatopsis";17
"Anaeromyxobacter";17
"Anatonchus";28
"Angustibacter";17
"Anoplophrya";11
"Anteholosticha";31
"Anystis";13
"Aphanomyces";30
"Aphelenchoides";5
"Aphelenchus";5
"Aphidius";15
"Aphis";15
"Aphodius";15
"Apiotrichum";6
"Aporcelaimellus";28
"Aporrectodea";30
"Apusomonas";20
"Aquihabitans";17
"Archaeorhizomyces";6
"Archaeospora";36
"Arcuospathidium";27
"Arenimonas";17
"Arthrobacter";17
"Articulospora";6
"Ascobolus";32
"Asterostroma";6
"Athous";1
"Aulacorthum";15
"Auxarthron";6
"Azospirillum";17
"Bacillus";17
"Bacteriovorax";17
"Bacteroides";17
"Bardeliella";20
"Barynotus";15
"Basidiobolus";6
"Basiria";3
"Bastiania";16
"Bdellovibrio";17
"Beauveria";25
"Bellilinea";17
"Bicosoeca";18
"Bisporella";32
"Blaberolaelaps";13
"Blastochloris";17
"Blastococcus";17
"Blepharisma";18
"Bodo";19
"Bodomorpha";20
"Bolbitius";32
"Boleodorus";3
"Bos";3
"Botryochloris";23
"Boudiera";6
"Brachyphoris";6
"Bracteacoccus";23
"Bradyrhizobium";17
"Bradysia";15
"Bresslaua";31
"Bresslauides";20
"Brevundimonas";17
"Bryometopus";31
"Bryometopus pseudochilodon";31
"Buchholzia";12
"Bullera";6
"Bumilleriopsis";23
"Burkholderia";17
"Byssovorax";17
"Caenimonas";17
"Caldilinea";17
"Calluna";2
"Camarophyllus";6
"Campanella";6
"Campodea";29
"Canavalia";2
"Candidatus Koribacter";22
"Candidatus Microthrix";17
"Candidatus Nephrothrix";17
"Candidatus Nitrosocosmicus";33
"Candidatus Solibacter";22
"Capsellina";34
"Cardamine";2
"Catellatospora";17
"Catenaria";6
"Catenulispora";17
"Caudiholosticha";31
"Caulerpa";23
"Caulobacter";17
"Cedrus";2
"Cellulomonas";17
"Cellvibrio";17
"Cenarchaeum";33
"Cephalobus";16
"Cephaloticoccus";17
"Cerastium";35
"Ceratophysella";7
"Cercomonas";20
"Cetraspora";36
"Chaetosphaeria";6
"Chamaedrilus";12
