"";"labels"
"Abies";2
"Absidia";5
"Achaeta";10
"Achillea";2
"Acidimicrobium";14
"Acidisphaera";14
"Aciditerrimonas";14
"Acidobacterium";19
"Acidothermus";14
"Acidovorax";14
"Acinetobacter";14
"Acrobeles";13
"Acrobeloides";13
"Acrospermum";5
"Actinoallomurus";14
"Actinocatenispora";14
"Actinochloris";20
"Actinocrinis";14
"Actinomadura";14
"Actinomyces";14
"Actinoplanes";14
"Acyrthosiphon";3
"Adhaeribacter";14
"Adineta";15
"Aeromicrobium";14
"Aetherobacter";14
"Aggregicoccus";14
"Agriotes";1
"Agromyces";14
"Alaimus";13
"Alicorhagia";3
"Allolobophora";9
"Allovahlkampfia";16
"Alnus";2
"Altererythrobacter";14
"Ambispora";9
"Aminobacter";14
"Amphidelus";13
"Amphileptus";23
"Amphimallon";3
"Amplimerlinius";1
"Amycolatopsis";14
"Anaeromyxobacter";14
"Anatonchus";24
"Angustibacter";14
"Anoplophrya";9
"Anteholosticha";25
"Anystis";11
"Aphanomyces";9
"Aphelenchoides";4
"Aphelenchus";4
"Aphidius";3
"Aphis";3
"Aphodius";3
"Apiotrichum";5
"Aporcelaimellus";24
"Aporrectodea";9
"Apusomonas";17
"Aquihabitans";14
"Archaeorhizomyces";5
"Archaeospora";9
"Arcuospathidium";23
"Arenimonas";14
"Arthrobacter";14
"Articulospora";5
"Ascobolus";5
"Asterostroma";5
"Athous";1
"Aulacorthum";3
"Auxarthron";5
"Azospirillum";14
"Bacillus";14
"Bacteriovorax";14
"Bacteroides";14
"Bardeliella";17
"Barynotus";3
"Basidiobolus";5
"Basiria";1
"Bastiania";13
"Bdellovibrio";14
"Beauveria";21
"Bellilinea";14
"Bicosoeca";15
"Bisporella";5
"Blaberolaelaps";11
"Blastochloris";14
"Blastococcus";14
"Blepharisma";15
"Bodo";16
"Bodomorpha";17
"Bolbitius";5
"Boleodorus";1
"Bos";1
"Botryochloris";20
"Boudiera";5
"Brachyphoris";5
"Bracteacoccus";20
"Bradyrhizobium";14
"Bradysia";3
"Bresslaua";25
"Bresslauides";17
"Brevundimonas";14
"Bryometopus";25
"Bryometopus pseudochilodon";25
"Buchholzia";10
"Bullera";5
"Bumilleriopsis";20
"Burkholderia";14
"Byssovorax";14
"Caenimonas";14
"Caldilinea";14
"Calluna";2
"Camarophyllus";5
"Campanella";5
"Campodea";3
"Canavalia";2
"Candidatus Koribacter";19
"Candidatus Microthrix";14
"Candidatus Nephrothrix";14
"Candidatus Nitrosocosmicus";26
"Candidatus Solibacter";19
"Capsellina";27
"Cardamine";2
"Catellatospora";14
"Catenaria";5
"Catenulispora";14
"Caudiholosticha";25
"Caulerpa";20
"Caulobacter";14
"Cedrus";2
"Cellulomonas";14
"Cellvibrio";14
"Cenarchaeum";26
"Cephalobus";13
"Cephaloticoccus";14
"Cerastium";2
"Ceratophysella";6
"Cercomonas";17
"Cetraspora";9
"Chaetosphaeria";5
"Chamaedrilus";10
"Cheilymenia";5
"Chitinophaga";14
"Chlamydomonas";20
"Chlamydomyxa";18
"Chlorella";20
"Chlorellidium";20
"Chlorococcum";20
"Chloroflexus";14
"Choleva";6
"Chondromyces";14
"Chromosera";5
"Chryseobacterium";14
"Chthoniobacter";14
"Chthonius";11
"Chytridium";9
"Cladosporium";9
"Clarkus";24
"Claroideoglomus";9
"Clavibacter";14
"Clostridium";14
"Codosiga";15
"Coelastrella";20
"Colpoda";17
"Comamonas";14
"Conexibacter";14
"Conopodium";2
"Cordyceps";21
"Corythion";17
"Craterocolla";5
"Crocinitomix";14
"Cryphonectria";5
"Cryptococcus";5
"Cultellothrix";23
"Cupriavidus";14
"Curvibacter";14
"Cylindroiulus";3
"Cyphellophora";5
"Cystobacter";14
"Cystobasidium";9
"Cytophaga";14
"Dactylis";2
"Dactylosporangium";14
"Dechloromonas";14
"Dechlorospirillum";14
"Dehalococcoides";14
"Delftia";14
"Demequina";14
"Denitratisoma";14
"Derxia";14
"Desmodesmus";20
"Desulfitobacterium";14
"Desulfotalea";14
"Desulfovibrio";14
"Desulfovirga";14
"Desulfuromonas";14
"Devosia";14
"Diaphanoeca";15
"Diaphorobacter";14
"Dictyosporium";5
"Dileptus";23
"Dinobryon";20
"Dioszegia";5
"Diplogasteroides";24
"Discolaimus";7
"Dissophora";5
"Ditylenchus";4
"Diversispora";9
"Dokdonella";14
"Dongia";14
"Duganella";14
"Dyadobacter";14
"Dyella";14
"Echinamoeba";17
"Ecumenicus";7
"Edaphobacter";19
"Elusimicrobium";14
"Emticicia";14
"Enchytraeus";10
"Enchytronia";10
"Endochytrium";5
"Endogone";5
"Entomobrya";6
"Entyloma";9
"Eocercomonas";17
"Eosentomon";6
"Epipyxis";18
"Epispathidium";23
"Epistylis";15
"Erythrobacter";14
"Eucephalobus";13
"Euduboscquella";20
"Euglypha";17
"Eumonhystera";13
"Euplotes";25
"Fallopia";2
"Ferribacterium";14
"Ferrimicrobium";14
"Ferrithrix";14
"Ferruginibacter";14
"Fibrella";14
"Fibrobacter";14
"Filobasidium";5
"Fistulifera";20
"Flavisolibacter";14
"Flavobacterium";14
"Flexibacter";14
"Fluviicola";14
"Folsomia";6
"Forficula";8
"Frankia";14
"Fridericia";9
"Friesea";6
"Frigoribacterium";14
"Funneliformis";9
"Fuscheria";23
"Fusobacterium";14
"Gaeumannomyces";9
"Gaiella";14
"Geastrum";5
"Gemmata";19
"Gemmatimonas";19
"Geoalkalibacter";14
"Geobacter";14
"Geodermatophilus";14
"Georgfuchsia";14
"Geothermobacter";14
"Geothrix";19
"Gliricola";3
"Glomus";9
"Gongronella";5
"Gonostomum";25
"Granulicella";19
"Guepiniopsis";5
"Haliangium";14
"Haliea";14
"Haliscomenobacter";14
"Halteromyces";5
"Hantzschia";20
"Helianthus";2
"Helicotylenchus";1
"Hemiamphisiella";23
"Henlea";10
"Herbaspirillum";14
"Herminiimonas";14
"Herpetomonas";22
"Hesperelaea";2
"Heterococcus";20
"Heterodera";1
"Heteromita";17
"Heterophrys";17
"Hibberdia";20
"Histiostoma";6
"Hodophilus";5
"Holcus";2
"Holophaga";19
"Holwaya";5
"Homalogastra";15
"Humibacter";14
"Hyalorbilia";5
"Hydrocarboniphaga";14
"Hydrogenophaga";14
"Hygrocybe";5
"Hymenochaetopsis";5
"Hymenoscyphus";5
"Hyphochytrium";9
"Hyphodiscus";5
"Hyphodontia";5
"Hyphomicrobium";14
"Iamia";14
"Ignavibacterium";14
"Ilumatobacter";14
"Iodophanus";5
"Isolaimium";13
"Isosphaera";19
"Isotoma";6
"Isotomiella";6
"Itersonilia";1
"Ixiolirion";2
"Jaagiella";20
"Janibacter";14
"Janthinobacterium";14
"Jatrophihabitans";14
"Juncus";2
"Kangiella";14
"Kineococcus";14
"Kineosporia";14
"Klebsormidium";20
"Kofleria";14
"Kribbella";14
"Ktedonobacter";14
"Kutzneria";14
"Kuzuhaea";5
"Labrys";14
"Lacibacter";14
"Lacrymaria";15
"Lamproderma";17
