"";"labels"
"Abies";1
"Absidia";1
"Achaeta";1
"Achillea";1
"Acidimicrobium";4
"Acidisphaera";4
"Aciditerrimonas";4
"Acidobacterium";4
"Acidothermus";4
"Acidovorax";4
"Acinetobacter";4
"Acrobeles";3
"Acrobeloides";3
"Acrospermum";1
"Actinoallomurus";4
"Actinocatenispora";4
"Actinochloris";1
"Actinocrinis";4
"Actinomadura";4
"Actinomyces";4
"Actinoplanes";4
"Acyrthosiphon";1
"Adhaeribacter";4
"Adineta";3
"Aeromicrobium";4
"Aetherobacter";4
"Aggregicoccus";4
"Agriotes";2
"Agromyces";4
"Alaimus";3
"Alicorhagia";1
"Allolobophora";1
"Allovahlkampfia";3
"Alnus";1
"Altererythrobacter";4
"Ambispora";1
"Aminobacter";4
"Amphidelus";3
"Amphileptus";1
"Amphimallon";1
"Amplimerlinius";2
"Amycolatopsis";4
"Anaeromyxobacter";4
"Anatonchus";1
"Angustibacter";4
"Anoplophrya";1
"Anteholosticha";1
"Anystis";1
"Aphanomyces";1
"Aphelenchoides";2
"Aphelenchus";2
"Aphidius";1
"Aphis";1
"Aphodius";1
"Apiotrichum";1
"Aporcelaimellus";1
"Aporrectodea";1
"Apusomonas";3
"Aquihabitans";4
"Archaeorhizomyces";1
"Archaeospora";1
"Arcuospathidium";1
"Arenimonas";4
"Arthrobacter";4
"Articulospora";1
"Ascobolus";1
"Asterostroma";1
"Athous";2
"Aulacorthum";1
"Auxarthron";1
"Azospirillum";4
"Bacillus";4
"Bacteriovorax";4
"Bacteroides";4
"Bardeliella";3
"Barynotus";1
"Basidiobolus";1
"Basiria";2
"Bastiania";3
"Bdellovibrio";4
"Beauveria";2
"Bellilinea";4
"Bicosoeca";3
"Bisporella";1
"Blaberolaelaps";1
"Blastochloris";4
"Blastococcus";4
"Blepharisma";3
"Bodo";3
"Bodomorpha";3
"Bolbitius";1
"Boleodorus";2
"Bos";2
"Botryochloris";1
"Boudiera";1
"Brachyphoris";1
"Bracteacoccus";1
"Bradyrhizobium";4
"Bradysia";1
"Bresslaua";1
"Bresslauides";3
"Brevundimonas";4
"Bryometopus";1
"Bryometopus pseudochilodon";1
"Buchholzia";1
"Bullera";1
"Bumilleriopsis";1
"Burkholderia";4
"Byssovorax";4
"Caenimonas";4
"Caldilinea";4
"Calluna";1
"Camarophyllus";1
"Campanella";1
"Campodea";1
"Canavalia";1
"Candidatus Koribacter";4
"Candidatus Microthrix";4
"Candidatus Nephrothrix";4
"Candidatus Nitrosocosmicus";1
"Candidatus Solibacter";4
"Capsellina";1
"Cardamine";1
"Catellatospora";4
"Catenaria";1
"Catenulispora";4
"Caudiholosticha";1
"Caulerpa";1
"Caulobacter";4
"Cedrus";1
"Cellulomonas";4
"Cellvibrio";4
"Cenarchaeum";1
"Cephalobus";3
"Cephaloticoccus";4
"Cerastium";1
"Ceratophysella";2
"Cercomonas";3
"Cetraspora";1
"Chaetosphaeria";1
"Chamaedrilus";1
"Cheilymenia";1
"Chitinophaga";4
"Chlamydomonas";1
"Chlamydomyxa";3
"Chlorella";1
"Chlorellidium";1
"Chlorococcum";1
"Chloroflexus";4
"Choleva";2
"Chondromyces";4
"Chromosera";1
"Chryseobacterium";4
"Chthoniobacter";4
"Chthonius";1
"Chytridium";2
"Cladosporium";1
"Clarkus";1
"Claroideoglomus";1
"Clavibacter";4
"Clostridium";4
"Codosiga";3
"Coelastrella";1
"Colpoda";3
"Comamonas";4
"Conexibacter";4
"Conopodium";1
"Cordyceps";2
"Corythion";3
"Craterocolla";1
"Crocinitomix";4
"Cryphonectria";1
"Cryptococcus";1
"Cultellothrix";1
"Cupriavidus";4
"Curvibacter";4
"Cylindroiulus";1
"Cyphellophora";1
"Cystobacter";4
"Cystobasidium";1
"Cytophaga";4
"Dactylis";1
"Dactylosporangium";4
"Dechloromonas";4
"Dechlorospirillum";4
"Dehalococcoides";4
"Delftia";4
"Demequina";4
"Denitratisoma";4
"Derxia";4
"Desmodesmus";1
"Desulfitobacterium";4
"Desulfotalea";4
"Desulfovibrio";4
"Desulfovirga";4
"Desulfuromonas";4
"Devosia";4
"Diaphanoeca";3
"Diaphorobacter";4
"Dictyosporium";1
"Dileptus";1
"Dinobryon";1
"Dioszegia";1
"Diplogasteroides";1
"Discolaimus";3
"Dissophora";1
"Ditylenchus";2
"Diversispora";1
"Dokdonella";4
"Dongia";4
"Duganella";4
"Dyadobacter";4
"Dyella";4
"Echinamoeba";3
"Ecumenicus";3
"Edaphobacter";4
