"";"labels"
"Abies";2
"Absidia";6
"Achaeta";13
"Achillea";16
"Acidimicrobium";20
"Acidisphaera";20
"Aciditerrimonas";20
"Acidobacterium";25
"Acidothermus";20
"Acidovorax";20
"Acinetobacter";20
"Acrobeles";19
"Acrobeloides";19
"Acrospermum";6
"Actinoallomurus";20
"Actinocatenispora";20
"Actinochloris";26
"Actinocrinis";20
"Actinomadura";20
"Actinomyces";20
"Actinoplanes";20
"Acyrthosiphon";18
"Adhaeribacter";20
"Adineta";21
"Aeromicrobium";20
"Aetherobacter";20
"Aggregicoccus";20
"Agriotes";1
"Agromyces";20
"Alaimus";19
"Alicorhagia";33
"Allolobophora";34
"Allovahlkampfia";22
"Alnus";2
"Altererythrobacter";20
"Ambispora";42
"Aminobacter";20
"Amphidelus";19
"Amphileptus";30
"Amphimallon";18
"Amplimerlinius";3
"Amycolatopsis";20
"Anaeromyxobacter";20
"Anatonchus";31
"Angustibacter";20
"Anoplophrya";12
"Anteholosticha";35
"Anystis";14
"Aphanomyces";34
"Aphelenchoides";5
"Aphelenchus";5
"Aphidius";18
"Aphis";18
"Aphodius";18
"Apiotrichum";6
"Aporcelaimellus";31
"Aporrectodea";34
"Apusomonas";23
"Aquihabitans";20
"Archaeorhizomyces";6
"Archaeospora";42
"Arcuospathidium";30
"Arenimonas";20
"Arthrobacter";20
"Articulospora";6
"Ascobolus";36
"Asterostroma";6
"Athous";1
"Aulacorthum";17
"Auxarthron";6
"Azospirillum";20
"Bacillus";20
"Bacteriovorax";20
"Bacteroides";20
"Bardeliella";23
"Barynotus";18
"Basidiobolus";6
"Basiria";3
"Bastiania";19
"Bdellovibrio";20
"Beauveria";28
"Bellilinea";20
"Bicosoeca";21
"Bisporella";36
"Blaberolaelaps";14
"Blastochloris";20
"Blastococcus";20
"Blepharisma";21
"Bodo";22
"Bodomorpha";23
"Bolbitius";36
"Boleodorus";3
"Bos";3
"Botryochloris";26
"Boudiera";6
"Brachyphoris";6
"Bracteacoccus";26
"Bradyrhizobium";20
"Bradysia";18
"Bresslaua";35
"Bresslauides";23
"Brevundimonas";20
"Bryometopus";35
"Bryometopus pseudochilodon";35
"Buchholzia";13
"Bullera";6
"Bumilleriopsis";26
"Burkholderia";20
"Byssovorax";20
"Caenimonas";20
"Caldilinea";20
"Calluna";2
"Camarophyllus";6
"Campanella";6
"Campodea";37
"Canavalia";2
"Candidatus Koribacter";25
"Candidatus Microthrix";20
"Candidatus Nephrothrix";20
"Candidatus Nitrosocosmicus";39
"Candidatus Solibacter";25
"Capsellina";40
"Cardamine";16
"Catellatospora";20
"Catenaria";6
"Catenulispora";20
"Caudiholosticha";35
"Caulerpa";26
"Caulobacter";20
"Cedrus";2
"Cellulomonas";20
"Cellvibrio";20
"Cenarchaeum";39
"Cephalobus";19
"Cephaloticoccus";20
"Cerastium";41
"Ceratophysella";7
"Cercomonas";23
"Cetraspora";42
"Chaetosphaeria";6
"Chamaedrilus";13
