"";"labels"
"Abies";2
"Absidia";5
"Achaeta";3
"Achillea";2
"Acidimicrobium";9
"Acidisphaera";9
"Aciditerrimonas";9
"Acidobacterium";9
"Acidothermus";9
"Acidovorax";9
"Acinetobacter";9
"Acrobeles";8
"Acrobeloides";8
"Acrospermum";5
"Actinoallomurus";9
"Actinocatenispora";9
"Actinochloris";3
"Actinocrinis";9
"Actinomadura";9
"Actinomyces";9
"Actinoplanes";9
"Acyrthosiphon";3
"Adhaeribacter";9
"Adineta";10
"Aeromicrobium";9
"Aetherobacter";9
"Aggregicoccus";9
"Agriotes";1
"Agromyces";9
"Alaimus";8
"Alicorhagia";3
"Allolobophora";3
"Allovahlkampfia";10
"Alnus";2
"Altererythrobacter";9
"Ambispora";3
"Aminobacter";9
"Amphidelus";8
"Amphileptus";13
"Amphimallon";3
"Amplimerlinius";1
"Amycolatopsis";9
"Anaeromyxobacter";9
"Anatonchus";12
"Angustibacter";9
"Anoplophrya";3
"Anteholosticha";13
"Anystis";7
"Aphanomyces";3
"Aphelenchoides";4
"Aphelenchus";4
"Aphidius";3
"Aphis";3
"Aphodius";3
"Apiotrichum";5
"Aporcelaimellus";12
"Aporrectodea";3
"Apusomonas";10
"Aquihabitans";9
"Archaeorhizomyces";5
"Archaeospora";3
"Arcuospathidium";13
"Arenimonas";9
"Arthrobacter";9
"Articulospora";5
"Ascobolus";5
"Asterostroma";5
"Athous";1
"Aulacorthum";3
"Auxarthron";5
"Azospirillum";9
"Bacillus";9
"Bacteriovorax";9
"Bacteroides";9
"Bardeliella";10
"Barynotus";3
"Basidiobolus";5
"Basiria";1
"Bastiania";8
"Bdellovibrio";9
"Beauveria";7
"Bellilinea";9
"Bicosoeca";10
"Bisporella";5
"Blaberolaelaps";7
"Blastochloris";9
"Blastococcus";9
"Blepharisma";10
"Bodo";10
"Bodomorpha";10
"Bolbitius";5
"Boleodorus";1
"Bos";1
"Botryochloris";3
"Boudiera";5
"Brachyphoris";5
"Bracteacoccus";3
"Bradyrhizobium";9
"Bradysia";3
"Bresslaua";13
"Bresslauides";10
"Brevundimonas";9
"Bryometopus";13
"Bryometopus pseudochilodon";13
"Buchholzia";3
"Bullera";5
"Bumilleriopsis";3
"Burkholderia";9
"Byssovorax";9
"Caenimonas";9
"Caldilinea";9
"Calluna";2
"Camarophyllus";5
"Campanella";5
"Campodea";3
"Canavalia";2
"Candidatus Koribacter";9
"Candidatus Microthrix";9
"Candidatus Nephrothrix";9
"Candidatus Nitrosocosmicus";3
"Candidatus Solibacter";9
"Capsellina";3
"Cardamine";2
"Catellatospora";9
"Catenaria";5
"Catenulispora";9
"Caudiholosticha";13
"Caulerpa";3
"Caulobacter";9
"Cedrus";2
"Cellulomonas";9
"Cellvibrio";9
"Cenarchaeum";3
"Cephalobus";8
"Cephaloticoccus";9
"Cerastium";2
"Ceratophysella";4
"Cercomonas";10
"Cetraspora";3
"Chaetosphaeria";5
"Chamaedrilus";3
"Cheilymenia";5
"Chitinophaga";9
"Chlamydomonas";3
"Chlamydomyxa";11
"Chlorella";3
"Chlorellidium";3
"Chlorococcum";3
"Chloroflexus";9
"Choleva";4
"Chondromyces";9
"Chromosera";5
"Chryseobacterium";9
"Chthoniobacter";9
"Chthonius";7
"Chytridium";7
"Cladosporium";3
"Clarkus";12
"Claroideoglomus";3
"Clavibacter";9
"Clostridium";9
"Codosiga";10
"Coelastrella";3
"Colpoda";10
"Comamonas";9
"Conexibacter";9
"Conopodium";2
"Cordyceps";7
"Corythion";10
"Craterocolla";5
"Crocinitomix";9
"Cryphonectria";5
"Cryptococcus";5
"Cultellothrix";13
"Cupriavidus";9
"Curvibacter";9
"Cylindroiulus";3
"Cyphellophora";5
"Cystobacter";9
"Cystobasidium";3
"Cytophaga";9
"Dactylis";2
"Dactylosporangium";9
"Dechloromonas";9
"Dechlorospirillum";9
"Dehalococcoides";9
"Delftia";9
"Demequina";9
"Denitratisoma";9
"Derxia";9
"Desmodesmus";3
"Desulfitobacterium";9
"Desulfotalea";9
"Desulfovibrio";9
"Desulfovirga";9
"Desulfuromonas";9
"Devosia";9
"Diaphanoeca";10
"Diaphorobacter";9
"Dictyosporium";5
"Dileptus";13
"Dinobryon";3
"Dioszegia";5
"Diplogasteroides";12
"Discolaimus";6
"Dissophora";5
"Ditylenchus";4
"Diversispora";3
"Dokdonella";9
"Dongia";9
"Duganella";9
"Dyadobacter";9
"Dyella";9
"Echinamoeba";10
"Ecumenicus";6
"Edaphobacter";9
"Elusimicrobium";9
"Emticicia";9
"Enchytraeus";3
"Enchytronia";3
"Endochytrium";5
"Endogone";5
"Entomobrya";4
"Entyloma";3
"Eocercomonas";10
"Eosentomon";4
"Epipyxis";11
"Epispathidium";13
"Epistylis";10
"Erythrobacter";9
"Eucephalobus";8
"Euduboscquella";3
"Euglypha";10
"Eumonhystera";8
"Euplotes";13
"Fallopia";2
"Ferribacterium";9
"Ferrimicrobium";9
"Ferrithrix";9
"Ferruginibacter";9
"Fibrella";9
"Fibrobacter";9
"Filobasidium";5
"Fistulifera";3
"Flavisolibacter";9
"Flavobacterium";9
"Flexibacter";9
"Fluviicola";9
"Folsomia";4
"Forficula";4
"Frankia";9
"Fridericia";3
"Friesea";4
"Frigoribacterium";9
"Funneliformis";3
"Fuscheria";13
"Fusobacterium";9
"Gaeumannomyces";3
"Gaiella";9
"Geastrum";5
"Gemmata";9
"Gemmatimonas";9
"Geoalkalibacter";9
"Geobacter";9
"Geodermatophilus";9
"Georgfuchsia";9
"Geothermobacter";9
"Geothrix";9
"Gliricola";3
"Glomus";3
"Gongronella";5
"Gonostomum";13
"Granulicella";9
"Guepiniopsis";5
"Haliangium";9
"Haliea";9
"Haliscomenobacter";9
"Halteromyces";5
"Hantzschia";3
"Helianthus";2
"Helicotylenchus";1
"Hemiamphisiella";13
"Henlea";3
"Herbaspirillum";9
"Herminiimonas";9
"Herpetomonas";3
"Hesperelaea";2
"Heterococcus";3
"Heterodera";1
"Heteromita";10
"Heterophrys";10
"Hibberdia";3
"Histiostoma";4
"Hodophilus";5
"Holcus";2
"Holophaga";9
"Holwaya";5
"Homalogastra";10
"Humibacter";9
"Hyalorbilia";5
"Hydrocarboniphaga";9
"Hydrogenophaga";9
"Hygrocybe";5
"Hymenochaetopsis";5
"Hymenoscyphus";5
"Hyphochytrium";3
"Hyphodiscus";5
"Hyphodontia";5
"Hyphomicrobium";9
"Iamia";9
"Ignavibacterium";9
"Ilumatobacter";9
"Iodophanus";5
"Isolaimium";8
"Isosphaera";9
"Isotoma";4
"Isotomiella";4
"Itersonilia";1
"Ixiolirion";2
"Jaagiella";3
"Janibacter";9
"Janthinobacterium";9
"Jatrophihabitans";9
"Juncus";2
"Kangiella";9
"Kineococcus";9
"Kineosporia";9
"Klebsormidium";3
"Kofleria";9
"Kribbella";9
"Ktedonobacter";9
"Kutzneria";9
"Kuzuhaea";5
"Labrys";9
"Lacibacter";9
"Lacrymaria";10
"Lamproderma";10
