"";"labels"
"Abies";2
"Absidia";5
"Achaeta";3
"Achillea";2
"Acidimicrobium";13
"Acidisphaera";13
"Aciditerrimonas";13
"Acidobacterium";13
"Acidothermus";13
"Acidovorax";13
"Acinetobacter";13
"Acrobeles";12
"Acrobeloides";12
"Acrospermum";5
"Actinoallomurus";13
"Actinocatenispora";13
"Actinochloris";18
"Actinocrinis";13
"Actinomadura";13
"Actinomyces";13
"Actinoplanes";13
"Acyrthosiphon";3
"Adhaeribacter";13
"Adineta";14
"Aeromicrobium";13
"Aetherobacter";13
"Aggregicoccus";13
"Agriotes";1
"Agromyces";13
"Alaimus";12
"Alicorhagia";3
"Allolobophora";3
"Allovahlkampfia";15
"Alnus";2
"Altererythrobacter";13
"Ambispora";9
"Aminobacter";13
"Amphidelus";12
"Amphileptus";19
"Amphimallon";3
"Amplimerlinius";1
"Amycolatopsis";13
"Anaeromyxobacter";13
"Anatonchus";20
"Angustibacter";13
"Anoplophrya";9
"Anteholosticha";21
"Anystis";10
"Aphanomyces";9
"Aphelenchoides";4
"Aphelenchus";4
"Aphidius";3
"Aphis";3
"Aphodius";3
"Apiotrichum";5
"Aporcelaimellus";20
"Aporrectodea";3
"Apusomonas";16
"Aquihabitans";13
"Archaeorhizomyces";5
"Archaeospora";9
"Arcuospathidium";19
"Arenimonas";13
"Arthrobacter";13
"Articulospora";5
"Ascobolus";5
"Asterostroma";5
"Athous";1
"Aulacorthum";3
"Auxarthron";5
"Azospirillum";13
"Bacillus";13
"Bacteriovorax";13
"Bacteroides";13
"Bardeliella";16
"Barynotus";3
"Basidiobolus";5
"Basiria";1
"Bastiania";12
"Bdellovibrio";13
"Beauveria";11
"Bellilinea";13
"Bicosoeca";14
"Bisporella";5
"Blaberolaelaps";10
"Blastochloris";13
"Blastococcus";13
"Blepharisma";14
"Bodo";15
"Bodomorpha";16
"Bolbitius";5
"Boleodorus";1
"Bos";1
"Botryochloris";18
"Boudiera";5
"Brachyphoris";5
"Bracteacoccus";18
"Bradyrhizobium";13
"Bradysia";3
"Bresslaua";21
"Bresslauides";16
"Brevundimonas";13
"Bryometopus";21
"Bryometopus pseudochilodon";21
"Buchholzia";3
"Bullera";5
"Bumilleriopsis";18
"Burkholderia";13
"Byssovorax";13
"Caenimonas";13
"Caldilinea";13
"Calluna";2
"Camarophyllus";5
"Campanella";5
"Campodea";3
"Canavalia";2
"Candidatus Koribacter";13
"Candidatus Microthrix";13
"Candidatus Nephrothrix";13
"Candidatus Nitrosocosmicus";22
"Candidatus Solibacter";13
"Capsellina";23
"Cardamine";2
"Catellatospora";13
"Catenaria";5
"Catenulispora";13
"Caudiholosticha";21
"Caulerpa";18
"Caulobacter";13
"Cedrus";2
"Cellulomonas";13
"Cellvibrio";13
"Cenarchaeum";22
"Cephalobus";12
"Cephaloticoccus";13
"Cerastium";2
"Ceratophysella";6
"Cercomonas";16
"Cetraspora";9
"Chaetosphaeria";5
"Chamaedrilus";3
"Cheilymenia";5
"Chitinophaga";13
"Chlamydomonas";18
"Chlamydomyxa";17
"Chlorella";18
"Chlorellidium";18
"Chlorococcum";18
"Chloroflexus";13
"Choleva";6
"Chondromyces";13
"Chromosera";5
"Chryseobacterium";13
"Chthoniobacter";13
"Chthonius";10
"Chytridium";9
"Cladosporium";9
"Clarkus";20
"Claroideoglomus";9
"Clavibacter";13
"Clostridium";13
"Codosiga";14
"Coelastrella";18
"Colpoda";16
"Comamonas";13
"Conexibacter";13
"Conopodium";2
"Cordyceps";11
"Corythion";16
"Craterocolla";5
"Crocinitomix";13
"Cryphonectria";5
"Cryptococcus";5
"Cultellothrix";19
"Cupriavidus";13
"Curvibacter";13
"Cylindroiulus";3
"Cyphellophora";5
"Cystobacter";13
"Cystobasidium";9
"Cytophaga";13
"Dactylis";2
"Dactylosporangium";13
"Dechloromonas";13
"Dechlorospirillum";13
"Dehalococcoides";13
"Delftia";13
"Demequina";13
"Denitratisoma";13
"Derxia";13
"Desmodesmus";18
"Desulfitobacterium";13
"Desulfotalea";13
"Desulfovibrio";13
"Desulfovirga";13
"Desulfuromonas";13
"Devosia";13
"Diaphanoeca";14
"Diaphorobacter";13
"Dictyosporium";5
"Dileptus";19
"Dinobryon";18
"Dioszegia";5
"Diplogasteroides";20
"Discolaimus";7
"Dissophora";5
"Ditylenchus";4
"Diversispora";9
"Dokdonella";13
"Dongia";13
"Duganella";13
"Dyadobacter";13
"Dyella";13
"Echinamoeba";16
"Ecumenicus";7
"Edaphobacter";13
"Elusimicrobium";13
"Emticicia";13
"Enchytraeus";3
"Enchytronia";3
"Endochytrium";5
"Endogone";5
"Entomobrya";6
"Entyloma";9
"Eocercomonas";16
"Eosentomon";6
"Epipyxis";17
"Epispathidium";19
"Epistylis";14
"Erythrobacter";13
"Eucephalobus";12
"Euduboscquella";18
"Euglypha";16
"Eumonhystera";12
"Euplotes";21
"Fallopia";2
"Ferribacterium";13
"Ferrimicrobium";13
"Ferrithrix";13
"Ferruginibacter";13
"Fibrella";13
"Fibrobacter";13
"Filobasidium";5
"Fistulifera";18
"Flavisolibacter";13
"Flavobacterium";13
"Flexibacter";13
"Fluviicola";13
"Folsomia";6
"Forficula";8
"Frankia";13
"Fridericia";3
"Friesea";6
"Frigoribacterium";13
"Funneliformis";9
"Fuscheria";19
"Fusobacterium";13
"Gaeumannomyces";9
"Gaiella";13
"Geastrum";5
"Gemmata";13
"Gemmatimonas";13
"Geoalkalibacter";13
"Geobacter";13
"Geodermatophilus";13
"Georgfuchsia";13
"Geothermobacter";13
"Geothrix";13
"Gliricola";3
"Glomus";9
"Gongronella";5
"Gonostomum";21
"Granulicella";13
"Guepiniopsis";5
"Haliangium";13
"Haliea";13
"Haliscomenobacter";13
"Halteromyces";5
"Hantzschia";18
"Helianthus";2
"Helicotylenchus";1
"Hemiamphisiella";19
"Henlea";3
"Herbaspirillum";13
"Herminiimonas";13
"Herpetomonas";9
"Hesperelaea";2
"Heterococcus";18
"Heterodera";1
"Heteromita";16
"Heterophrys";16
"Hibberdia";18
"Histiostoma";6
"Hodophilus";5
"Holcus";2
"Holophaga";13
"Holwaya";5
"Homalogastra";14
"Humibacter";13
"Hyalorbilia";5
"Hydrocarboniphaga";13
"Hydrogenophaga";13
"Hygrocybe";5
"Hymenochaetopsis";5
"Hymenoscyphus";5
"Hyphochytrium";9
"Hyphodiscus";5
"Hyphodontia";5
"Hyphomicrobium";13
"Iamia";13
"Ignavibacterium";13
"Ilumatobacter";13
"Iodophanus";5
"Isolaimium";12
"Isosphaera";13
"Isotoma";6
"Isotomiella";6
"Itersonilia";1
"Ixiolirion";2
"Jaagiella";18
"Janibacter";13
"Janthinobacterium";13
"Jatrophihabitans";13
"Juncus";2
"Kangiella";13
"Kineococcus";13
"Kineosporia";13
"Klebsormidium";18
"Kofleria";13
"Kribbella";13
"Ktedonobacter";13
"Kutzneria";13
"Kuzuhaea";5
"Labrys";13
"Lacibacter";13
"Lacrymaria";14
"Lamproderma";16
