"";"retained_tax";"class";"codeFW"
"118";"Candidatus Microthrix";13;"Decomposers::Bacterie"
"119";"Candidatus Nephrothrix";13;"Decomposers::Bacterie"
"120";"Candidatus Nitrosocosmicus";22;"Decomposers::Archae"
"121";"Candidatus Solibacter";13;"Miners::Bacterie"
"122";"Capsellina";23;"Algivorous::Protist"
"123";"Cardamine";2;"Phototroph::Brassicaceae"
"124";"Catellatospora";13;"Decomposers::Bacterie"
"125";"Catenaria";5;"Saprotroph::Fungi"
"126";"Catenulispora";13;"Decomposers::Bacterie"
"127";"Caudiholosticha";21;"Pred2attach::Protist"
"128";"Caulerpa";18;"Phototroph::Algae"
"129";"Caulobacter";13;"Decomposers::Bacterie"
"130";"Cedrus";2;"Phototroph::Pinales"
"131";"Cellulomonas";13;"Decomposers::Bacterie"
"132";"Cellvibrio";13;"Opportunists::Bacterie"
"133";"Cenarchaeum";22;"Decomposers::Archae"
"134";"Cephalobus";12;"Bacterivorous::Nematode"
"135";"Cephaloticoccus";13;"Decomposers::Bacterie"
"136";"Cerastium";2;"Phototroph::Caryophyllaceae"
"137";"Ceratophysella";6;"Saprofungivore::Collembole"
"138";"Cercomonas";16;"Pred1attach::Protist"
"139";"Cetraspora";9;"ACM::Glomeromyc"
"140";"Chaetosphaeria";5;"Saprotroph::Fungi"
"141";"Chamaedrilus";3;"Saprophageous::Enchy"
"142";"Cheilymenia";5;"Coprotroph::Ascomycota"
"143";"Chitinophaga";13;"Decomposers::Bacterie"
"144";"Chlamydomonas";18;"Phototroph::Algae"
"145";"Chlamydomyxa";17;"Phytophage::Algae"
"146";"Chlorella";18;"Phototroph::Algae"
"147";"Chlorellidium";18;"Phototroph::Algae"
"148";"Chlorococcum";18;"Phototroph::Algae"
"149";"Chloroflexus";13;"Decomposers::Bacterie"
"150";"Choleva";6;"Fungivorous::Insect"
"151";"Chondromyces";13;"Decomposers::Bacterie"
"152";"Chromosera";5;"Saprotroph::Fungi"
"153";"Chryseobacterium";13;"Decomposers::Bacterie"
"154";"Chthoniobacter";13;"Decomposers::Bacterie"
"155";"Chthonius";10;"Pred3::Pseudosc"
"156";"Chytridium";9;"Parasitic::Polysiphoniae"
"157";"Cladosporium";9;"Parasitic::Cladosporium"
"158";"Clarkus";20;"Pred3::Nematode"
"159";"Claroideoglomus";9;"ACM::Glomeromyc"
"160";"Clavibacter";13;"Decomposers::Bacterie"
"161";"Clostridium";13;"Decomposers::Bacterie"
"162";"Codosiga";14;"Pred1free::Protist"
"163";"Coelastrella";18;"Phototroph::Algae"
"164";"Colpoda";16;"Pred1attach::Protist"
"165";"Comamonas";13;"Decomposers::Bacterie"
"166";"Conexibacter";13;"Decomposers::Bacterie"
"167";"Conopodium";2;"Phototroph::Apiaceae"
