"";"retained_tax";"class";"codeFW"
"110";"Cordycipitaceae";3;"Parasitic::Entomopath"
"111";"Corticiaceae";13;"Saprotroph::Fungi"
"112";"Coxiellaceae";5;"Opportunists::Bacterie"
"113";"Crocinitomicaceae";5;"Decomposers::Bacterie"
"114";"Cryphonectriaceae";13;"Lignotroph::Fungi"
"115";"Cryptococcaceae";13;"Saprotroph::Fungi"
"116";"Cucurbitaceae";18;"Phototroph::non-legume"
"117";"Cucurbitariaceae";13;"Saprotroph::Fungi"
"118";"Cunninghamellaceae";13;"Saprotroph::Fungi"
"119";"Curculionidae";16;"Phytophage::Barynotus"
"120";"Cyclidiidae";4;"Pred1free::Protist"
"121";"Cyphellophoraceae";13;"Saprotroph::Fungi"
"122";"Cyrtolophosididae";7;"Pred1attach::Protist"
"123";"Cystobasidiaceae";16;"Parasitic::Cystobasidium"
"124";"Cytophagaceae";5;"Decomposers::Bacterie"
"125";"Dacrymycetaceae";13;"Lignotroph::Fungi"
"126";"Dehalococcoidaceae";5;"Decomposers::Bacterie"
"127";"Demequinaceae";5;"Decomposers::Bacterie"
"128";"Desulfobulbaceae";5;"Decomposers::Bacterie"
"129";"Desulfovibrionaceae";5;"Decomposers::Bacterie"
"130";"Desulfuromonadaceae";5;"Decomposers::Bacterie"
"131";"Diadesmidaceae";15;"Phototroph::Algae"
"132";"Dictyosporiaceae";13;"Saprotroph::Fungi"
"133";"Didymellaceae";17;"Parasitic::Phoma"
"134";"Dileptidae";12;"Pred2free::Protist"
"135";"Dinobryaceae";5;"Phototroph::Algae"
"136";"Diplogasteroididae";11;"Pred3::Nematode"
"137";"Dipodascaceae";13;"Saprotroph::Fungi"
"138";"Diversisporaceae";16;"ACM::Glomeromyc"
"139";"Dorylaimidae";10;"Non.selective::Nematode"
"140";"Echinamoebidae";7;"Pred1attach::Protist"
"141";"Ectothiorhodospiraceae";5;"Opportunists::Bacterie"
"142";"Elateridae";17;"Phytophage::Elateridae"
"143";"Elusimicrobiaceae";5;"Unknown::Bacterie"
"144";"Enchytraeidae";16;"Saprophageous::Enchy"
"145";"Endochytriaceae";13;"Saprotroph::Fungi"
"146";"Endogonaceae";13;"Saprotroph::Endogone"
"147";"Enterobacteriaceae";5;"Opportunists::Bacterie"
"148";"Entomobryidae";2;"Saprofungivore::Collembole"
"149";"Entylomataceae";16;"Parasitic::Entyloma"
"150";"Eosentomidae";2;"Fungivorous::Insect"
"151";"Epistylidae";4;"Pred1free::Protist"
"152";"Ericaceae";18;"Phototroph::non-legume"
"153";"Erythrobacteraceae";5;"Decomposers::Bacterie"
"154";"Eudubosquellidae";15;"Phototroph::Algae"
"155";"Euglyphidae";7;"Pred1attach::Protist"
"156";"Euplotidae";19;"Pred2attach::Protist"
"157";"Eustigmataceae";15;"Phototroph::Algae"
"158";"Fabaceae";18;"Phototroph::Fabaceae"
"159";"Fibrobacteraceae";5;"Unknown::Bacterie"
"160";"Filobasidiaceae";13;"Saprotroph::Fungi"
"161";"Flavobacteriaceae";5;"Decomposers::Bacterie"
"162";"Forficulidae";14;"Non.selective::Forficulidae"
"163";"Formicidae";16;"Non.selective::Myrmica"
"164";"Frankiaceae";5;"Decomposers::Bacterie"
"165";"Fusobacteriaceae";5;"Unknown::Bacterie"
"166";"Gaiellaceae";5;"Decomposers::Bacterie"
"167";"Galumnidae";16;"Saprophage::Oribate"
"168";"Geastraceae";13;"Saprotroph::Fungi"
"169";"Gemmataceae";5;"Miners::Bacterie"
"170";"Gemmatimonadaceae";5;"Miners::Bacterie"
"171";"Geobacteraceae";5;"Decomposers::Bacterie"
"172";"Geodermatophilaceae";5;"Decomposers::Bacterie"
"173";"Geraniaceae";18;"Phototroph::non-legume"
"174";"Gigasporaceae";16;"ACM::Glomeromyc"
"175";"Glomeraceae";16;"ACM::Glomeromyc"
"176";"Glossiphoniidae";16;"Parasitic::Glossiphoniidae"
"177";"Grossglockneriidae";2;"Fungivorous::Protist"
"178";"Gyropidae";16;"Parasitic::Gliricola"
"179";"Halieaceae";5;"Opportunists::Bacterie"
"180";"Halosphaeriaceae";13;"Saprotroph::Fungi"
"181";"Halteriidae";4;"Pred1free::Protist"
"182";"Hartmannellidae";7;"Pred1attach::Protist"
"183";"Hausmanniellidae";7;"Pred1attach::Protist"
"184";"Helotiaceae";13;"Saprotroph::Fungi"
"185";"Heteroderidae";17;"Parasitic_p::Nematode"
"186";"Heteromitidae";7;"Pred1attach::Protist"
"187";"Heteropediaceae";15;"Phototroph::Algae"
"188";"Heterophryidae";7;"Pred1attach::Protist"
"189";"Hibberdiaceae";15;"Phototroph::Algae"
"190";"Histiostomatidae";2;"Fungivorous::Astigmata"
"191";"Hoehnelomycetaceae";13;"Saprotroph::Fungi"
"192";"Holophagaceae";5;"Miners::Bacterie"
"193";"Holostichidae";19;"Pred2attach::Protist"
"194";"Hoplolaimidae";17;"Parasitic_p::Nematode"
"195";"Hyaloscyphaceae";13;"Saprotroph::Fungi"
"196";"Hydnodontaceae";13;"Lignotroph::Fungi"
"197";"Hydrogenophilaceae";5;"Decomposers::Bacterie"
"198";"Hydrophyllaceae";18;"Phototroph::non-legume"
"199";"Hygrophoraceae";13;"Saprotroph::Fungi"
"200";"Hymenobacteraceae";5;"Decomposers::Bacterie"
"201";"Hymenochaetaceae";13;"Lignotroph::Fungi"
"202";"Hyphochytriaceae";16;"Hyperparasitoid::Hyphochytrium"
"203";"Hyphomicrobiaceae";5;"Decomposers::Bacterie"
"204";"Hypogastruridae";2;"Saprofungivore::Collembole"
"205";"Iamiaceae";5;"Decomposers::Bacterie"
"206";"Ignavibacteriaceae";5;"Unknown::Bacterie"
"207";"Intrasporangiaceae";5;"Decomposers::Bacterie"
"208";"Isolaimiidae";6;"Bacterivorous::Nematode"
"209";"Isosphaeraceae";5;"Miners::Bacterie"
"210";"Isotomidae";2;"Saprofungivore::Collembole"
"211";"Ixioliriaceae";18;"Phototroph::non-legume"
"212";"Juglandaceae";18;"Phototroph::non-legume"
"213";"Julidae";16;"Saprophage::Diplopode"
"214";"Juncaceae";18;"Phototroph::non-legume"
"215";"Kangiellaceae";5;"Opportunists::Bacterie"
"216";"Katiannidae";2;"Saprofungivore::Collembole"
"217";"Kineosporiaceae";5;"Decomposers::Bacterie"
"218";"Klebsormidiaceae";15;"Phototroph::Algae"
"219";"Kofleriaceae";5;"Decomposers::Bacterie"
"220";"Ktedonobacteraceae";5;"Decomposers::Bacterie"
"221";"Lachnocladiaceae";13;"Saprotroph::Fungi"
"222";"Lacrymariidae";12;"Pred2free::Protist"
"223";"Laelapidae";1;"Pred3::Mesostigmata"
"224";"Lamiaceae";18;"Phototroph::non-legume"
"225";"Legionellaceae";5;"Opportunists::Bacterie"
"226";"Leiodidae";2;"Fungivorous::Insect"
"227";"Leptomyxidae";8;"Bacterivorous::Protist"
"228";"Leptophryidae";19;"Pred2attach::Protist"
"229";"Leptosphaeriaceae";16;"Parasitic::Leptosphaeria"
"230";"Leptospiraceae";5;"Unknown::Bacterie"
"231";"Linaceae";18;"Phototroph::non-legume"
"232";"Lithobiidae";3;"Pred4::Chilopode"
"233";"Lonchopteridae";2;"Fungivorous::Insect"
"234";"Longidoridae";17;"Parasitic_p::Nematode"
"235";"Lumbricidae";16;"Geophageous::Lumb"
"236";"Magnaporthaceae";16;"Parasitic::Gaeumannomyces"
"237";"Mallomonadaceae";9;"Phytophage::Algae"
"238";"Marasmiaceae";13;"Saprotroph::Fungi"
"239";"Marynidae";7;"Pred1attach::Protist"
"240";"Melastomataceae";18;"Phototroph::non-legume"
"241";"Meloidogynidae";17;"Parasitic_p::Nematode"
"242";"Merliniidae";17;"Parasitic_p::Nematode"
"243";"Mermithidae";16;"Parasitic::Romanomermis"
"244";"Methanomassiliicoccaceae";20;"Decomposers::Archae"
"245";"Methylobacteriaceae";5;"Decomposers::Bacterie"
"246";"Methylocystaceae";5;"Decomposers::Bacterie"
"247";"Methylophilaceae";5;"Decomposers::Bacterie"
"248";"Microbacteriaceae";5;"Decomposers::Bacterie"
"249";"Micrococcaceae";5;"Decomposers::Bacterie"
"250";"Microlaimidae";6;"Bacterivorous::Nematode"
"251";"Micromonosporaceae";5;"Decomposers::Bacterie"
"252";"Micropepsaceae";5;"Decomposers::Bacterie"
"253";"Microthoracidae";4;"Pred1free::Protist"
"254";"Microthrixaceae";5;"Decomposers::Bacterie"
"255";"Mischococcaceae";15;"Phototroph::Algae"
"256";"Monhysteridae";6;"Bacterivorous::Nematode"
"257";"Monocystidae";16;"Parasitic::Monocystis"
"258";"Mononchidae";11;"Pred3::Nematode"
"259";"Moraxellaceae";5;"Opportunists::Bacterie"
"260";"Mortierellaceae";13;"Saprotroph::Fungi"
"261";"Mrakiaceae";17;"Parasitic::Itersonilia"
"262";"Mucoraceae";13;"Saprotroph::Fungi"
"263";"Mycobacteriaceae";5;"Decomposers::Bacterie"
"264";"Myxochloridaceae";9;"Phytophage::Algae"
"265";"Myxococcaceae";5;"Decomposers::Bacterie"
"266";"Nakamurellaceae";5;"Decomposers::Bacterie"
"267";"Nannocystaceae";5;"Decomposers::Bacterie"
"268";"Nassulidae";8;"Bacterivorous::Protist"
"269";"Naviculaceae";15;"Phototroph::Algae"
"270";"Neanuridae";2;"Saprofungivore::Collembole"
"271";"Neelidae";2;"Saprofungivore::Collembole"
"272";"Nitrosomonadaceae";5;"Decomposers::Bacterie"
"273";"Nitrosopumilaceae";20;"Decomposers::Archae"
"274";"Nitrososphaeraceae";20;"Decomposers::Archae"
"275";"Nitrospiraceae";5;"Unknown::Bacterie"
"276";"Nocardiaceae";5;"Decomposers::Bacterie"
"277";"Nocardioidaceae";5;"Decomposers::Bacterie"
"278";"Noctuidae";16;"Phytophage::Noctua"
"279";"Nordiidae";10;"Non.selective::Nematode"
"280";"Nucleariidae";19;"Pred2attach::Protist"
"281";"Nygolaimidae";11;"Pred3::Nematode"
"282";"Ochromonadaceae";9;"Phytophage::Algae"
"283";"Oikomonadaceae";15;"Phototroph::Algae"
"284";"Oleaceae";18;"Phototroph::non-legume"
"285";"Oligoflexaceae";5;"Unknown::Bacterie"
"286";"Olpidiaceae";16;"Parasitic::Olpidium"
"287";"Onychiuridae";2;"Saprofungivore::Collembole"
"288";"Onygenaceae";13;"Saprotroph::Fungi"
"289";"Opitutaceae";5;"Decomposers::Bacterie"
"290";"Orbiliaceae";13;"Saprotroph::Fungi"
"291";"Oribatulidae";16;"Saprophage::Oribate"
"292";"Oxalobacteraceae";5;"Decomposers::Bacterie"
"293";"Oxystominidae";6;"Bacterivorous::Nematode"
"294";"Oxytrichidae";4;"Pred1free::Protist"
"295";"Paenibacillaceae";5;"Decomposers::Bacterie"
"296";"Palmellaceae";15;"Phototroph::Algae"
"297";"Panagrolaimidae";6;"Bacterivorous::Nematode"
"298";"Papaveraceae";18;"Phototroph::Ranunculales"
"299";"Paraglomeraceae";16;"ACM::Glomeromyc"
"300";"Paraphysomonadaceae";9;"Phytophage::Algae"
"301";"Parasitidae";1;"Pred3::Mesostigmata"
"302";"Pasteurellaceae";5;"Opportunists::Bacterie"
"303";"Pasteuriaceae";5;"Decomposers::Bacterie"
"304";"Paulinellidae";7;"Pred1attach::Protist"
"305";"Pemphigidae";16;"Phytophage::Pemphigus"
"306";"Peptococcaceae";5;"Decomposers::Bacterie"
"307";"Peridiniaceae";15;"Phototroph::Algae"
"308";"Phaeosphaeriaceae";13;"Saprotroph::Fungi"
"309";"Phaselicystidaceae";5;"Decomposers::Bacterie"
"310";"Phycisphaeraceae";5;"Miners::Bacterie"
"311";"Phyllobacteriaceae";5;"Decomposers::Bacterie"
"312";"Phytoseiidae";1;"Pred3::Mesostigmata"
"313";"Pinaceae";18;"Phototroph::Pinales"
"314";"Piptocephalidaceae";13;"Saprotoph::Zoopagales"
"315";"Planctomycetaceae";5;"Miners::Bacterie"
"316";"Planococcaceae";5;"Decomposers::Bacterie"
"317";"Plantaginaceae";18;"Phototroph::non-legume"
"318";"Plasmodiophoridae";16;"Pathogen::Polymyxa"
"319";"Platyophryidae";7;"Pred1attach::Protist"
"320";"Plectidae";6;"Bacterivorous::Nematode"
"321";"Pleurochloridaceae";15;"Phototroph::Algae"
"322";"Pluteaceae";13;"Saprotroph::Fungi"
