scientificName;originalscientificName;phylum_name;class_name;order_name;family_name;genus_name
Roseiflexus;uncultured Roseiflexus sp.;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus
Thermaerobacter;uncultured Thermaerobacter sp.;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XVII. Incertae Sedis;Thermaerobacter
Desulfitobacterium;uncultured Desulfitobacterium sp.;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium
Moorella;uncultured Moorella sp.;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella
Thermoanaerobacter;uncultured Thermoanaerobacter sp.;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter
Candidatus Nephrothrix;uncultured Candidatus Nephrothrix sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Candidatus Nephrothrix
Cytophaga;uncultured Cytophaga sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga
Flexibacter;uncultured Flexibacter sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter
Ohtaekwangia;uncultured Ohtaekwangia sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia
Adhaeribacter;uncultured Adhaeribacter sp.;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter
Dehalococcoides;uncultured Dehalococcoides sp.;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalococcoides
Bdellovibrio;uncultured Bdellovibrio sp.;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
Desulfotalea;uncultured Desulfotalea sp.;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea
Desulfovibrio;uncultured Desulfovibrio sp.;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Desulfuromonas;uncultured Desulfuromonas sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas
Malonomonas;uncultured Malonomonas sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Malonomonas
Pelobacter;uncultured Pelobacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter
Geoalkalibacter;uncultured Geoalkalibacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geoalkalibacter
Geobacter;uncultured Geobacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter
Geothermobacter;uncultured Geothermobacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter
Anaeromyxobacter;uncultured Anaeromyxobacter sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter
Cystobacter;uncultured Cystobacter sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Cystobacter
Haliangium;uncultured Haliangium sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium
Kofleria;uncultured Kofleria sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Kofleria
Cystobacterineae;Cystobacterineae;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA
Sorangiineae;Sorangiineae;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA
Nannocystis;uncultured Nannocystis sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Nannocystis
Phaselicystis;uncultured Phaselicystis sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis
Byssovorax;uncultured Byssovorax sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax
Chondromyces;uncultured Chondromyces sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces
Polyangium;uncultured Polyangium sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Polyangium
Syntrophus;uncultured Syntrophus sp.;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus
Desulfovirga;uncultured Desulfovirga sp.;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga
Syntrophobacter;uncultured Syntrophobacter sp.;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter
Crocinitomix;uncultured Crocinitomix sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Crocinitomix
Fluviicola;uncultured Fluviicola sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola
Lishizhenia;uncultured Lishizhenia sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Lishizhenia
Flavobacterium;uncultured Flavobacterium sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Ktedonobacter;uncultured Ktedonobacter sp.;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter
Rhodothermus;uncultured Rhodothermus sp.;Bacteroidetes;NA;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Rhodothermus
Opitutus;uncultured Opitutus sp.;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus
Gaiella;uncultured Gaiella sp.;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella
Rubrobacter;uncultured Rubrobacter sp.;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter
Mucilaginibacter;uncultured Mucilaginibacter sp.;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter
Pedobacter;uncultured Pedobacter sp.;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
Solitalea;uncultured Solitalea sp.;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea
Conexibacter;uncultured Conexibacter sp.;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter
Solirubrobacter;uncultured Solirubrobacter sp.;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter
Thermoleophilum;uncultured Thermoleophilum sp.;Actinobacteria;Thermoleophilia;Thermoleophilales;Thermoleophilaceae;Thermoleophilum
Sphaerobacter;uncultured Sphaerobacter sp.;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter
Pedosphaera parvula Ellin514;Pedosphaera parvula Ellin514;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;Pedosphaera
Pedosphaera;uncultured Pedosphaera sp.;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;Pedosphaera
Luteolibacter;uncultured Luteolibacter sp.;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter
Prosthecobacter;uncultured Prosthecobacter sp.;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter
Verrucomicrobium;uncultured Verrucomicrobium sp.;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium
Anguininae;Anguininae;Nematoda;Chromadorea;Tylenchida;Anguinidae;NA
Aporrectodea;NA;Annelida;Haplotaxida;Haplotaxida;Lumbricidae;Aporrectodea
Acidobacterium;uncultured Acidobacterium sp.;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium
