scientificName;phylum_name;class_name;order_name;family_name;genus_name;broad
environmental samples;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;bactérie
Rhodoplanes sp. Z2-YC6860;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;bactérie
uncultured Rhodoplanes sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;bactérie
uncultured Microvirga sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;bactérie
uncultured Methylosinus sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylosinus;bactérie
uncultured Aminobacter sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Aminobacter;bactérie
uncultured Mesorhizobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;bactérie
uncultured Nitratireductor sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Nitratireductor;bactérie
Rhizobium/Agrobacterium group;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;NA;bactérie
uncultured Rhizobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;bactérie
uncultured Rhodobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Rhodobium;bactérie
uncultured Pseudolabrys sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;bactérie
uncultured Acidisphaera sp.;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera;bactérie
uncultured Stella sp.;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Stella;bactérie
Azospirillum sp. T2-YC6788;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;bactérie
Dechlorospirillum sp. SN1;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dechlorospirillum;bactérie
Dongia sp. CB 286422;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia;bactérie
uncultured Dongia sp.;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia;bactérie
environmental samples;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;bactérie
uncultured Skermanella sp.;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella;bactérie
Altererythrobacter sp. 100921-2;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;bactérie
uncultured Altererythrobacter sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;bactérie
uncultured Erythrobacter sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;bactérie
Novosphingobium sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;bactérie
uncultured Novosphingobium sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;bactérie
uncultured Sphingobium sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;bactérie
Sphingomonas sp. 52NP12;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingomonas sp. C0503;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingomonas sp. DB-II-12;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingomonas sp. LP105;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingomonas sp. ML1;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingomonas sp. NCCP-1295;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingomonas sp. THG-DN7.10;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
uncultured Sphingomonas sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;bactérie
Sphingosinicella sp. YJ22;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingosinicella;bactérie
uncultured Sphingosinicella sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingosinicella;bactérie
uncultured Bellilinea sp.;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea;bactérie
uncultured Levilinea sp.;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea;bactérie
uncultured Longilinea sp.;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea;bactérie
uncultured Bacillus sp.;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;bactérie
uncultured Saccharibacillus sp.;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus;bactérie
uncultured Pasteuria sp.;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria;bactérie
uncultured Thermoflavimicrobium sp.;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoflavimicrobium;bactérie
uncultured Bacteroides sp.;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;bactérie
uncultured Derxia sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia;bactérie
uncultured Burkholderia sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;bactérie
uncultured Cupriavidus sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;bactérie
Ralstonia sp. JOS55-1;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;bactérie
uncultured Acidovorax sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;bactérie
Caenimonas sp. TSX9-5;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caenimonas;bactérie
uncultured Comamonas sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;bactérie
uncultured Curvibacter sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;bactérie
Diaphorobacter sp. NPG-14;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;bactérie
uncultured Hydrogenophaga sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;bactérie
Pelomonas sp. CR2;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;bactérie
Pelomonas sp. K89;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas;bactérie
uncultured Polaromonas sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;bactérie
uncultured Rhodoferax sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;bactérie
Duganella sp. 2M1lan;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;bactérie
Duganella sp. JPPB B33;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;bactérie
uncultured Herbaspirillum sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;bactérie
uncultured Herminiimonas sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;bactérie
uncultured Massilia sp.;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;bactérie
uncultured Thiobacillus sp.;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;bactérie
uncultured Methylobacillus sp.;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;bactérie
uncultured Methylophilus sp.;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;bactérie
uncultured Nitrosospira sp.;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;bactérie
uncultured Denitratisoma sp.;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;bactérie
uncultured Ferribacterium sp.;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Ferribacterium;bactérie
uncultured Georgfuchsia sp.;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;bactérie
uncultured Propionivibrio sp.;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;bactérie
uncultured Sterolibacterium sp.;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sterolibacterium;bactérie
uncultured Caldilinea sp.;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;bactérie
Chitinophaga sp. BN130233;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;bactérie
uncultured Chitinophaga sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;bactérie
Ferruginibacter sp. WF24;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;bactérie
uncultured Ferruginibacter sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;bactérie
Flavosolibacter sp. HU1-JC5;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter;bactérie
uncultured Flavisolibacter sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavisolibacter;bactérie
uncultured Lacibacter sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Lacibacter;bactérie
uncultured Niastella sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Niastella;bactérie
uncultured Segetibacter sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;bactérie
Terrimonas sp. URHE0054;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;bactérie
uncultured Terrimonas sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;bactérie
uncultured Haliscomenobacter sp.;Bacteroidetes;Chitinophagia;Chitinophagales;Saprospiraceae;Haliscomenobacter;bactérie
uncultured Chloroflexus sp.;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;bactérie
uncultured Roseiflexus sp.;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;bactérie
uncultured Thermaerobacter sp.;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XVII. Incertae Sedis;Thermaerobacter;bactérie
uncultured Desulfitobacterium sp.;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;bactérie
uncultured Moorella sp.;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;bactérie
uncultured Thermoanaerobacter sp.;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter;bactérie
uncultured Candidatus Nephrothrix sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Candidatus Nephrothrix;bactérie
uncultured Cytophaga sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;bactérie
Emticicia sp. KJ033;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Emticicia;bactérie
Fibrella sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Fibrella;bactérie
uncultured Flexibacter sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;bactérie
uncultured Ohtaekwangia sp.;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;bactérie
uncultured Adhaeribacter sp.;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;bactérie
Pontibacter sp. LX8;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter;bactérie
uncultured Dehalococcoides sp.;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalococcoides;bactérie
Bacteriovorax sp. PNEc1;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Bacteriovorax;bactérie
Bdellovibrio exovorus JSS;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;bactérie
uncultured Bdellovibrio sp.;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;bactérie
uncultured Desulfotalea sp.;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;bactérie
uncultured Desulfovibrio sp.;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;bactérie
uncultured Desulfuromonas sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;bactérie
uncultured Malonomonas sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Malonomonas;bactérie
uncultured Pelobacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;bactérie
uncultured Geoalkalibacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geoalkalibacter;bactérie
Geobacter sp. enrichment culture clone VanCtr1;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;bactérie
uncultured Geobacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;bactérie
uncultured Geothermobacter sp.;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter;bactérie
uncultured Anaeromyxobacter sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter;bactérie
uncultured Cystobacter sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Cystobacter;bactérie
uncultured Haliangium sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium;bactérie
uncultured Kofleria sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Kofleria;bactérie
Cystobacterineae;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA;bactérie
Sorangiineae;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA;bactérie
uncultured Nannocystis sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Nannocystis;bactérie
uncultured Phaselicystis sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis;bactérie
uncultured Byssovorax sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Byssovorax;bactérie
uncultured Chondromyces sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces;bactérie
uncultured Polyangium sp.;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Polyangium;bactérie
uncultured Syntrophus sp.;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;bactérie
uncultured Desulfovirga sp.;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga;bactérie
uncultured Syntrophobacter sp.;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;bactérie
uncultured Crocinitomix sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Crocinitomix;bactérie
Fluviicola sp. YS 1.2.4;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;bactérie
uncultured Fluviicola sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;bactérie
uncultured Lishizhenia sp.;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Lishizhenia;bactérie
