retained_tax;class
uncultured Novosphingobium sp.;8
uncultured Ohtaekwangia sp.;8
uncultured Pasteuria sp.;8
uncultured Pedomicrobium sp.;8
uncultured Phaselicystis sp.;8
uncultured Pirellula sp.;8
uncultured Prosthecomicrobium sp.;8
uncultured Pseudonocardia sp.;8
uncultured Rhizobium sp.;8
uncultured Rhizomicrobium sp.;8
uncultured Rhodobium sp.;8
uncultured Rhodoplanes sp.;8
uncultured Rhodopseudomonas sp.;8
uncultured Saccharibacillus sp.;8
uncultured Segetibacter sp.;8
uncultured Solirubrobacter sp.;8
uncultured Solitalea sp.;8
uncultured Sphingomonas sp.;8
uncultured Steroidobacter sp.;8
uncultured Thermaerobacter sp.;8
uncultured Thermoanaerobacter sp.;8
uncultured Thermoflavimicrobium sp.;8
uncultured Thiorhodospira sp.;8
uncultured Verrucomicrobium sp.;8
uncultured Woodsholea sp.;8
Resource::Decaying_wood;9
Resource::Dung;9
Resource::Litter;9
