retained_tax;class
Anteholosticha gracilis;4
Anteholosticha monilata;4
Anteholosticha rectangula;4
Aphelenchoides;4
Aphelenchoides sp. 2137;4
Aphelenchus;4
Aphelenchus avenae;4
Arcuospathidium namibiense;4
Bresslaua vorax;4
Bryometopus pseudochilodon;4
Bryometopus sphagni;4
Canavalia ensiformis;4
Cardamine;4
Caudiholosticha sp. Zlv-2015;4
Caudiholosticha sylvatica;4
Cedrus;4
Cerastium arcticum;4
Conopodium majus;4
Cultellothrix coemeterii;4
Cultellothrix lionotiformis;4
Dactylis glomerata;4
Dileptus microstoma;4
Dileptus sp.;4
Ditylenchus dipsaci;4
Epispathidium sp. RV-2015;4
Epispathidium terricola;4
Euplotes;4
Euplotes balteatus;4
Euplotes qatarensis;4
Euplotes trisulcatus;4
Fallopia multiflora;4
Fuscheria;4
Fuscheria sp. VBOEF-2011;4
Gonostomum;4
Gonostomum namibiense;4
Gonostomum sp. JS-2012;4
Gonostomum strenuum;4
Helianthus annuus;4
Hemiamphisiella terricola;4
Holcus;4
Linum;4
Monilicaryon monilatum;4
Neourostylopsis;4
Nuclearia;4
Otiorhynchus armadillo;4
Persicaria;4
Peyerimhoffia alpina;4
Phacelia tanacetifolia;4
Phialina salinarum;4
Picea abies;4
Pisum;4
Platyreta germanica;4
Polygonum;4
Pseudouroleptus sp. ALT-2014;4
Ranunculus;4
Rheum;4
Salvia nemorosa;4
Seinura demani;4
Sinapis alba;4
Sorghum;4
Spathidium simplinucleatum;4
Stellaria;4
Taraxacum kok-saghyz;4
Taxus;4
Trifolium;4
Tylencholaimus sp. PDL-2005;4
Urostyla grandis;4
Vampyrella pendula;4
Veronica;4
Vigna angularis;4
Zea mays;4
Abies;5
Adineta vaga;5
Apusomonas proboscidea;5
Bardeliella pulchra;5
Bodomorpha;5
Bodomorpha sp. HFCC56;5
Bresslauides discoideus;5
Capsellina sp. ATCC 50039;5
Cercomonas;5
Cercomonas celer;5
Cercomonas fastiga;5
Cercomonas media;5
Cercomonas parincurva;5
Cercomonas radiata;5
Cercomonas rapida;5
Cercomonas sp. ATCC 50367;5
Cercomonas sp. HFCC 905;5
Cercomonas vacuolata;5
Chlamydomyxa labyrinthuloides;5
Codosiga;5
Colpoda;5
Colpoda sp. MD-2011;5
Colpoda sp. PRA-118;5
Corythion dubium;5
Diaphanoeca spiralifurca;5
Echinamoeba exundans;5
Eocercomonas;5
