SPEC;LABEL
Dissophora decumbens;1
Ditylenchus dipsaci;5
Diversispora;9
Diversispora varaderana;9
Dokdonella ginsengisoli;2
Dongia;2
Dongia sp. CB 286422;2
Duganella;2
Duganella sp. 2M1lan;2
Duganella sp. JPPB B33;2
Dyadobacter;2
Echinamoeba exundans;0
Ecumenicus;6
Edaphobacter;4
Edaphobacter dinghuensis;4
Emticicia sp. KJ033;2
Enchytraeus;1
Enchytraeus albidus;1
Enchytraeus buchholzi;1
Enchytraeus christenseni;1
Enchytraeus lacteus;1
Enchytraeus norvegicus;1
Endochytrium sp. JEL 324;1
Endogone;1
Endogone lactiflua;1
Endogone sp. OSC T14506;1
Endogone sp. W5994;1
Entomobrya multifasciata;5
Entomobrya sp. 9644 FZ-2013;5
Entyloma ficariae;4
Eocercomonas;0
Eocercomonas sp. HFCC 908;0
Eocercomonas sp. HFCC 909;0
Eosentomon sp. FNSA-2002;5
Epipyxis pulchra;0
Epispathidium sp. RV-2015;6
Epispathidium terricola;6
Epistylis;0
Eucephalobus striatus;6
Euduboscquella;4
Euglypha;0
Euglypha rotunda;0
Euglypha tuberculata;0
Eumonhystera;6
Euplotes;6
Euplotes balteatus;6
Euplotes qatarensis;6
Euplotes trisulcatus;6
Fallopia multiflora;8
Ferruginibacter;2
Ferruginibacter paludis;2
Ferruginibacter sp. WF24;2
Fibrella sp.;2
Filobasidium stepposum;1
Fistulifera;4
Flavisolibacter;2
Flavisolibacter rigui;2
Flavobacterium;2
Flavobacterium hydatis;2
Flavobacterium sp. BF134;2
Flavobacterium sp. HL-17;2
Flavobacterium sp. PDD-32b-56;2
Flavobacterium sp. R-38392;2
Flavosolibacter sp. HU1-JC5;2
Fluviicola;2
Fluviicola sp. YS 1.2.4;2
Folsomia candida;5
Folsomia quadrioculata;5
Forficula;5
Forficula auricularia;5
Forficula sp. NC-1995;5
Fridericia;1
Fridericia bisetosa;1
Fridericia christeri;1
Fridericia connata;1
Fridericia galba;1
Fridericia isseli;1
Fridericia magna;1
Fridericia paroniana;1
Fridericia ratzeli;1
Fridericia sohlenii;1
Fridericia sylvatica;1
Friesea grisea;5
Frigoribacterium sp. B1-25c-3;2
Funneliformis mosseae;9
Fuscheria;6
Fuscheria sp. VBOEF-2011;6
Gaeumannomyces graminis;7
Gaiella;2
Gaiella occulta;2
Geastrum saccatum;1
Gemmata;4
Gemmata obscuriglobus;4
Gemmata sp. Fl1-1;4
Gemmatimonas;4
Geobacter;2
Geobacter anodireducens;2
Geobacter sp. enrichment culture clone VanCtr1;2
Geodermatophilus;2
Geodermatophilus sp. Z2R53;2
Georgfuchsia toluolica;2
Geothrix;4
Gliricola sp. 274;3
Glomus;9
Glomus invermaium;9
Glomus sp. 9 SUN-2011;9
Gongronella;1
Gongronella butleri;1
Gonostomum;6
Gonostomum namibiense;6
Gonostomum sp. JS-2012;6
Gonostomum strenuum;6
Granulicella paludicola;4
Guepiniopsis buccina;1
Halteromyces radiatus;1
Hantzschia;4
Hantzschia amphioxys;4
Helianthus annuus;8
Helicotylenchus;7
Helicotylenchus varicaudatus;7
Hemiamphisiella terricola;6
Henlea;1
Herbaspirillum;2
Herpetomonas;4
Hesperelaea palmeri;8
Heterococcus caespitosus;4
Heterodera;7
Heteromita;0
Heterophrys sp. Oxford1;0
Hibberdia magna;4
Histiostoma feroniarum;5
Hodophilus hymenocephalus;1
Holcus;8
Holophaga sp. oral clone CA002;4
Holwaya mucida;1
Homalogastra setosa;0
Humibacter sp. Po15c;2
Hyalorbilia sp. HOB-2016a;1
Hydrocarboniphaga;2
Hydrogenophaga;2
Hygrocybe;1
Hygrocybe reidii;1
Hymenochaetopsis olivacea;1
Hymenoscyphus repandus;1
Hyphochytrium catenoides;4
Hyphodiscus hymeniophilus;1
Hyphodontia rimosissima;1
Hyphomicrobium;2
Iodophanus carneus;1
Isolaimium multistriatum;6
Isotoma viridis;5
Isotomiella minor;5
Itersonilia pannonica;7
Itersonilia perplexans;7
Jaagiella alpicola;4
Janibacter;2
Janthinobacterium;2
Jatrophihabitans;2
Juncus;8
Kineosporia;2
Klebsormidium;4
Kribbella;2
Kribbella sp. enrichment culture clone VanCtr42;2
Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01;2
Kutzneria;2
Kuzuhaea moniliformis;1
Labrys;2
Lacrymaria marina;0
Lamproderma sp. SAPA:100012;0
Legionella;2
Legionella lytica;2
Leifsonia;2
Leifsonia sp. A5AGK;2
Lepidocyrtus paradoxus;5
Lepidocyrtus sp. 1 FZ-2013;5
Leptomyxa reticulata;0
Leptomyxa sp. AS-2016b;0
Leptopharynx bromelicola;0
Leptosphaeria biglobosa;4
Limonomyces roseipellis;7
Linum;8
Liochthonius sp. AD1300;5
Lithobius forficatus;3
Lithobius variegatus;3
Lonchoptera lutea;5
Longidorus;7
Longidorus raskii;7
Longidorus vinearum;7
Luedemannella sp. 119-1-07;2
Lumbricus centralis;4
Lumbricus friendi;4
Luteimonas aestuarii;2
Luticola permuticopsis;4
Lysobacter sp. MS6Y-8-7;2
Lysobacter sp. RHLT3-4;2
Lysobacter sp. YS-37;2
Magnaporthe;7
Magnetospirillum;2
Mallomonas;0
Marionina;1
Marionina cf. minutissima PDW-2010;1
Marionina clavata;1
Marionina filiformis;1
Marionina sublitoralis;1
Marmoricola;2
Martelella endophytica;2
Maryna ovata;0
Massilia;2
Massisteria marina;0
Mayamaea;4
Mayamaea sp. KAS1111;4
Megalothorax;5
Megalothorax sp. EA040003-cs17;5
Megalothorax sp. EA040004-cs23;5
Megalothorax sp. EA040008-cs9;5
Melastiza contorta;1
