SPEC;LABEL
uncultured Zavarzinella sp.;4
Undibacterium;2
Uropoda orbicularis;5
Urostyla grandis;6
Vampyrella pendula;6
Variibacter gotjawalensis;2
Variovorax;2
Vaucheria terrestris;4
Veigaia;3
Veigaia nemorensis;3
Veigaia sp. 2 APGD-2010;3
Vermamoeba vermiformis;0
Veronica;8
Vertagopus sp. YB-2012;5
Vexillifera;0
Vigna angularis;8
Vorticella campanula;0
Vorticella sp. PPS-2011b;0
Vorticellides;0
Vulgatibacter incomptus;2
Waitea circinata;7
Willowsia nigromaculata;5
Woronina pythii;4
Xanthonema;4
Xanthonema bristolianum;4
Xanthonema sp. 735;4
Xiphinema;7
Xiphinema diversicaudatum;7
Yarrowia lipolytica;1
Yarrowia sp. 25L;1
Zea mays;8
Zoothamnium;0
