;consumer_gbif_key;consumer_rank;consumer_name;interaction_type;resource_name;resource_gbif_key;resource_rank;reference;remark
20;5262297;SPECIES;Phoma herbarum;parasiteOf;Alchemilla vulgaris;7890713;SPECIES;FungalDataBase;
21;5262297;SPECIES;Phoma herbarum;parasiteOf;Alhagi;2945087;GENUS;FungalDataBase;
22;5262297;SPECIES;Phoma herbarum;parasiteOf;Alhagi persarum;2945106;SPECIES;FungalDataBase;
23;5262297;SPECIES;Phoma herbarum;parasiteOf;Allium cardiostemon;2856126;SPECIES;FungalDataBase;
24;2130185;SPECIES;Tetranychus urticae;parasiteOf;Allium cepa;2857697;SPECIES;https://www.cabi.org/isc/datasheet/53366;
25;2130185;SPECIES;Tetranychus urticae;parasiteOf;Allium sativum;2856681;SPECIES;https://www.cabi.org/isc/datasheet/53366;
26;5262297;SPECIES;Phoma herbarum;parasiteOf;Aloe plicatilis;2777937;SPECIES;FungalDataBase;
27;2555201;SPECIES;Rhizoctonia solani;parasiteOf;Amaranthaceae;3064;FAMILY;GLoBi;the first 15 families in terms of listed interactions
28;2626969;SPECIES;Olpidium brassicae;parasiteOf;Amaranthus;3085074;GENUS;FungalDataBase;
29;2513144;GENUS;Protomyces;parasiteOf;Ammi majus;3034182;SPECIES;FungalDataBase;
30;7928292;SPECIES;Amphisiella raptans;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
31;8181547;SPECIES;Apoamphisiella tihanyiensis;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
32;8006704;SPECIES;Bresslauides australis australis;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
33;7893724;SPECIES;Cyrtohymena candens;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
34;7689024;SPECIES;Dileptus margaritifer;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
35;8166778;SPECIES;Frontonia depressa;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
36;8256548;SPECIES;Hemiamphisiella granulifera;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
37;7858582;SPECIES;Holosticha stueberi;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
38;7566514;SPECIES;Lamtostyla abdita;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
39;7549436;SPECIES;Lamtostyla granulifera;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
40;8016841;SPECIES;Notohymena rubescens;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
41;8754583;SPECIES;Oxytricha hengshanensis;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
42;7736897;SPECIES;Oxytricha islandica;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
43;8024317;SPECIES;Oxytricha tricirrata;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
44;7837768;SPECIES;Parafurgasonia sorex;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
45;7761759;SPECIES;Parakahliella macrostoma;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
46;7505865;SPECIES;Paraurostyla granulifera;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
47;7538897;SPECIES;Pseudouroleptus procerus;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
48;7501409;SPECIES;Pseudourostyla franzi;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
49;8159328;SPECIES;Spathidium longicaudatum;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
50;7695846;SPECIES;Sterkiella cavicola;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
51;7815322;SPECIES;Sterkiella histriomuscorum;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
52;7560112;SPECIES;Tachysoma granulifera;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
53;7439614;SPECIES;Tricoronella pulchra;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
54;8199022;SPECIES;Uroleptus lepisma;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
55;7969533;SPECIES;Urosomoida agilis;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
56;8298972;SPECIES;Urosomoida antarctica;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
57;7717324;SPECIES;Urosomoida dorsiincisura;eats;Amoebozoa;7509337;PHYLUM;Foissner 1998;
58;2626969;SPECIES;Olpidium brassicae;parasiteOf;Anethum;3034645;GENUS;FungalDataBase;
59;2513144;GENUS;Protomyces;parasiteOf;Angelica archangelica;5371808;SPECIES;FungalDataBase;
60;2513144;GENUS;Protomyces;parasiteOf;Angelica sylvestris;5371818;SPECIES;FungalDataBase;
61;2076745;SPECIES;Aulacorthum solani;eats;Tracheophyta;7707728;PHYLUM;https://www.brc.ac.uk/DBIF/invertebrates.aspx;
62;7825;FAMILY;Elateridae;eats;Tracheophyta;7707728;PHYLUM;;
63;1419844;GENUS;Forficula;eats;Tracheophyta;7707728;PHYLUM;albouy & Caussanel (1990) Faune de France 75.;
64;2518115;GENUS;Itersonilia;parasiteOf;Tracheophyta;7707728;PHYLUM;Funguild;
65;2076179;SPECIES;Myzus persicae;eats;Tracheophyta;7707728;PHYLUM;https://www.brc.ac.uk/DBIF/invertebrates.aspx;
66;1789671;GENUS;Noctua;eats;Tracheophyta;7707728;PHYLUM;https://www.brc.ac.uk/DBIF/invertebrates.aspx;
67;1194803;GENUS;Otiorhynchus;eats;Tracheophyta;7707728;PHYLUM;https://www.brc.ac.uk/DBIF/invertebrates.aspx;GloBi
68;3202728;GENUS;Pythium;eats;Tracheophyta;7707728;PHYLUM;GLoBi;
69;2513144;GENUS;Protomyces;parasiteOf;Anthriscus caucalis;5371743;SPECIES;FungalDataBase;
70;5262297;SPECIES;Phoma herbarum;parasiteOf;Anthriscus nemorosa;6027243;SPECIES;FungalDataBase;
71;2513144;GENUS;Protomyces;parasiteOf;Anthriscus sylvestris;5371742;SPECIES;FungalDataBase;
72;3202687;SPECIES;Hyphochytrium catenoides;parasiteOf;Aphanomyces;3202934;GENUS;10.3389/fmicb.2014.00244;
73;1419844;GENUS;Forficula;eats;Aphididae;3042;FAMILY;albouy & Caussanel (1990) Faune de France 75.;
74;2626969;SPECIES;Olpidium brassicae;parasiteOf;Apium;3034812;GENUS;FungalDataBase;
75;2513144;GENUS;Protomyces;parasiteOf;Aposeris foetida;3094355;SPECIES;FungalDataBase;
76;8229102;CLASS;Colpodea;eats;Apusomonadidae;4378322;FAMILY;;pred2 assoc au substrat
77;128048854;KINGDOM;Leptophryidae;eats;Apusomonadidae;4378322;FAMILY;;pred2 assoc au substrat
78;2329;FAMILY;Nucleariidae;eats;Apusomonadidae;4378322;FAMILY;;pred2 assoc au substrat
79;7982209;CLASS;Spirotrichea;eats;Apusomonadidae;4378322;FAMILY;;pred2 assoc au substrat
80;6586;FAMILY;Vampyrellidae;eats;Apusomonadidae;4378322;FAMILY;;pred2 assoc au substrat
81;7939212;SPECIES;Acineria uncinata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
82;6145343;SPECIES;Amphisiella binucleata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
83;8034554;SPECIES;Amphisiella polycirrata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
