"";"n";"connectivity";"sumbg";"s";"p";"trt"
"1";"A-_1";"0.0630721562367964";"1.37377049180328";"Mons";"A";"0"
"2";"A-_2";"0.0732846294664045";"2.21194605009634";"Mons";"A";"0"
"3";"A-_3";"0.0677445916610525";"1.04950495049505";"Mons";"A";"0"
"4";"A-_4";"0.0721890666030079";"1.00630914826498";"Mons";"A";"0"
"5";"A+_1";"0.0689009458875498";"0.802469135802469";"Mons";"A";"1"
"6";"A+_2";"0.0628460597476178";"1.02460456942004";"Mons";"A";"1"
"7";"A+_3";"0.0688260676070509";"0.922330097087379";"Mons";"A";"1"
"8";"A+_4";"0.0734226374739686";"1.21274409044193";"Mons";"A";"1"
"9";"B-_1";"0.0778782711839276";"1.36299765807963";"Mons";"B";"0"
"10";"B-_2";"0.0767528328611898";"1.12433392539964";"Mons";"B";"0"
"11";"B-_3";"0.0766283524904215";"0.89662027833002";"Mons";"B";"0"
"12";"B-_4";"0.0740305052736032";"1.43735498839907";"Mons";"B";"0"
"13";"B+_1";"0.0751404151404151";"1.42953776775648";"Mons";"B";"1"
"14";"B+_2";"0.0746057828129955";"0.899661016949153";"Mons";"B";"1"
"15";"B+_3";"0.0813807404716496";"1.38947368421053";"Mons";"B";"1"
"16";"B+_4";"0.0659430943526766";"1.19905213270142";"Mons";"B";"1"
"17";"C-_1";"0.0682944887973217";"2.58641975308642";"Lus";"C";"0"
"18";"C-_2";"0.0822821014601837";"2.74020618556701";"Lus";"C";"0"
"19";"C-_3";"0.0868820039551747";"2.33047945205479";"Lus";"C";"0"
"20";"C-_4";"0.0786486728036464";"2.36278195488722";"Lus";"C";"0"
"21";"C+_1";"0.077804828565632";"2.62321792260692";"Lus";"C";"1"
"22";"C+_2";"0.0791744669193188";"3.39516129032258";"Lus";"C";"1"
"23";"C+_3";"0.0767443461498744";"1.77299880525687";"Lus";"C";"1"
"24";"C+_4";"0.0758543596295113";"1.47970085470085";"Lus";"C";"1"
"25";"D-_1";"0.0749019607843137";"2.86739130434783";"Lus";"D";"0"
"26";"D-_2";"0.0793687943262411";"3.49748743718593";"Lus";"D";"0"
"27";"D-_3";"0.0824783352172275";"2.23421926910299";"Lus";"D";"0"
"28";"D-_4";"0.0830092187605141";"1.9792817679558";"Lus";"D";"0"
"29";"D+_1";"0.0853936540885166";"2.20744680851064";"Lus";"D";"1"
"30";"D+_2";"0.0764828903599776";"2.08130081300813";"Lus";"D";"1"
"31";"D+_3";"0.0826415897525203";"2.4077868852459";"Lus";"D";"1"
"32";"D+_4";"0.0731977001326847";"4.36641221374046";"Lus";"D";"1"
"33";"E-_1";"0.0763636363636364";"2.22809917355372";"Lus";"E";"0"
"34";"E-_2";"0.0745685936151855";"10.3577981651376";"Lus";"E";"0"
"35";"E-_3";"0.0834512976070104";"2.72961373390558";"Lus";"E";"0"
"36";"E-_4";"0.0761458701543537";"3.8141592920354";"Lus";"E";"0"
"37";"E+_1";"0.094279725687308";"2.77647058823529";"Lus";"E";"1"
"38";"E+_2";"0.0855599194155593";"2.55268817204301";"Lus";"E";"1"
"39";"E+_3";"0.0792117758784425";"4.55471698113208";"Lus";"E";"1"
"40";"E+_4";"0.0897565621093983";"2.08275862068966";"Lus";"E";"1"
"41";"F-_1";"0.0889735303170206";"2.51103565365025";"Theix";"F";"0"
"42";"F-_2";"0.0890882688517789";"9.5078125";"Theix";"F";"0"
"43";"F-_3";"0.0920877311175986";"2.66304347826087";"Theix";"F";"0"
"44";"F-_4";"0.0928759817986842";"2.89904761904762";"Theix";"F";"0"
"45";"F+_1";"0.0973746897436325";"5.50406504065041";"Theix";"F";"1"
"46";"F+_2";"0.0966417351035298";"9.0258064516129";"Theix";"F";"1"
"47";"F+_3";"0.0993511964947759";"5.07142857142857";"Theix";"F";"1"
"48";"F+_4";"0.0921001802729848";"5.20074349442379";"Theix";"F";"1"
"49";"G-_1";"0.0926669067585876";"4.46623794212219";"Theix";"G";"0"
"50";"G-_2";"0.0877393385552654";"3.3470715835141";"Theix";"G";"0"
"51";"G-_3";"0.0892491607303693";"2.7962962962963";"Theix";"G";"0"
"52";"G-_4";"0.0931325515280739";"3.54568527918782";"Theix";"G";"0"
"53";"G+_1";"0.0889373551377801";"3.83943661971831";"Theix";"G";"1"
"54";"G+_2";"0.0885560928281927";"3.23040380047506";"Theix";"G";"1"
"55";"G+_3";"0.0915915915915916";"3.79250720461095";"Theix";"G";"1"
"56";"G+_4";"0.0955356801590032";"2.25714285714286";"Theix";"G";"1"
"57";"H-_1";"0.095317689917497";"2.62393162393162";"Theix";"H";"0"
"58";"H-_2";"0.0917407275743572";"5.26548672566372";"Theix";"H";"0"
"59";"H-_3";"0.0959800664451827";"3.69113149847095";"Theix";"H";"0"
"60";"H-_4";"0.0944221729309538";"4.47183098591549";"Theix";"H";"0"
"61";"H+_1";"0.116103352897524";"11.6111111111111";"Theix";"H";"1"
"62";"H+_2";"0.0920419025090817";"5.275";"Theix";"H";"1"
"63";"H+_3";"0.0978407557354926";"4.52054794520548";"Theix";"H";"1"
"64";"H+_4";"0.0998391852050389";"3.69836065573771";"Theix";"H";"1"
