"";"n";"connectivity";"sumbg";"s";"p";"trt"
"1";"A-_1";"0.0560606060606061";"9.5625";"Mons";"A";"0"
"2";"A-_2";"0.0499537465309898";"3.91176470588235";"Mons";"A";"0"
"3";"A-_3";"0.0522664199814986";"4.86206896551724";"Mons";"A";"0"
"4";"A-_4";"0.0555555555555556";"3.86486486486486";"Mons";"A";"0"
"5";"A+_1";"0.0568917668825162";"3.48";"Mons";"A";"1"
"6";"A+_2";"0.0559183673469388";"3.45652173913043";"Mons";"A";"1"
"7";"A+_3";"0.0591966173361522";"2.76470588235294";"Mons";"A";"1"
"8";"A+_4";"0.0618393234672304";"3.16071428571429";"Mons";"A";"1"
"9";"B-_1";"0.0673635307781649";"6.63636363636364";"Mons";"B";"0"
"10";"B-_2";"0.061054579093432";"4.55882352941176";"Mons";"B";"0"
"11";"B-_3";"0.0623188405797101";"4.32352941176471";"Mons";"B";"0"
"12";"B-_4";"0.0692137320044297";"4.24390243902439";"Mons";"B";"0"
"13";"B+_1";"0.0583673469387755";"3.52173913043478";"Mons";"B";"1"
"14";"B+_2";"0.0576241134751773";"3.05769230769231";"Mons";"B";"1"
"15";"B+_3";"0.0628019323671498";"4.32352941176471";"Mons";"B";"1"
"16";"B+_4";"0.0556862745098039";"3.63636363636364";"Mons";"B";"1"
"17";"C-_1";"0.0803303303303303";"10.5";"Lus";"C";"0"
"18";"C-_2";"0.0765765765765766";"9.6";"Lus";"C";"0"
"19";"C-_3";"0.0747508305647841";"4.59523809523809";"Lus";"C";"0"
"20";"C-_4";"0.0780487804878049";"5.57142857142857";"Lus";"C";"0"
"21";"C+_1";"0.0607822410147992";"4.45";"Lus";"C";"1"
"22";"C+_2";"0.0589371980676328";"4.84848484848485";"Lus";"C";"1"
"23";"C+_3";"0.0522664199814986";"3.32727272727273";"Lus";"C";"1"
"24";"C+_4";"0.070267131242741";"3.51020408163265";"Lus";"C";"1"
"25";"D-_1";"0.0698198198198198";"7.86666666666667";"Lus";"D";"0"
"26";"D-_2";"0.0714285714285714";"7.77272727272727";"Lus";"D";"0"
"27";"D-_3";"0.0607269503546099";"4.02173913043478";"Lus";"D";"0"
"28";"D-_4";"0.077524893314367";"7.15";"Lus";"D";"0"
"29";"D+_1";"0.0825825825825826";"5.68";"Lus";"D";"1"
"30";"D+_2";"0.0823529411764706";"9.85714285714286";"Lus";"D";"1"
"31";"D+_3";"0.0753911806543385";"8.75";"Lus";"D";"1"
"32";"D+_4";"0.075";"8";"Lus";"D";"1"
"33";"E-_1";"0.0689024390243902";"4.71428571428571";"Lus";"E";"0"
"34";"E-_2";"0.0750750750750751";"8.125";"Lus";"E";"0"
"35";"E-_3";"0.0730769230769231";"6.66666666666667";"Lus";"E";"0"
"36";"E-_4";"0.0681511470985155";"5.375";"Lus";"E";"0"
"37";"E+_1";"0.0833333333333333";"5.31034482758621";"Lus";"E";"1"
"38";"E+_2";"0.0746799431009957";"5.12903225806452";"Lus";"E";"1"
"39";"E+_3";"0.0708502024291498";"6.85";"Lus";"E";"1"
"40";"E+_4";"0.0673076923076923";"3.85";"Lus";"E";"1"
"41";"F-_1";"0.0651515151515152";"7.71428571428571";"Theix";"F";"0"
"42";"F-_2";"0.070267131242741";"6.03846153846154";"Theix";"F";"0"
"43";"F-_3";"0.0624421831637373";"6.28";"Theix";"F";"0"
"44";"F-_4";"0.0697674418604651";"4.43243243243243";"Theix";"F";"0"
"45";"F+_1";"0.0651515151515152";"3.54347826086957";"Theix";"F";"1"
"46";"F+_2";"0.0707317073170732";"5.11764705882353";"Theix";"F";"1"
"47";"F+_3";"0.0786585365853659";"6.8";"Theix";"F";"1"
"48";"F+_4";"0.0669988925802879";"7.75";"Theix";"F";"1"
"49";"G-_1";"0.0667828106852497";"5.17241379310345";"Theix";"G";"0"
"50";"G-_2";"0.0614617940199336";"4.8974358974359";"Theix";"G";"0"
"51";"G-_3";"0.0593971631205674";"3.25423728813559";"Theix";"G";"0"
"52";"G-_4";"0.0689075630252101";"9.2";"Theix";"G";"0"
"53";"G+_1";"0.0549682875264271";"4.82758620689655";"Theix";"G";"1"
"54";"G+_2";"0.0602836879432624";"2.43037974683544";"Theix";"G";"1"
"55";"G+_3";"0.0668168168168168";"9";"Theix";"G";"1"
"56";"G+_4";"0.0695121951219512";"6.86363636363636";"Theix";"G";"1"
"57";"H-_1";"0.0692137320044297";"3.97368421052632";"Theix";"H";"0"
"58";"H-_2";"0.0717948717948718";"7.68421052631579";"Theix";"H";"0"
"59";"H-_3";"0.0769230769230769";"6.28";"Theix";"H";"0"
"60";"H-_4";"0.0670731707317073";"7.36842105263158";"Theix";"H";"0"
"61";"H+_1";"0.0818318318318318";"10.5";"Theix";"H";"1"
"62";"H+_2";"0.0679487179487179";"6.22727272727273";"Theix";"H";"1"
"63";"H+_3";"0.0664634146341463";"8.8125";"Theix";"H";"1"
"64";"H+_4";"0.0650406504065041";"5.64";"Theix";"H";"1"
