"";"n";"connectivity";"sumbg";"s";"p";"trt"
"1";"A-_1";"0.0512820512820513";"4.43243243243243";"Mons";"A";"0"
"2";"A-_2";"0.0451178451178451";"2.04347826086957";"Mons";"A";"0"
"3";"A-_3";"0.0470779220779221";"2.46031746031746";"Mons";"A";"0"
"4";"A-_4";"0.0492662473794549";"2.45161290322581";"Mons";"A";"0"
"5";"A+_1";"0.0524132730015083";"3.33333333333333";"Mons";"A";"1"
"6";"A+_2";"0.0519125683060109";"1.23529411764706";"Mons";"A";"1"
"7";"A+_3";"0.0541062801932367";"2.57142857142857";"Mons";"A";"1"
"8";"A+_4";"0.0524109014675052";"1.56435643564356";"Mons";"A";"1"
"9";"B-_1";"0.056547619047619";"3.12765957446809";"Mons";"B";"0"
"10";"B-_2";"0.0535714285714286";"2.41176470588235";"Mons";"B";"0"
"11";"B-_3";"0.0527603074772886";"2.14492753623188";"Mons";"B";"0"
"12";"B-_4";"0.061054579093432";"3.76923076923077";"Mons";"B";"0"
"13";"B+_1";"0.0516233766233766";"2.21917808219178";"Mons";"B";"1"
"14";"B+_2";"0.0520614954577219";"2.16216216216216";"Mons";"B";"1"
"15";"B+_3";"0.056953179594689";"2.80701754385965";"Mons";"B";"1"
"16";"B+_4";"0.0480225988700565";"2.27777777777778";"Mons";"B";"1"
"17";"C-_1";"0.0703211517165006";"5.62962962962963";"Lus";"C";"0"
"18";"C-_2";"0.063768115942029";"4.96774193548387";"Lus";"C";"0"
"19";"C-_3";"0.0695921985815603";"2.87096774193548";"Lus";"C";"0"
"20";"C-_4";"0.0691919191919192";"5.41935483870968";"Lus";"C";"0"
"21";"C+_1";"0.0603741496598639";"2.59016393442623";"Lus";"C";"1"
"22";"C+_2";"0.053469387755102";"4.38235294117647";"Lus";"C";"1"
"23";"C+_3";"0.0487012987012987";"2.31818181818182";"Lus";"C";"1"
"24";"C+_4";"0.0562543675751223";"2.10958904109589";"Lus";"C";"1"
"25";"D-_1";"0.0541165587419056";"3.48648648648649";"Lus";"D";"0"
"26";"D-_2";"0.0628019323671498";"7.27272727272727";"Lus";"D";"0"
"27";"D-_3";"0.0531674208144796";"3.20408163265306";"Lus";"D";"0"
"28";"D-_4";"0.0633672525439408";"3.53658536585366";"Lus";"D";"0"
"29";"D+_1";"0.070874861572536";"4.19444444444444";"Lus";"D";"1"
"30";"D+_2";"0.0676829268292683";"4.3125";"Lus";"D";"1"
"31";"D+_3";"0.0686868686868687";"5.16129032258065";"Lus";"D";"1"
"32";"D+_4";"0.0605920444033302";"4.625";"Lus";"D";"1"
"33";"E-_1";"0.051659125188537";"2.78846153846154";"Lus";"E";"0"
"34";"E-_2";"0.0650406504065041";"4.28125";"Lus";"E";"0"
"35";"E-_3";"0.0632850241545894";"5.03333333333333";"Lus";"E";"0"
"36";"E-_4";"0.0558510638297872";"3.625";"Lus";"E";"0"
"37";"E+_1";"0.0661616161616162";"3.31914893617021";"Lus";"E";"1"
"38";"E+_2";"0.0658914728682171";"5";"Lus";"E";"1"
"39";"E+_3";"0.0567375886524823";"3.13636363636364";"Lus";"E";"1"
"40";"E+_4";"0.0686868686868687";"3.16";"Lus";"E";"1"
"41";"F-_1";"0.0526124818577649";"3.30612244897959";"Theix";"F";"0"
"42";"F-_2";"0.0562943262411347";"4.29411764705882";"Theix";"F";"0"
"43";"F-_3";"0.0493863237872589";"2.07317073170732";"Theix";"F";"0"
"44";"F-_4";"0.0566037735849057";"2.83050847457627";"Theix";"F";"0"
"45";"F+_1";"0.0620567375886525";"3.09433962264151";"Theix";"F";"1"
"46";"F+_2";"0.0590986394557823";"4.51428571428571";"Theix";"F";"1"
"47";"F+_3";"0.0588235294117647";"3.28846153846154";"Theix";"F";"1"
"48";"F+_4";"0.0526124818577649";"3.29166666666667";"Theix";"F";"1"
"49";"G-_1";"0.0632850241545894";"3.14583333333333";"Theix";"G";"0"
"50";"G-_2";"0.0474747474747475";"2.36507936507937";"Theix";"G";"0"
"51";"G-_3";"0.0562543675751223";"2.34328358208955";"Theix";"G";"0"
"52";"G-_4";"0.0541176470588235";"2.68421052631579";"Theix";"G";"0"
"53";"G+_1";"0.0478686233403215";"2.74074074074074";"Theix";"G";"1"
"54";"G+_2";"0.0479323308270677";"1.34545454545455";"Theix";"G";"1"
"55";"G+_3";"0.0530612244897959";"2.78846153846154";"Theix";"G";"1"
"56";"G+_4";"0.0542087542087542";"2.65079365079365";"Theix";"G";"1"
"57";"H-_1";"0.0576923076923077";"1.64893617021277";"Theix";"H";"0"
"58";"H-_2";"0.0592156862745098";"3.79545454545455";"Theix";"H";"0"
"59";"H-_3";"0.0576923076923077";"3.58333333333333";"Theix";"H";"0"
"60";"H-_4";"0.050314465408805";"2.49152542372881";"Theix";"H";"0"
"61";"H+_1";"0.0607822410147992";"6.72727272727273";"Theix";"H";"1"
"62";"H+_2";"0.0573979591836735";"3.08510638297872";"Theix";"H";"1"
"63";"H+_3";"0.0518367346938775";"3.13333333333333";"Theix";"H";"1"
"64";"H+_4";"0.0509049773755656";"2.1044776119403";"Theix";"H";"1"
