"";"n";"connectivity";"sumbg";"s";"p";"trt"
"1";"A-_1";"0.0545073375262055";"1.20588235294118";"Mons";"A";"0"
"2";"A-_2";"0.0513784461152882";"1.11029411764706";"Mons";"A";"0"
"3";"A-_3";"0.0515151515151515";"1.60416666666667";"Mons";"A";"0"
"4";"A-_4";"0.0571428571428571";"1.16058394160584";"Mons";"A";"0"
"5";"A+_1";"0.0595065312046444";"1.45384615384615";"Mons";"A";"1"
"6";"A+_2";"0.0560109289617486";"1.04375";"Mons";"A";"1"
"7";"A+_3";"0.0541176470588235";"1.39805825242718";"Mons";"A";"1"
"8";"A+_4";"0.0584179970972424";"1.26612903225806";"Mons";"A";"1"
"9";"B-_1";"0.0574675324675325";"1.11267605633803";"Mons";"B";"0"
"10";"B-_2";"0.0617167919799499";"1.45535714285714";"Mons";"B";"0"
"11";"B-_3";"0.0558153126826417";"1.13669064748201";"Mons";"B";"0"
"12";"B-_4";"0.0563997662185856";"1.01273885350318";"Mons";"B";"0"
"13";"B+_1";"0.0532365396249244";"1.44642857142857";"Mons";"B";"1"
"14";"B+_2";"0.0565638233514822";"0.935672514619883";"Mons";"B";"1"
"15";"B+_3";"0.0612794612794613";"1.65346534653465";"Mons";"B";"1"
"16";"B+_4";"0.0550514216575923";"1.17777777777778";"Mons";"B";"1"
"17";"C-_1";"0.0666666666666667";"3.86842105263158";"Lus";"C";"0"
"18";"C-_2";"0.0603318250377074";"2.83636363636364";"Lus";"C";"0"
"19";"C-_3";"0.066400580551524";"1.71153846153846";"Lus";"C";"0"
"20";"C-_4";"0.0659013605442177";"3.26923076923077";"Lus";"C";"0"
"21";"C+_1";"0.0627721335268505";"1.625";"Lus";"C";"1"
"22";"C+_2";"0.0566037735849057";"1.94444444444444";"Lus";"C";"1"
"23";"C+_3";"0.0515151515151515";"2.27692307692308";"Lus";"C";"1"
"24";"C+_4";"0.0587375803623612";"1.01851851851852";"Lus";"C";"1"
"25";"D-_1";"0.0554511278195489";"1.5";"Lus";"D";"0"
"26";"D-_2";"0.0602693602693603";"1.55963302752294";"Lus";"D";"0"
"27";"D-_3";"0.0613207547169811";"2.07317073170732";"Lus";"D";"0"
"28";"D-_4";"0.0607843137254902";"3.28260869565217";"Lus";"D";"0"
"29";"D+_1";"0.0647163120567376";"3.68292682926829";"Lus";"D";"1"
"30";"D+_2";"0.0647342995169082";"2.67857142857143";"Lus";"D";"1"
"31";"D+_3";"0.0673758865248227";"2.30434782608696";"Lus";"D";"1"
"32";"D+_4";"0.0633672525439408";"4.2";"Lus";"D";"1"
"33";"E-_1";"0.0552308591466978";"0.913294797687861";"Lus";"E";"0"
"34";"E-_2";"0.0625";"1.74418604651163";"Lus";"E";"0"
"35";"E-_3";"0.058446455505279";"2.69642857142857";"Lus";"E";"0"
"36";"E-_4";"0.0573979591836735";"2.05714285714286";"Lus";"E";"0"
"37";"E+_1";"0.0669326241134752";"2.43076923076923";"Lus";"E";"1"
"38";"E+_2";"0.0603318250377074";"1.36363636363636";"Lus";"E";"1"
"39";"E+_3";"0.0620748299319728";"2.32307692307692";"Lus";"E";"1"
"40";"E+_4";"0.0664893617021277";"2.41538461538462";"Lus";"E";"1"
"41";"F-_1";"0.054354178842782";"1.60909090909091";"Theix";"F";"0"
"42";"F-_2";"0.0592156862745098";"1.84705882352941";"Theix";"F";"0"
"43";"F-_3";"0.0600649350649351";"1.6504854368932";"Theix";"F";"0"
"44";"F-_4";"0.0549386323787259";"1.425";"Theix";"F";"0"
"45";"F+_1";"0.0644897959183673";"3.15094339622642";"Theix";"F";"1"
"46";"F+_2";"0.066530612244898";"2.93103448275862";"Theix";"F";"1"
"47";"F+_3";"0.0604472396925227";"1.8804347826087";"Theix";"F";"1"
"48";"F+_4";"0.0562613430127042";"1.57407407407407";"Theix";"F";"1"
"49";"G-_1";"0.0629713423831071";"1.69387755102041";"Theix";"G";"0"
"50";"G-_2";"0.0511191772534785";"1.24031007751938";"Theix";"G";"0"
"51";"G-_3";"0.0563997662185856";"1.53636363636364";"Theix";"G";"0"
"52";"G-_4";"0.0565656565656566";"1.32846715328467";"Theix";"G";"0"
"53";"G+_1";"0.0584179970972424";"1.70588235294118";"Theix";"G";"1"
"54";"G+_2";"0.0577922077922078";"1.4070796460177";"Theix";"G";"1"
"55";"G+_3";"0.0583508036338225";"1.50862068965517";"Theix";"G";"1"
"56";"G+_4";"0.0587662337662338";"1.41176470588235";"Theix";"G";"1"
"57";"H-_1";"0.0599326599326599";"1.45871559633028";"Theix";"H";"0"
"58";"H-_2";"0.0599326599326599";"1.55555555555556";"Theix";"H";"0"
"59";"H-_3";"0.0644897959183673";"2.4";"Theix";"H";"0"
"60";"H-_4";"0.0580013976240391";"1.88372093023256";"Theix";"H";"0"
"61";"H+_1";"0.0671497584541063";"2.38805970149254";"Theix";"H";"1"
"62";"H+_2";"0.0580693815987934";"2.04054054054054";"Theix";"H";"1"
"63";"H+_3";"0.0546757164404223";"2.16923076923077";"Theix";"H";"1"
"64";"H+_4";"0.0548245614035088";"1.67032967032967";"Theix";"H";"1"
