"";"n";"connectivity";"sumbg";"s";"p";"trt"
"1";"A-_1";"0.0645342312008979";"1.17701453104359";"Mons";"A";"0"
"2";"A-_2";"0.0730636237897649";"1.08459595959596";"Mons";"A";"0"
"3";"A-_3";"0.0684008029441285";"0.829747427502339";"Mons";"A";"0"
"4";"A-_4";"0.0689740298212699";"0.701086956521739";"Mons";"A";"0"
"5";"A+_1";"0.06650933276121";"0.651949963208241";"Mons";"A";"1"
"6";"A+_2";"0.0614903241165867";"0.876344086021505";"Mons";"A";"1"
"7";"A+_3";"0.0693855290267846";"0.816369359916055";"Mons";"A";"1"
"8";"A+_4";"0.0747517616912236";"0.902912621359223";"Mons";"A";"1"
"9";"B-_1";"0.0768832322036407";"0.876190476190476";"Mons";"B";"0"
"10";"B-_2";"0.0741420943441145";"0.93836344314559";"Mons";"B";"0"
"11";"B-_3";"0.07295445969872";"0.660851360781577";"Mons";"B";"0"
"12";"B-_4";"0.0747549019607843";"0.636426116838488";"Mons";"B";"0"
"13";"B+_1";"0.0781293222683264";"0.930964467005076";"Mons";"B";"1"
"14";"B+_2";"0.0739299610894942";"0.772612003381234";"Mons";"B";"1"
"15";"B+_3";"0.0819302231489838";"0.99482936918304";"Mons";"B";"1"
"16";"B+_4";"0.0694136546184739";"0.739340305711987";"Mons";"B";"1"
"17";"C-_1";"0.0756761630003606";"1.7279843444227";"Lus";"C";"0"
"18";"C-_2";"0.0884497991967872";"1.81589147286822";"Lus";"C";"0"
"19";"C-_3";"0.0854152266219018";"1.26506024096386";"Lus";"C";"0"
"20";"C-_4";"0.0838371398716226";"1.47342995169082";"Lus";"C";"0"
"21";"C+_1";"0.0792434046789448";"1.58928571428571";"Lus";"C";"1"
"22";"C+_2";"0.0889650198341147";"1.34441087613293";"Lus";"C";"1"
"23";"C+_3";"0.0771146245059288";"1.3697705802969";"Lus";"C";"1"
"24";"C+_4";"0.0725351113633139";"0.959375";"Lus";"C";"1"
"25";"D-_1";"0.073403968752806";"1.15579710144928";"Lus";"D";"0"
"26";"D-_2";"0.0798450094923905";"1.58756137479542";"Lus";"D";"0"
"27";"D-_3";"0.0808304961089494";"1.21793275217933";"Lus";"D";"0"
"28";"D-_4";"0.0825214460784314";"1.48493975903614";"Lus";"D";"0"
"29";"D+_1";"0.0866468253968254";"1.66729678638941";"Lus";"D";"1"
"30";"D+_2";"0.0787053732419762";"1.05023364485981";"Lus";"D";"1"
"31";"D+_3";"0.0861970761344219";"1.44861337683524";"Lus";"D";"1"
"32";"D+_4";"0.0802223819388661";"3.14671814671815";"Lus";"D";"1"
"33";"E-_1";"0.0768915796554649";"0.975320829220138";"Lus";"E";"0"
"34";"E-_2";"0.088418735477559";"3.75641025641026";"Lus";"E";"0"
"35";"E-_3";"0.0852508487363259";"1.44479495268139";"Lus";"E";"0"
"36";"E-_4";"0.0809394887662178";"2.41483516483516";"Lus";"E";"0"
"37";"E+_1";"0.0978036175710594";"1.80672268907563";"Lus";"E";"1"
"38";"E+_2";"0.0775793650793651";"1.4910394265233";"Lus";"E";"1"
"39";"E+_3";"0.0832874802831884";"2.24754901960784";"Lus";"E";"1"
"40";"E+_4";"0.0898412698412698";"1.40595611285266";"Lus";"E";"1"
"41";"F-_1";"0.0890053115838969";"1.32037691401649";"Theix";"F";"0"
"42";"F-_2";"0.0904977375565611";"2.52542372881356";"Theix";"F";"0"
"43";"F-_3";"0.0926200401420411";"1.40357598978289";"Theix";"F";"0"
"44";"F-_4";"0.0893457117595049";"1.3679012345679";"Theix";"F";"0"
"45";"F+_1";"0.101936856247201";"2.409200968523";"Theix";"F";"1"
"46";"F+_2";"0.105006856299005";"2.61042183622829";"Theix";"F";"1"
"47";"F+_3";"0.103747828245222";"1.9377358490566";"Theix";"F";"1"
"48";"F+_4";"0.0935617655771699";"1.64297253634895";"Theix";"F";"1"
"49";"G-_1";"0.0968697541226424";"1.45529573590096";"Theix";"G";"0"
"50";"G-_2";"0.0862231592964545";"1.08045977011494";"Theix";"G";"0"
"51";"G-_3";"0.0858632359528194";"1.08449396471681";"Theix";"G";"0"
"52";"G-_4";"0.0944674965421853";"1.60307692307692";"Theix";"G";"0"
"53";"G+_1";"0.0901221157960568";"1.24384236453202";"Theix";"G";"1"
"54";"G+_2";"0.092741935483871";"1.68918918918919";"Theix";"G";"1"
"55";"G+_3";"0.0879892940782871";"1.21052631578947";"Theix";"G";"1"
"56";"G+_4";"0.0929742388758782";"1.09558823529412";"Theix";"G";"1"
"57";"H-_1";"0.0981481481481482";"1.47833065810594";"Theix";"H";"0"
"58";"H-_2";"0.08945823651706";"1.71009174311927";"Theix";"H";"0"
"59";"H-_3";"0.101269784494322";"1.86004056795132";"Theix";"H";"0"
"60";"H-_4";"0.100015322148165";"1.95652173913043";"Theix";"H";"0"
"61";"H+_1";"0.105974354551205";"2.08184143222506";"Theix";"H";"1"
"62";"H+_2";"0.0899216787350377";"2.14058355437666";"Theix";"H";"1"
"63";"H+_3";"0.0951904835153566";"2.12634408602151";"Theix";"H";"1"
"64";"H+_4";"0.0951472072309245";"1.95205479452055";"Theix";"H";"1"
